	source	interaction	target
1	CAV1	1	TRPC1
2	MDFI	-1	TRPC1
3	ITPR2	1	TRPC1
4	STIM1	1	TRPC1
5	TRPC1	1	TRPC3
6	TRPC3	1	TRPC1
7	TRPC1	1	TRPC4
8	TRPC4	1	TRPC1
9	TRPC1	1	TRPC5
10	TRPC5	1	TRPC1
11	TRPC1	1	PKD2
12	PKD2	1	TRPC1
13	CALM1	-1	TRPC3
14	ITPR1	1	TRPC3
15	ITPR3	1	TRPC3
16	ORAI1	1	TRPC3
17	PRKG1	-1	TRPC3
18	SLC9A3R1	1	TRPC4
19	FYN	1	TRPC6
20	MX1	1	TRPC6
21	NPHS1	1	TRPC6
22	PRKG1	-1	TRPC6
23	NPHS2	1	TRPC6
24	RNF24	-1	TRPC6
25	PRKG1	1	TRPC7
26	CALM1	1	TRPV1
27	CDK5	1	TRPV1
28	PRKACA	1	TRPV1
29	SRC	1	TRPV1
30	CALM1	1	TRPV4
31	FYN	1	TRPV4
32	HCK	1	TRPV4
33	LCK	1	TRPV4
34	LYN	1	TRPV4
35	MAP7	1	TRPV4
36	OS9	1	TRPV4
37	PACSIN3	1	TRPV4
38	SRC	1	TRPV4
39	YES1	1	TRPV4
40	CALB1	1	TRPV5
41	S100A10	1	TRPV5
42	CALM1	-1	TRPV6
43	FYN	1	TRPV6
44	PTPN1	-1	TRPV6
45	S100A10	1	TRPV6
46	SRC	1	TRPV6
47	RACK1	-1	TRPM6
48	TRPM7	1	TRPM6
49	TRPM6	1	TRPM7
50	PRKACA	-1	MCOLN1
51	CASP3	-1	EIF3J
52	CASP3	1	ITGB4
53	MAPKAPK2	1	MAPK14
54	MAPK14	1	MAPKAPK2
55	MAPKAPK2	1	HNRNPA0
56	MAPKAPK2	-1	PARN
57	JAK2	1	EPOR
58	EPOR	1	JAK2
59	GJB6	1	GJB2
60	GJB2	1	GJB6
61	NUMB	1	NOTCH1
62	MAPK14	1	ZFP36
63	MAPKAPK2	1	ZFP36
64	NOTCH1	-1	JAG2
65	JAG2	1	NOTCH1
66	DLL1	1	NOTCH1
67	NOTCH1	1	DLL1
68	SIX1	1	DACH1
69	KEAP1	-1	GABPA
70	AKT1	1	CHUK
71	CHUK	1	NFKB1
72	NFKB1	1	CHUK
73	PIK3R1	1	AKT1
74	CDK1	1	RRM2
75	CASP3	1	ACIN1
76	CDKN1A	-1	CDK1
77	TP53	-1	PRC1
78	TP53	1	ATF3
79	ATF3	-1	TP53
80	ATM	1	TERF2
81	TERF2	-1	ATM
82	ATR	1	XPA
83	E2F1	1	CDCA4
84	CDCA4	-1	E2F1
85	IGF1	1	IGF1R
86	MMP14	1	MMP2
87	ABL1	1	TP73
88	ABL1	-1	PRKDC
89	PRKDC	1	ABL1
90	ARNTL	1	CRY2
91	CRY2	-1	ARNTL
92	ARNTL	1	CRY1
93	CRY1	-1	ARNTL
94	NPAS2	1	PER2
95	NPAS2	1	PER1
96	ATAD2	1	ESR1
97	USP28	1	CLSPN
98	PCNA	1	POLI
99	PRKN	-1	SEPTIN5
100	PCNA	1	POLH
101	USP7	1	MDM2
102	USP7	1	MDM4
103	RBL1	1	E2F4
104	E2F4	-1	RBL1
105	RBL2	1	E2F5
106	RBL2	1	E2F4
107	MDC1	1	TP53BP1
108	RNF8	1	H2AC20
109	MDC1	1	RNF8
110	PRKN	-1	RANBP2
111	PRKN	1	SNCAIP
112	DCLRE1C	1	XRCC4
113	PRKN	-1	JUN
114	BACE2	1	APP
115	PRKN	1	SNCA
116	APP	1	BACE1
117	BACE1	1	APP
118	XRCC4	1	PNKP
119	ADAM10	1	APP
120	PTEN	-1	PREX2
121	PREX2	-1	PTEN
122	PINK1	1	TRAP1
123	PTPRD	-1	STAT3
124	XRCC1	1	PNKP
125	PEBP1	1	RAF1
126	USP28	-1	FBXW7
127	CDK2	1	MYC
128	HBP1	-1	MYC
129	TRRAP	1	MYC
130	FBXW7	1	MYC
131	PAK1	1	PXN
132	CASP3	1	PRKDC
133	CASP3	1	GSN
134	SMG1	1	UPF1
135	ATM	1	USP28
136	MAP2K4	1	MAPK8
137	ATG13	1	ULK1
138	ULK1	1	ATG13
139	ULK1	1	RB1CC1
140	RB1CC1	1	ULK1
141	MTOR	-1	ATG13
142	UVRAG	1	SH3GLB1
143	SH3GLB1	1	UVRAG
144	ATG13	1	RB1CC1
145	MTOR	-1	ULK2
146	BECN1	1	PIK3R4
147	RAC1	1	TIAM1
148	TIAM1	1	RAC1
149	HRAS	1	TIAM1
150	TIAM1	1	HRAS
151	ATG10	1	ATG12
152	MTOR	1	RPTOR
153	RPTOR	1	MTOR
154	AKT1	-1	AKT1S1
155	DAPK1	-1	CAMKK2
156	MLST8	1	MTOR
157	ATG13	1	ULK2
158	ULK2	1	ATG13
159	UVRAG	1	BECN1
160	BCL2L1	1	BECN1
161	AKT1S1	-1	RPTOR
162	MTOR	-1	AKT1S1
163	AKT1S1	-1	MTOR
164	ULK2	1	RB1CC1
165	RB1CC1	1	ULK2
166	MCL1	1	BAD
167	ATG10	1	ATG5
168	ATG7	1	ATG3
169	HRAS	1	PLCE1
170	PLCE1	1	HRAS
171	MAPK14	1	MAPKAPK5
172	MAPKAPK5	1	TP53
173	ATG5	1	ATG16L1
174	TP53	1	MCL1
175	BNIP3	-1	BCL2
176	BCL2L1	1	BNIP3
177	BNIP3	-1	BCL2L1
178	SPNS1	-1	BCL2
179	SPNS1	-1	BCL2L1
180	ATG4B	1	MAP1LC3B
181	CALM1	1	DAPK1
182	DAPK1	1	MCM3
183	CAPN1	-1	BCL2L1
184	CAPN2	1	BID
185	CAPN1	1	BID
186	CASP3	1	SPTAN1
187	CASP3	1	EIF4G1
188	CASP3	1	BCAR1
189	CASP3	1	EIF4G2
190	CASP3	1	EIF4G3
191	BCL2	-1	CASP3
192	CASP3	-1	BCL2
193	CASP6	1	NUMA1
194	CASP6	1	VIM
195	CASP2	1	RIPK1
196	RIPK1	1	CASP10
197	CASP10	-1	RIPK1
198	CASP10	1	BID
199	TOPBP1	1	ATR
200	MYO15A	1	WHRN
201	E2F1	1	BRCA1
202	TIRAP	1	MYD88
203	SIX1	-1	EYA1
204	PDPK1	1	PRKCG
205	PDK1	1	PRKCG
206	E2F1	1	EZH2
207	E2F2	1	CCNB1
208	MYC	1	NME1
209	RALB	1	RALBP1
210	RALGDS	1	RALA
211	RALBP1	1	CDC42
212	RALBP1	1	RAC1
213	NOTCH1	1	JAG1
214	JAG1	1	NOTCH1
215	NOTCH1	1	HES1
216	KIT	1	GRB2
217	IKBKE	1	IRF7
218	ERBB2	1	GRB2
219	E2F1	1	PCNA
220	AKT2	1	CDKN1A
221	AKT1	1	CDKN1B
222	VDR	1	CASP3
223	PRKCG	1	RAF1
224	SFRP1	1	WNT4
225	SFRP2	-1	WNT1
226	SFRP1	-1	WNT2
227	SFRP1	1	WNT1
228	CASP3	-1	BIRC2
229	BIRC2	-1	CASP3
230	CASP2	1	BID
231	MCL1	-1	BBC3
232	BBC3	-1	MCL1
233	MCL1	-1	BAK1
234	CASP9	-1	BIRC6
235	BIRC6	-1	CASP9
236	BCL2L11	-1	MCL1
237	MCL1	-1	BCL2L11
238	MTOR	-1	ULK1
239	RHEB	1	MTOR
240	TSC2	1	RHEB
241	TSC2	1	TSC1
242	TSC1	1	TSC2
243	ATG7	1	MAP1LC3B
244	RHOA	1	DIAPH1
245	AKT1	-1	TSC2
246	PMAIP1	-1	MCL1
247	RHOA	1	ROCK2
248	ATG7	1	ATG10
249	ATG12	1	ATG7
250	ATG7	1	ATG12
251	ATG12	1	ATG5
252	MAP1LC3B	1	ATG3
253	ATG3	1	MAP1LC3B
254	CAMKK2	1	PRKAG1
255	E2F6	-1	RBBP8
256	CASP3	1	NUMA1
257	BCL2L2	-1	BIK
258	DYNLL1	-1	BCL2L11
259	CFLAR	-1	CASP10
260	CASP7	1	VIM
261	CASP7	1	TNFRSF1A
262	CASP7	1	ITGB4
263	CASP3	1	VIM
264	CASP3	1	CASP8
265	CASP8	1	CASP3
266	CASP3	1	CASP10
267	CASP10	1	CASP3
268	CASP3	-1	PXN
269	PPP1CA	1	BAD
270	BCL2L11	-1	BCL2A1
271	BCL2L1	1	APAF1
272	BCL2L11	1	VDAC1
273	BCL2L1	-1	VDAC1
274	BAK1	1	VDAC1
275	BAX	1	VDAC1
276	DAPK1	1	TP53
277	DAPK3	1	RPL13A
278	RHEB	1	MLST8
279	ATG101	1	ATG13
280	PMAIP1	1	BAX
281	PRKCI	-1	BAD
282	MAPK8	1	BCL2
283	DAPK1	1	PRKD1
284	MIB1	-1	DAPK1
285	DAPK1	1	BECN1
286	DAPK1	-1	STX1A
287	DAPK1	-1	RPS6
288	BBC3	-1	BCL2A1
289	BBC3	1	BAX
290	HRK	-1	BCL2L1
291	HRK	-1	BCL2
292	RHEB	-1	FKBP8
293	FKBP8	-1	MTOR
294	PMAIP1	-1	BCL2A1
295	PRKCZ	1	FADD
296	PIDD1	1	CASP2
297	PIDD1	1	IKBKG
298	RPS6KA3	1	RPTOR
299	FAS	1	CASP8AP2
300	RPS6KA1	1	RPTOR
301	CASP8	1	CASP8AP2
302	CASP8AP2	1	CASP8
303	MAPK3	1	MAP2K1
304	MAP2K1	1	MAPK3
305	MAPK3	1	RPS6KA3
306	MAPK1	1	RPS6KA1
307	RPS6KA1	1	MAPK1
308	DAPK3	1	MYL9
309	MAPK1	1	RPS6KA3
310	MAPK1	1	DAPK1
311	DAPK1	-1	MAPK1
312	SRC	-1	DAPK1
313	PTPRF	1	DAPK1
314	DAPK1	1	DAPK3
315	DAPK1	1	TSC2
316	MAPK3	1	DAPK1
317	DAPK1	-1	MAPK3
318	RRAS	1	RAF1
319	UNC5B	1	DAPK1
320	RPS6KA1	-1	DAPK1
321	RPS6KA3	-1	DAPK1
322	RAF1	1	MAP2K1
323	GSN	1	ACTG1
324	DAPK3	1	PPP1R14A
325	DAPK3	-1	PPP1R12A
326	DAPK3	1	AR
327	ROCK1	1	DAPK3
328	TLN1	1	ITGB1
329	DAPK1	1	CDKN2A
330	ATM	1	MDC1
331	MDC1	1	ATM
332	TP53	1	AIFM2
333	TP53	1	ABCB1
334	TP53	1	ARID3A
335	TP53	1	ADGRB1
336	TP53	1	APC
337	CHEK2	1	ELAVL1
338	E2F3	1	CCNB1
339	CHEK1	1	WEE1
340	E2F1	1	EED
341	WNT5A	1	FZD2
342	PUF60	-1	FUBP1
343	AKT1	1	CDKN1A
344	FUBP1	1	MYC
345	E2F1	1	CDKN1A
346	E2F3	1	CDKN2A
347	E2F4	-1	CLSPN
348	E2F2	1	CDKN2A
349	E2F1	1	CDT1
350	CDKN2A	-1	E2F1
351	E2F1	1	CDKN2A
352	E2F2	1	PCNA
353	E2F6	-1	BRCA1
354	E2F6	-1	CBX5
355	UBE2T	1	FANCL
356	UBE2T	1	FANCI
357	SUMO1	1	PML
358	UBE2T	1	FANCD2
359	TP53	1	EGFR
360	MAPKAPK2	-1	CDC25A
361	TP53	1	EPHA2
362	CHEK1	-1	CDC25B
363	TP53	1	EDN2
364	MAPKAPK2	-1	CDC25C
365	MAPKAPK2	-1	CDC25B
366	TP53	1	HTT
367	TP53	1	GPX1
368	TP53	1	FANCC
369	TP53	1	HGF
370	ATM	1	SLX4
371	NFE2L2	1	PRDX1
372	ATM	1	BID
373	ATR	1	RBBP8
374	ATR	1	FANCI
375	E2F1	1	APAF1
376	CDK1	1	E2F1
377	E2F1	1	CDK1
378	E2F2	1	EED
379	MTOR	1	EIF4EBP3
380	MTOR	1	EIF4EBP2
381	TP53	1	BDKRB2
382	TP53	1	BID
383	MAP3K8	1	MAP3K14
384	IKBKB	-1	TSC1
385	TP53	1	BCL2L14
386	MAP3K8	1	MAP2K4
387	AKT1	-1	RICTOR
388	RICTOR	1	AKT1
389	EIF4EBP2	-1	EIF4E
390	EIF4EBP1	-1	EIF4E
391	MTOR	1	EIF4EBP1
392	EIF4EBP1	1	MTOR
393	EIF4EBP3	1	EIF4E
394	TP53	1	CCNK
395	BCL10	1	IKBKG
396	TP53	1	CASP6
397	TP53	1	CASP10
398	TP53	1	CASP1
399	MAP3K14	1	IKBKB
400	TP53	1	RGCC
401	TP53	1	BNIP3L
402	TNFAIP3	-1	IKBKB
403	TP53	-1	BIRC5
404	TNIP1	1	IKBKG
405	E2F2	1	EZH2
406	E2F4	1	CDT1
407	E2F1	1	DBF4
408	CCNA2	1	E2F1
409	E2F1	1	CCNA2
410	IL22	1	IL10RB
411	TP53	1	CD82
412	EPO	1	EPOR
413	EPOR	-1	EPO
414	TP53	-1	CDC25C
415	MAPKAPK2	1	TSC2
416	TP53	1	COL18A1
417	JAK2	1	STAT3
418	TP53	1	DKK1
419	KSR2	-1	MAP3K8
420	CHEK2	1	TP53
421	NFKB1	-1	MAP3K8
422	MAP3K8	-1	NFKB1
423	TP53	1	CTSD
424	ATM	1	STK11
425	TP53	1	DDIT4
426	HIPK2	1	TP53
427	TP53	1	CX3CL1
428	ATM	1	PPP2R5C
429	CXCL16	1	CXCR6
430	CASP1	1	IL37
431	CASP1	1	IL33
432	CCL3L1	1	CCR5
433	ASF1A	1	CHAF1B
434	TNFRSF10C	-1	TNFSF10
435	TNFSF10	1	TNFRSF10C
436	MAP3K7	1	IKBKB
437	STK11	1	PRKAG1
438	ASF1B	1	CHAF1B
439	TNFRSF10A	1	TNFRSF10B
440	TNFRSF10A	1	RIPK1
441	TNFRSF10B	1	RIPK1
442	NMI	1	STAT1
443	KRT18	-1	TRADD
444	MYC	1	PMAIP1
445	ATM	1	ABL1
446	TNFRSF10A	1	TRADD
447	TNFRSF10B	1	TRADD
448	TRAF2	1	BIRC2
449	BIRC2	-1	TRAF2
450	IRF1	1	ISG20
451	STAT1	1	SOCS1
452	IL10	1	IL10RA
453	NLRP1	1	CASP5
