	source	interaction	target
1	MAPK14	1	MAPKAPK2
2	MAPKAPK2	0	ZFP36
3	JAG2	0	NOTCH1
4	DLL1	1	NOTCH1
5	IGF1	1	IGF1R
6	PRKN	-1	SEPTIN5
7	PRKN	0	SNCAIP
8	PRKN	0	SNCA
9	MAP2K4	1	MAPK8
10	RALGDS	1	RALA
11	JAG1	0	NOTCH1
12	KIT	1	GRB2
13	PRKCG	1	RAF1
14	RHEB	1	MTOR
15	ATG7	1	MAP1LC3B
16	RHOA	1	ROCK2
17	ATG3	1	MAP1LC3B
18	CASP8	1	CASP3
19	MAP2K1	1	MAPK3
20	RAF1	1	MAP2K1
21	CHEK1	0	WEE1
22	CHEK1	-1	CDC25B
23	MTOR	0	EIF4EBP1
24	JAK2	1	STAT3
25	CASP1	1	IL33
26	TNFSF10	0	TNFRSF10C
27	IFIH1	0	MAVS
28	IRF3	1	ISG15
29	FLT3LG	1	FLT3
30	KITLG	1	KIT
31	IGF2	1	IGF1R
32	TLR4	1	TICAM2
33	TICAM2	1	TICAM1
34	TRAF6	1	MAP3K7
35	TICAM1	1	TRAF6
36	TLR3	1	TICAM1
37	MYD88	1	IRAK4
38	ROCK1	1	MYL12A
39	CHEK1	1	TP53
40	CASP1	0	IL1B
41	CASP1	1	IL18
42	BID	1	BAK1
43	BID	1	BAX
44	MAP2K2	1	MAPK3
45	MAP2K1	1	MAPK1
46	CXCL9	1	CXCR3
47	CCL5	1	CCR5
48	CCL8	1	CCR5
49	CCL4	1	CCR5
50	BIRC5	-1	CASP9
51	EGFR	1	GRB2
52	TRAF6	1	TAB2
53	TAB1	1	MAP3K7
54	TAB2	1	MAP3K7
55	EGF	1	EGFR
56	TRAF2	1	MAP3K5
57	BCL2L11	-1	BCL2
58	BCL2L11	-1	BCL2L1
59	BCL2	-1	BAK1
60	BCL2L1	-1	BAK1
61	JAK1	0	STAT3
62	TNFSF14	1	LTBR
63	CD40LG	1	CD40
64	LTA	1	TNFRSF1A
65	EP300	0	TP53
66	TRAF2	1	MAP3K7
67	GSK3B	-1	CTNNB1
68	CASP8	1	CASP7
69	CASP8	1	BID
70	CASP9	1	CASP7
71	BAD	0	BCL2L1
72	BAD	0	BCL2
73	BCL2	-1	BAX
74	BCL2L1	-1	BAX
75	MAPK3	1	RPS6KA5
76	EIF2AK2	0	EIF2S1
77	DDX58	0	MAVS
78	TBK1	1	IRF3
79	MAPK8	1	JUN
80	HSPA5	-1	EIF2AK3
81	MAP2K6	1	MAPK11
82	HSPA5	-1	ERN1
83	HSPA5	-1	ATF6
84	GHR	1	JAK2
85	PRLR	1	JAK2
86	PRKN	-1	GPR37
87	RPS6KA4	1	CREB1
88	TGFA	1	EGFR
89	EGFR	1	SRC
90	MAPK11	1	ATF2
91	MTOR	1	RPS6KB1
92	GRB2	1	SOS1
93	CTNNB1	1	TCF7L2
94	LIMK1	0	CFL2
95	LIMK1	0	CFL1
96	TRAF6	1	TAB1
97	MYD88	1	IRAK1
98	MAPK3	1	HIF1A
99	MAPK1	1	HIF1A
100	TLR9	1	MYD88
101	TLR7	1	MYD88
102	RHOA	1	ROCK1
103	TXN	-1	MAP3K5
104	CXCL10	1	CXCR3
105	MAPK14	1	FOS
106	PTTG1	-1	ESPL1
107	JAK1	1	STAT5B
108	JAK1	1	STAT5A
109	MDM2	-1	TP53
110	CHEK1	-1	CDC25C
111	CHEK2	-1	CDC25C
112	ATM	1	CHEK2
113	GSK3B	0	MAPT
114	CDK5	0	MAPT
115	CDK5	-1	CDK5R1
116	CDK5R1	1	CDK5
117	CYCS	1	APAF1
118	ABL1	1	PRKD1
119	GNRHR	1	GNA11
120	GNA11	1	PLCB2
121	TRIM25	1	DDX58
122	ARAF	1	MAP2K2
123	BRAF	1	MAP2K1
124	RAF1	1	MAP2K2
125	BRAF	1	MAP2K2
126	ARAF	1	MAP2K1
127	MAP2K2	1	MAPK1
128	UBE2N	1	TRAF2
129	CSF1	1	CSF1R
130	SRC	1	ABL2
131	SRC	1	ABL1
132	HGF	1	MET
133	AKT1	0	GSK3B
134	BAK1	1	CYCS
135	KEAP1	-1	NFE2L2
136	BAX	1	CYCS
137	TNF	1	TNFRSF1B
138	ATR	1	CHEK1
139	FAS	1	FADD
140	FASLG	1	FAS
141	TNFSF10	1	TNFRSF10D
142	TNFSF10	1	TNFRSF10B
143	TNFSF10	1	TNFRSF10A
144	TNFRSF1A	1	TRADD
145	FADD	0	TRADD
146	TRADD	1	FADD
147	TNF	1	TNFRSF1A
148	SHH	0	PTCH1
149	MAP2K3	1	MAPK14
150	CASP9	1	CASP3
151	ERN1	1	XBP1
152	SRC	0	HRAS
153	MAP3K1	1	MAP2K4
154	GNRH1	1	GNRHR
155	JAK1	1	STAT1
156	MAP2K7	1	MAPK8
157	USP7	1	TP53
158	AKT1	-1	BAD
159	BBC3	-1	BCL2L1
160	BBC3	-1	BCL2
161	PMAIP1	-1	BCL2
162	PMAIP1	-1	BCL2L1
163	CDKN2A	-1	MDM2
164	CFLAR	-1	CASP8
165	CDC42	1	PAK1
166	RAC1	1	PAK1
167	APAF1	1	CASP9
168	FADD	1	CASP8
169	RAC3	1	PAK1
170	RAC2	1	PAK1
171	CTNNB1	1	LEF1
172	CXCL11	1	CXCR3
173	CTNNB1	1	TCF7
174	CD80	1	CD28
175	CD86	1	CD28
176	MET	1	GAB1
177	EGFR	1	PLCG1
178	PINK1	1	PRKN
179	MAP1LC3A	1	SQSTM1
180	SRC	1	RAF1
181	ATG7	1	MAP1LC3A
182	ATG3	1	MAP1LC3A
183	IKBKG	1	CHUK
184	MAP3K7	1	MAP2K4
185	VAV1	1	PLCG1
186	MAP3K7	1	MAP2K6
187	MAP3K5	1	MAP2K4
188	MAP3K5	1	MAP2K7
189	HRAS	1	RAF1
190	PRL	1	PRLR
191	GH1	1	GHR
192	JAK1	1	STAT2
193	MAPK14	1	ATF2
194	MAPK3	1	ELK1
195	JAK3	1	STAT5A
196	IL6ST	1	JAK2
197	MAP3K7	1	MAP2K3
198	NRG3	1	ERBB4
199	NRG1	1	ERBB4
200	NRAS	1	RAF1
201	JAK3	1	STAT1
202	MAP3K10	1	MAP2K7
203	MAPK1	1	RPS6KA5
204	MAP3K7	1	MAP2K7
205	AREG	1	EGFR
206	NRG4	1	ERBB4
207	SOCS3	0	JAK1
208	DLL4	1	NOTCH4
209	JAG1	0	NOTCH2
210	JAG2	0	NOTCH2
211	JAG2	0	NOTCH3
212	DLL3	1	NOTCH1
213	MAP2K7	1	MAPK10
214	MAP2K7	1	MAPK9
215	MAP2K6	1	MAPK12
216	MAP2K4	1	MAPK10
217	MAP2K6	1	MAPK14
218	MAP2K4	1	MAPK9
219	MAP2K3	1	MAPK11
220	JAK2	1	STAT5B
221	DLL4	1	NOTCH1
222	RPS6KA5	1	CREB1
223	AKT1	1	RPS6KB1
224	PAK1	1	RAF1
225	JAK3	1	STAT3
226	SMAD2	1	SMAD4
227	SMAD3	1	SMAD4
228	SMAD4	1	SMAD3
229	JAK2	1	STAT1
230	JAK2	1	STAT5A
231	KRAS	1	RAF1
232	KRAS	1	BRAF
233	HRAS	1	BRAF
234	MAPK3	1	MYC
