source	interaction	target
MAP2K4	1	MAPK8
KIT	1	GRB2
PRKCG	1	RAF1
MAP2K1	1	MAPK3
RAF1	1	MAP2K1
JAK2	1	STAT3
FLT3LG	1	FLT3
KITLG	1	KIT
TLR4	1	TICAM2
TICAM2	1	TICAM1
TRAF6	1	MAP3K7
TICAM1	1	TRAF6
TLR3	1	TICAM1
MYD88	1	IRAK4
MAP2K2	1	MAPK3
MAP2K1	1	MAPK1
EGFR	1	GRB2
TRAF6	1	TAB2
TAB1	1	MAP3K7
TAB2	1	MAP3K7
EGF	1	EGFR
TRAF2	1	MAP3K5
JAK1	0	STAT3
TRAF2	1	MAP3K7
GSK3B	-1	CTNNB1
MAPK3	1	RPS6KA5
MAPK8	1	JUN
MAP2K6	1	MAPK11
HSPA5	-1	ERN1
HSPA5	-1	ATF6
GHR	1	JAK2
PRLR	1	JAK2
RPS6KA4	1	CREB1
TGFA	1	EGFR
EGFR	1	SRC
MAPK11	1	ATF2
GRB2	1	SOS1
CTNNB1	1	TCF7L2
TRAF6	1	TAB1
MYD88	1	IRAK1
MAPK3	1	HIF1A
MAPK1	1	HIF1A
TLR9	1	MYD88
TLR7	1	MYD88
TXN	-1	MAP3K5
MAPK14	1	FOS
JAK1	1	STAT5B
ARAF	1	MAP2K2
BRAF	1	MAP2K1
RAF1	1	MAP2K2
BRAF	1	MAP2K2
ARAF	1	MAP2K1
MAP2K2	1	MAPK1
UBE2N	1	TRAF2
HGF	1	MET
AKT1	0	GSK3B
MAP2K3	1	MAPK14
SRC	0	HRAS
MAP3K1	1	MAP2K4
JAK1	1	STAT1
MAP2K7	1	MAPK8
CDC42	1	PAK1
RAC1	1	PAK1
RAC3	1	PAK1
RAC2	1	PAK1
CTNNB1	1	LEF1
SRC	1	RAF1
MAP3K7	1	MAP2K4
MAP3K7	1	MAP2K6
MAP3K5	1	MAP2K4
MAP3K5	1	MAP2K7
HRAS	1	RAF1
PRL	1	PRLR
GH1	1	GHR
MAPK14	1	ATF2
MAPK3	1	ELK1
IL6ST	1	JAK2
MAP3K7	1	MAP2K3
NRAS	1	RAF1
JAK3	1	STAT1
MAP3K10	1	MAP2K7
MAPK1	1	RPS6KA5
MAP3K7	1	MAP2K7
AREG	1	EGFR
SOCS3	0	JAK1
MAP2K7	1	MAPK10
MAP2K7	1	MAPK9
MAP2K6	1	MAPK12
MAP2K4	1	MAPK10
MAP2K6	1	MAPK14
MAP2K4	1	MAPK9
MAP2K3	1	MAPK11
JAK2	1	STAT5B
RPS6KA5	1	CREB1
PAK1	1	RAF1
JAK3	1	STAT3
JAK2	1	STAT1
KRAS	1	RAF1
KRAS	1	BRAF
HRAS	1	BRAF
MAPK3	1	MYC
PDGFA	1	PDGFRA
PDGFB	1	PDGFRA
JAK1	0	STAT6
JAK2	1	STAT6
MAPK14	0	CREB1
IL2RG	1	JAK1
IL2RG	1	JAK3
KRAS	1	MAP3K1
MAPK14	1	RPS6KA4
PRKCA	0	RAF1
SOS1	1	HRAS
MAP2K3	1	MAPK13
MAP2K6	1	MAPK13
MAP2K3	1	MAPK12
SOS1	1	NRAS
SOS1	1	KRAS
PTK2B	1	SRC
JAK3	1	STAT5B
MAPK1	1	FOS
MAPK3	1	FOS
AKT3	0	GSK3B
EREG	1	EGFR
GH2	1	GHR
TNFSF14	1	TNFRSF14
LTA	1	TNFRSF14
CALM3	1	CAMK2A
CALM1	1	CAMK2A
CALM2	1	CAMK2A
MAPK14	1	RPS6KA5
MAPK1	1	ELK1
CALM3	1	CAMK4
CALM1	1	CAMK4
CAMK4	1	CALM1
CALM2	1	CAMK4
CAMK4	1	CREB1
YWHAH	0	BRAF
CAMK2A	0	CREB1
CAMK1	1	CREB1
ARRB1	1	SRC
NRAS	1	BRAF
MAPK14	1	JUN
YWHAH	-1	RAF1
TAB3	1	MAP3K7
MAP2K6	1	MAPK8
IRAK4	1	TRAF6
PREX1	1	RAC1
IRAK1	1	TRAF6
TRAF6	1	TAB3
APC_AXIN1_GSK3B	-1	CTNNB1
IFNAR1_IFNAR2	1	JAK1
MAPK1	1	JUN
PDGFB	1	PDGFRB
PRKCB	1	RAF1
SOS2	1	KRAS
MET	1	GRB2
FGFR2	1	GRB2
IL2RB	1	JAK1
MAPK3	1	ESR1
MAPK3	1	JUN
MAPK1	1	ESR1
MAPK1	1	ATF2
MAPK10	1	JUN
RAC1	1	MAPK8
PTPN11	0	SRC
PTPRJ	0	SRC
ERN1	1	TRAF2
HRAS	1	ARAF
NRAS	1	ARAF
PDGFRB	1	GRB2
SRC	1	KRAS
ESR1	1	SRC
SRC	1	GRB2
SRC	1	RAC1
ACP1	0	SRC
MAPK3	1	ATF2
ARNT	1	HIF1A
EGFR	1	MAPK1
MAPK1	1	MYC
AKT1	1	ESR1
AKT2	1	ESR1
AKT2	-1	GSK3B
FLT3	1	GRB2
MAPK9	0	JUN
MAP2K4	1	MAPK14
MAP2K6	1	MAPK9
MAP2K6	1	MAPK10
MAPK12	1	ATF2
GRB2	1	SOS2
RAC1	1	MAPK9
SOS2	1	HRAS
PAK1	1	ARAF
DOCK1	1	RAC1
CRK	1	DOCK1
PDGFA	1	PDGFRB
EGFR	1	JAK1
MAP3K5	1	MAPK8
YWHAZ	0	RAF1
YWHAQ	-1	RAF1
YWHAB	-1	RAF1
YWHAZ	-1	BRAF
MAP2K4	1	MAPK12
PAK1	1	BRAF
YWHAG	-1	ARAF
YWHAG	-1	BRAF
CAMK2B	1	CREB1
CAMK2D	1	CREB1
CAMK2G	1	CREB1
MAPK9	1	FOS
PRKCB	1	BRAF
CAMK1G	1	CREB1
MAP2K7	1	MAPK14
MAPK1	1	ESR2
MAPK3	1	CREB1
MAPK1	1	CREB1
CALM1	1	CAMK2G
CAMK2G	0	CALM1
YWHAG	-1	RAF1
PDGFRA	1	GRB2
YWHAB	-1	BRAF
MAP2K1	1	MAPK14
CALM3	1	CAMK2D
CALM1	1	CAMK2D
CALM2	1	CAMK2D
CALM3	1	CAMK2B
CALM1	1	CAMK2B
CALM2	1	CAMK2B
CALM3	1	CAMK2G
CALM2	1	CAMK2G
CALM3	1	CAMK1
CALM1	1	CAMK1
CAMK1	0	CALM1
CALM2	1	CAMK1
MAP2K3	1	MAPK3
HRAS	1	MAP3K1
IL2RB	1	JAK3
MAPK13	1	ATF2
MAP2K4	1	MAPK11
JAK3	0	STAT6
RPS6KA5	1	ATF2
KRAS	1	ARAF
YWHAQ	-1	BRAF
TNFRSF14	1	TRAF2
YWHAE	-1	RAF1
YWHAZ	-1	ARAF
YWHAE	-1	ARAF
ESR2	1	SRC
FGFR3	1	GRB2
FGFR1	1	GRB2
MAPK11	1	JUN
AKT1	1	ESR2
