code	name	TF	ligand
Q9Y2J0	RPH3A	False	True
Q13905	RAPGEF1	False	False
Q15796	SMAD2	False	False
Q8N5C8	TAB3	False	False
P36897	TGFBR1	False	True
O75509	TNFRSF21	False	True
P55089	UCN	False	True
P42226	STAT6	True	False
P21980	TGM2	False	True
P02786	TFRC	False	True
P19438	TNFRSF1A	False	True
P06702	S100A9	False	True
Q9P1W8	SIRPG	False	True
P18206	VCL	False	True
Q93098	WNT8B	False	True
P04278	SHBG	False	True
Q9C0C4	SEMA4C	False	True
P48023	FASLG	False	True
O60603	TLR2	False	True
P01374	LTA	False	True
P07602	PSAP	False	True
P10646	TFPI	False	True
P35625	TIMP3	False	True
P35442	THBS2	False	True
Q9H7M9	VSIR	False	True
P24821	TNC	False	True
P00734	F2	False	True
P02788	LTF	False	True
P32241	VIPR1	False	True
O96014	WNT11	False	True
Q14765	STAT4	True	False
Q86XR7	TICAM2	False	False
P13726	F3	False	True
Q9Y4K3	TRAF6	False	False
Q9NP99	TREM1	False	True
P10586	PTPRF	False	True
P23471	PTPRZ1	False	True
O15211	RGL2	False	False
Q96RS0	TGS1	False	True
Q9UKW4	VAV3	False	False
Q03405	PLAUR	False	True
Q6UXZ4	UNC5D	False	True
Q00653	NFKB2	True	False
Q8IWL1	SFTPA2	False	True
Q8IWL2	SFTPA1	False	True
P0CG48	UBC	False	True
Q13009	TIAM1	False	False
O00220	TNFRSF10A	False	True
Q969E3	UCN3	False	True
O75044	SRGAP2	False	False
Q86WV6	STING1	False	False
P30530	AXL	False	True
Q96RP3	UCN2	False	True
P49765	VEGFB	False	True
Q9Y275	TNFSF13B	False	True
Q96DA0	ZG16B	False	True
Q9HBX9	RXFP1	False	True
P61278	SST	False	True
P00750	PLAT	False	True
P07204	THBD	False	True
P01282	VIP	False	True
Q92844	TANK	False	False
Q9NYJ8	TAB2	False	False
Q9UP52	TFR2	False	True
Q06643	LTB	False	True
Q96A98	PTH2	False	True
O75888	TNFSF13	False	True
Q07889	SOS1	False	False
P30874	SSTR2	False	True
P11831	SRF	True	False
P43489	TNFRSF4	False	True
P29597	TYK2	False	False
P06239	LCK	False	False
P19256	CD58	False	True
Q12913	PTPRJ	False	True
Q15382	RHEB	False	False
P15923	TCF3	True	False
P01033	TIMP1	False	True
P37288	AVPR1A	False	True
P19320	VCAM1	False	True
P40763	STAT3	True	False
P10600	TGFB3	False	True
Q92956	TNFRSF14	False	True
O43914	TYROBP	False	True
P40200	CD96	False	True
P41587	VIPR2	False	True
Q96MS0	ROBO3	False	False
O94813	SLIT2	False	True
O14788	TNFSF11	False	True
Q9Y2Z0	SUGT1	False	False
O60602	TLR5	False	True
P52735	VAV2	False	False
P56704	WNT3A	False	True
P55058	PLTP	False	True
Q13485	SMAD4	True	False
Q495A1	TIGIT	False	True
P20333	TNFRSF1B	False	True
O43156	TTI1	False	False
P31431	SDC4	False	True
P48436	SOX9	True	False
P16035	TIMP2	False	True
O00463	TRAF5	False	True
O14763	TNFRSF10B	False	True
Q9BXY4	RSPO3	False	True
P0DJI8	SAA1	False	True
P21583	KITLG	False	True
P12931	SRC	False	False
Q16613	AANAT	False	True
P01266	TG	False	True
Q9NTN9	SEMA4G	False	True
P98077	SHC2	False	False
P48061	CXCL12	False	True
Q96PL1	SCGB3A2	False	True
P42224	STAT1	True	False
P49767	VEGFC	False	True
P35968	KDR	False	True
P56706	WNT7B	False	True
P37173	TGFBR2	False	False
Q8IU80	TMPRSS6	False	True
P62070	RRAS2	False	False
P02787	TF	False	True
P07996	THBS1	False	True
P08670	VIM	False	True
O14492	SH2B2	False	False
Q9BZZ2	SIGLEC1	False	True
O00206	TLR4	False	True
P41221	WNT5A	False	True
Q14242	SELPLG	False	True
P19634	SLC9A1	False	False
O00755	WNT7A	False	True
P30518	AVPR2	False	True
O43915	VEGFD	False	True
Q2I0M5	RSPO4	False	True
P34741	SDC2	False	True
P0CG47	UBB	False	True
P56705	WNT4	False	True
Q9H1J5	WNT8A	False	True
P04275	VWF	False	True
P06454	PTMA	False	True
Q8TD07	RAET1E	False	True
Q6UXX9	RSPO2	False	True
P04628	WNT1	False	True
Q7Z7D3	VTCN1	False	True
Q93097	WNT2B	False	True
P09683	SCT	False	True
P13385	TDGF1	False	True
P23510	TNFSF4	False	True
Q9Y6Q6	TNFRSF11A	False	False
P25445	FAS	False	True
Q9BQB4	SOST	False	True
P01222	TSHB	False	True
O95025	SEMA3D	False	True
O43278	SPINT1	False	True
O75093	SLIT1	False	True
P08138	NGFR	False	True
O00300	TNFRSF11B	False	True
P49815	TSC2	False	False
P15692	VEGFA	False	True
P47992	XCL1	False	True
Q9H171	ZBP1	False	False
P26447	S100A4	False	False
P84022	SMAD3	False	True
P01135	TGFA	False	True
O43557	TNFSF14	False	True
P98155	VLDLR	False	True
Q99835	SMO	False	True
Q14247	CTTN	False	False
Q15628	TRADD	False	True
Q4VX76	SYTL3	False	True
Q9Y4R8	TELO2	False	False
Q8IUC6	TICAM1	False	False
P48995	TRPC1	False	False
P04808	RLN1	False	True
Q92673	SORL1	False	True
Q9H2G2	SLK	False	False
P61812	TGFB2	False	True
P48651	PTDSS1	False	True
P08575	PTPRC	False	True
P47872	SCTR	False	True
O75094	SLIT3	False	True
Q13332	PTPRS	False	True
P01137	TGFB1	False	True
Q9Y2C9	TLR6	False	True
Q9NZC2	TREM2	False	True
P35916	FLT4	False	True
Q9H1J7	WNT5B	False	True
Q15262	PTPRK	False	True
P25311	AZGP1	False	True
Q9BZM5	ULBP2	False	True
P00749	PLAU	False	True
P56703	WNT3	False	True
Q9UBY5	LPAR3	False	True
Q02750	MAP2K1	False	False
P52564	MAP2K6	False	False
Q8NFZ4	NLGN2	False	True
P04637	TP53	True	False
P12273	PIP	False	True
Q13164	MAPK7	False	False
Q68D85	NCR3LG1	False	True
O96013	PAK4	False	False
O15530	PDPK1	False	False
P14780	MMP9	False	True
O00634	NTN3	False	True
P07237	P4HB	False	True
P41586	ADCYAP1R1	False	True
Q9HBI1	PARVB	False	False
Q9GZP0	PDGFD	False	True
P07948	LYN	False	False
O95819	MAP4K4	False	False
P33032	MC5R	False	True
P01106	MYC	True	False
Q92823	NRCAM	False	True
Q9HCQ7	NPVF	False	True
Q92692	NECTIN2	False	True
P12272	PTHLH	False	True
Q13349	ITGAD	False	True
P22001	KCNA3	False	True
O75030	MITF	True	False
Q6UX01	LMBR1L	False	True
Q96S42	NODAL	False	True
P25116	F2R	False	True
P08648	ITGA5	False	True
P20701	ITGAL	False	True
P43629	KIR3DL1	False	False
P15018	LIF	False	True
Q16787	LAMA3	False	True
O15230	LAMA5	False	True
Q8WWG1	NRG4	False	True
P35568	IRS1	False	False
P21941	MATN1	False	True
O43318	MAP3K7	False	False
P30990	NTS	False	True
Q8NG41	NPB	False	True
P48645	NMU	False	True
P05305	EDN1	False	True
Q13651	IL10RA	False	False
Q08380	LGALS3BP	False	True
O75610	LEFTY1	False	True
Q9C000	NLRP1	False	False
O14511	NRG2	False	True
P37231	PPARG	True	False
P01178	OXT	False	True
P21453	S1PR1	False	True
Q9NS98	SEMA3G	False	True
P50591	TNFSF10	False	True
Q9Y6N7	ROBO1	False	False
O60635	TSPAN1	False	True
P16473	TSHR	False	True
Q9Y566	SHANK1	False	True
Q9NYK1	TLR7	False	True
Q13114	TRAF3	False	True
Q12933	TRAF2	False	True
Q13671	RIN1	False	False
P05109	S100A8	False	True
Q02763	TEK	False	False
P36941	LTBR	False	True
Q13275	SEMA3F	False	True
Q9NR96	TLR9	False	True
P04629	NTRK1	False	True
P06400	RB1	False	False
Q6ZVN8	HJV	False	True
O43353	RIPK2	False	False
P01286	GHRH	False	True
P25942	CD40	False	True
Q92854	SEMA4D	False	True
Q8NFY4	SEMA6D	False	True
O75326	SEMA7A	False	True
P02766	TTR	False	True
Q9Y490	TLN1	False	True
P41273	TNFSF9	False	True
Q9Y572	RIPK3	False	False
P21815	IBSP	False	True
Q15750	TAB1	False	False
Q15399	TLR1	False	True
Q9Y5Y6	ST14	False	True
P01375	TNF	False	True
Q9NQC3	RTN4	False	True
Q6ZN44	UNC5A	False	True
P09544	WNT2	False	True
P43403	ZAP70	False	False
Q969D9	TSLP	False	True
P04004	VTN	False	True
P02774	GC	False	True
Q9Y4D7	PLXND1	False	True
Q13464	ROCK1	False	False
Q96QR1	SCGB3A1	False	True
Q9UHA4	LAMTOR3	False	False
Q96JQ5	MS4A4A	False	True
P41968	MC3R	False	True
P29475	NOS1	False	False
P22692	IGFBP4	False	True
P56199	ITGA1	False	True
O15031	PLXNB2	False	True
Q13519	PNOC	False	True
Q13972	RASGRF1	False	False
Q13546	RIPK1	False	True
Q2MKA7	RSPO1	False	True
Q8WXF3	RLN3	False	True
Q8WTV0	SCARB1	False	True
P10082	PYY	False	True
O60896	RAMP3	False	True
P18827	SDC1	False	True
Q8N729	NPW	False	True
P11233	RALA	False	False
Q99985	SEMA3C	False	True
P21246	PTN	False	True
Q06124	PTPN11	False	False
Q07157	TJP1	False	False
P11684	SCGB1A1	False	True
P50552	VASP	False	True
P02768	ALB	False	True
Q9NR61	DLL4	False	True
P05112	IL4	False	True
P01571	IFNA17	False	True
P01562	IFNA1/IFNA13	False	True
P08069	IGF1R	False	True
P15260	IFNGR1	False	True
P29274	ADORA2A	False	True
P21554	CNR1	False	True
Q15389	ANGPT1	False	True
P28906	CD34	False	True
P12107	COL11A1	False	True
P0C0L4	C4A	False	True
O75923	DYSF	False	True
P23528	CFL1	False	False
Q96CG8	CTHRC1	False	True
P08174	CD55	False	True
P10767	FGF6	False	True
P24530	EDNRB	False	True
P00488	F13A1	False	True
P07359	GP1BA	False	True
Q9Y6W8	ICOS	False	True
O15111	CHUK	False	False
P32881	IFNA8	False	True
Q14116	IL18	False	True
Q13418	ILK	False	False
P21333	FLNA	False	False
Q9H461	FZD8	False	True
Q9Y2X7	GIT1	False	False
P05113	IL5	False	True
P05019	IGF1	False	True
P01344	IGF2	False	True
P10145	CXCL8	False	True
Q9NPH9	IL26	False	True
Q08881	ITK	False	False
P16157	ANK1	False	False
Q14393	GAS6	False	True
O14793	MSTN	False	True
P14210	HGF	False	True
Q15758	SLC1A5	False	True
P55196	AFDN	False	True
P55056	APOC4	False	True
Q14831	GRM7	False	True
Q99075	HBEGF	False	True
P11142	HSPA8	False	True
Q9UHA7	IL36A	False	True
P05000	IFNW1	False	True
P01584	IL1B	False	True
Q9HBE4	IL21	False	True
Q13007	IL24	False	True
P14209	CD99	False	True
P16070	CD44	False	True
Q14050	COL9A3	False	True
O95786	DDX58	False	False
P03372	ESR1	True	False
P01148	GNRH1	False	True
P49841	GSK3B	False	False
O95998	IL18BP	False	True
Q9Y624	F11R	False	True
P78314	SH3BP2	False	False
P15336	ATF2	True	False
P00742	F10	False	True
P54756	EPHA5	False	True
O75084	FZD7	False	True
Q9NZH8	IL36G	False	True
Q15768	EFNB3	False	True
Q12778	FOXO1	True	False
P01589	IL2RA	False	True
P13232	IL7	False	True
O75096	LRP4	False	True
P26715	KLRC1	False	True
P26717	KLRC2	False	True
P30305	CDC25B	False	False
Q96CV9	OPTN	False	False
P35372	OPRM1	False	True
P09237	MMP7	False	True
P21741	MDK	False	True
P30304	CDC25A	False	False
Q13258	PTGDR	False	True
Q13522	PPP1R1A	False	False
O75144	ICOSLG	False	True
Q9NSA2	KCND1	False	True
P25391	LAMA1	False	True
Q14114	LRP8	False	True
P12872	MLN	False	True
Q99466	NOTCH4	False	True
P51617	IRAK1	False	False
Q9BQ66	KRTAP4-12	False	True
Q9BXB1	LGR4	False	True
P13591	NCAM1	False	True
Q99972	MYOC	False	True
Q9H244	P2RY12	False	True
O43612	HCRT	False	True
A4D1S0	KLRG2	False	True
Q9GZZ8	LACRT	False	True
P19838	NFKB1	True	False
Q92542	NCSTN	False	True
P10721	KIT	False	False
Q9NZR2	LRP1B	False	True
O14745	SLC9A3R1	False	False
Q8IZ57	NRSN1	False	True
P37023	ACVRL1	False	True
P36896	ACVR1B	False	True
Q13094	LCP2	False	False
Q9Y239	NOD1	False	False
Q96NY8	NECTIN4	False	True
P01185	AVP	False	True
Q9ULB1	NRXN1	False	True
P55268	LAMB2	False	True
Q00987	MDM2	False	False
P98160	HSPG2	False	True
P12318	FCGR2A	False	True
P01570	IFNA14	False	True
P16871	IL7R	False	True
Q14213	EBI3	False	True
P38484	IFNGR2	False	True
Q9HB29	IL1RL2	False	True
P43626	KIR2DL1	False	False
P31995	FCGR2C	False	False
P22455	FGFR4	False	True
O75487	GPC4	False	True
P47871	GCGR	False	True
P07942	LAMB1	False	True
O43561	LAT	False	False
P02654	APOC1	False	True
O15197	EPHB6	False	True
Q12805	EFEMP1	False	True
P30273	FCER1G	False	False
O75791	GRAP2	False	False
P54753	EPHB3	False	True
P27539	GDF1	False	True
P10144	GZMB	False	True
P50148	GNAQ	False	False
P41743	PRKCI	False	False
Q14957	GRIN2C	False	True
Q30201	HFE	False	True
Q8N423	LILRB2	False	True
P22888	LHCGR	False	True
P12259	F5	False	False
Q9NQS5	GPR84	False	True
P55157	MTTP	False	True
P14784	IL2RB	False	False
O14920	IKBKB	False	False
P20809	IL11	False	True
P05362	ICAM1	False	True
P26010	ITGB7	False	True
P08514	ITGA2B	False	True
Q00978	IRF9	True	False
P11215	ITGAM	False	True
P26038	MSN	False	True
P00995	SPINK1	False	True
Q13797	ITGA9	False	True
