source	target	direction	stimulation	inhibition	sources	references
Q13255	P48995	1	1	0	KEGG;TRIP	TRIP:14614461
O15111	P19838	1	1	0	CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;IntAct;KEA;KEGG;MIMP;Macrophage;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD-phos:10469655;HPRD-phos:11158290;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;KEA:10469655;KEA:11158290;KEA:11976329;KEA:12482991;Macrophage:15489227;Macrophage:15494311;Macrophage:16382138;NetPath:14743216;PhosphoSite:12482991;ProtMapper:10469655;ProtMapper:11297557;ProtMapper:11976329;ProtMapper:27554194;SIGNOR:10469655;SPIKE:19442713;iPTMnet:10022904;iPTMnet:10469655;iPTMnet:11158290;iPTMnet:11976329;phosphoELM:10469655;phosphoELM:11158290;phosphoELM:12482991
P08069	P05019	1	0	0	DIP;HPRD;IntAct;KEGG;PhosphoPoint;Wang	DIP:11287679;DIP:21645859;HPRD:1852007;IntAct:21645859;IntAct:8452530
P45983	P45985	1	0	0	ELM;HPRD;InnateDB;KEGG;PhosphoPoint	ELM:12788955;ELM:23047924;ELM:26370088;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799
P45985	P45983	1	1	0	ACSN;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:11274345;ACSN:12624093;ACSN:12738796;ACSN:18855897;ACSN:21614932;ELM:12788955;ELM:23047924;ELM:26370088;HPRD-phos:16153436;HPRD-phos:18669648;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799;KEA:11062067;KEA:15755722;KEA:15911620;KEA:16153436;KEA:17192257;KEA:7839144;KEA:9312068;KEA:95141073;PhosphoSite:23416355;ProtMapper:10385525;ProtMapper:10499589;ProtMapper:10521444;ProtMapper:10748139;ProtMapper:10791986;ProtMapper:10958661;ProtMapper:10962008;ProtMapper:11062067;ProtMapper:11099046;ProtMapper:11389443;ProtMapper:11489946;ProtMapper:11847100;ProtMapper:12133933;ProtMapper:12354380;ProtMapper:12709432;ProtMapper:12917261;ProtMapper:14523011;ProtMapper:15068801;ProtMapper:16076903;ProtMapper:16282370;ProtMapper:16440308;ProtMapper:17143273;ProtMapper:7600581;ProtMapper:7600582;ProtMapper:7652575;ProtMapper:7992057;ProtMapper:8702918;ProtMapper:8805275;ProtMapper:8910292;ProtMapper:9108083;ProtMapper:9305638;ProtMapper:9448004;ProtMapper:9487126;ProtMapper:9724739;ProtMapper:9733714;ProtMapper:9860979;ProtMapper:9891069;SIGNOR:11062067;SIGNOR:21561061;SIGNOR:8974401;SIGNOR:9724739;SPIKE:15302099;SignaLink3:11062067;SignaLink3:11242034;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9207092;SignaLink3:9661668;SignaLink3:9808624;dbPTM:17192257;dbPTM:18083107;dbPTM:18669648;dbPTM:19369195;dbPTM:19534553;dbPTM:19690332;iPTMnet:11062067;iPTMnet:15911620;iPTMnet:16153436;iPTMnet:18669648;iPTMnet:7839144;iPTMnet:9724739;phosphoELM:15911620;phosphoELM:7839144
Q13009	P63000	1	1	0	ACSN;Adhesome;BioGRID;CA1;HPRD;KEGG;Lit-BM-17;SIGNOR;SPIKE;Wang	ACSN:11955434;ACSN:12829230;ACSN:15611338;ACSN:15967165;Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;CA1:10212259;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749;SIGNOR:12393875;SIGNOR:32203420;SPIKE:11130063
P01112	Q13009	1	1	0	ACSN;Adhesome;HPRD;InnateDB;KEGG;SPIKE;Wang	ACSN:12134164;ACSN:7673236;ACSN:9069260;Adhesome:12134164;Adhesome:16203995;HPRD:12134164;InnateDB:12134164;SPIKE:12134164;SPIKE:18568040
P42345	Q8N122	1	1	0	ARN;BioGRID;HPRD;HPRD_MIMP;InnateDB;IntAct;KEGG;Lit-BM-17;MIMP;PhosphoPoint;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP	ARN:12150925;ARN:12150926;ARN:12408816;ARN:12718876;ARN:15066126;ARN:15268862;ARN:15467718;ARN:15809305;ARN:16603397;ARN:16847060;ARN:16919458;ARN:16962653;ARN:17043309;ARN:17277771;ARN:17386266;ARN:17461779;ARN:17565979;ARN:17599906;ARN:17604271;ARN:18030348;ARN:18519641;ARN:18570873;ARN:18614546;ARN:18676370;ARN:19114562;ARN:19145465;ARN:19446321;ARN:22424946;ARN:23953116;BioGRID:16847060;BioGRID:25007995;HPRD:12150925;HPRD:12150926;HPRD:15066126;HPRD:16354680;HPRD:1683716516603397;InnateDB:12150925;InnateDB:12150926;InnateDB:12718876;InnateDB:15066126;InnateDB:15268862;InnateDB:15467718;InnateDB:15809305;InnateDB:16603397;InnateDB:16847060;InnateDB:16919458;InnateDB:16962653;InnateDB:17043309;InnateDB:17277771;InnateDB:17386266;InnateDB:17461779;InnateDB:17599906;InnateDB:17604271;InnateDB:18030348;InnateDB:18519641;InnateDB:18570873;InnateDB:18614546;InnateDB:18676370;InnateDB:19114562;InnateDB:19145465;IntAct:12150926;IntAct:12408816;IntAct:18955708;IntAct:19619545;IntAct:19875983;IntAct:21614075;IntAct:22424946;IntAct:23953116;IntAct:24375676;IntAct:25446900;IntAct:26348909;IntAct:27043084;Lit-BM-17:12150925;Lit-BM-17:12150926;Lit-BM-17:12408816;Lit-BM-17:12665511;Lit-BM-17:12719976;Lit-BM-17:12747827;Lit-BM-17:15066126;Lit-BM-17:15268862;Lit-BM-17:15459249;Lit-BM-17:15467718;Lit-BM-17:16183647;Lit-BM-17:16354680;Lit-BM-17:16603397;Lit-BM-17:16631613;Lit-BM-17:16798736;Lit-BM-17:16837165;Lit-BM-17:16847060;Lit-BM-17:16919458;Lit-BM-17:16962653;Lit-BM-17:17043309;Lit-BM-17:17277771;Lit-BM-17:17386266;Lit-BM-17:17461779;Lit-BM-17:17565979;Lit-BM-17:18030348;Lit-BM-17:18505677;Lit-BM-17:18519641;Lit-BM-17:18570873;Lit-BM-17:18722121;Lit-BM-17:18955708;Lit-BM-17:19114562;Lit-BM-17:19145465;Lit-BM-17:19446321;Lit-BM-17:19619545;Lit-BM-17:19875983;Lit-BM-17:20169205;Lit-BM-17:20381137;Lit-BM-17:20427287;Lit-BM-17:21045808;Lit-BM-17:21071439;Lit-BM-17:21177249;Lit-BM-17:21321085;Lit-BM-17:22258093;Lit-BM-17:22356909;Lit-BM-17:22424946;Lit-BM-17:22493283;Lit-BM-17:22544753;Lit-BM-17:23297343;Lit-BM-17:23872070;Lit-BM-17:23911927;Lit-BM-17:23953116;Lit-BM-17:24036451;Lit-BM-17:24337580;Lit-BM-17:24375676;Lit-BM-17:24403073;Lit-BM-17:24516643;Lit-BM-17:25007995;Lit-BM-17:25332233;Lit-BM-17:25446900;ProtMapper:19346248;ProtMapper:19864431;ProtMapper:21179025;ProtMapper:21981278;ProtMapper:22570334;ProtMapper:24972320;ProtMapper:25361081;ProtMapper:27043084;ProtMapper:27329724;SIGNOR:19346248;SIGNOR:19864431;SPIKE:12150925;SPIKE:15661536;SPIKE:19346248;SPIKE:19864431;iPTMnet:19346248;iPTMnet:19864431
Q8N122	P42345	1	0	0	ARN;BioGRID;HPRD;InnateDB;IntAct;KEGG;Lit-BM-17;ProtMapper;REACH_ProtMapper;SPIKE;Wang	ARN:12150925;ARN:12150926;ARN:12408816;ARN:12718876;ARN:15066126;ARN:15268862;ARN:15467718;ARN:15809305;ARN:16603397;ARN:16847060;ARN:16919458;ARN:16962653;ARN:17043309;ARN:17277771;ARN:17386266;ARN:17461779;ARN:17565979;ARN:17599906;ARN:17604271;ARN:18030348;ARN:18519641;ARN:18570873;ARN:18614546;ARN:18676370;ARN:19114562;ARN:19145465;ARN:19446321;ARN:22424946;ARN:23953116;BioGRID:16847060;BioGRID:25007995;HPRD:12150925;HPRD:12150926;HPRD:15066126;HPRD:16354680;HPRD:1683716516603397;InnateDB:12150925;InnateDB:12150926;InnateDB:12718876;InnateDB:15066126;InnateDB:15268862;InnateDB:15467718;InnateDB:15809305;InnateDB:16603397;InnateDB:16847060;InnateDB:16919458;InnateDB:16962653;InnateDB:17043309;InnateDB:17277771;InnateDB:17386266;InnateDB:17461779;InnateDB:17599906;InnateDB:17604271;InnateDB:18030348;InnateDB:18519641;InnateDB:18570873;InnateDB:18614546;InnateDB:18676370;InnateDB:19114562;InnateDB:19145465;IntAct:12150926;IntAct:12408816;IntAct:18955708;IntAct:19619545;IntAct:19875983;IntAct:21614075;IntAct:22424946;IntAct:23953116;IntAct:24375676;IntAct:25446900;IntAct:26348909;IntAct:27043084;Lit-BM-17:12150925;Lit-BM-17:12150926;Lit-BM-17:12408816;Lit-BM-17:12665511;Lit-BM-17:12719976;Lit-BM-17:12747827;Lit-BM-17:15066126;Lit-BM-17:15268862;Lit-BM-17:15459249;Lit-BM-17:15467718;Lit-BM-17:16183647;Lit-BM-17:16354680;Lit-BM-17:16603397;Lit-BM-17:16631613;Lit-BM-17:16798736;Lit-BM-17:16837165;Lit-BM-17:16847060;Lit-BM-17:16919458;Lit-BM-17:16962653;Lit-BM-17:17043309;Lit-BM-17:17277771;Lit-BM-17:17386266;Lit-BM-17:17461779;Lit-BM-17:17565979;Lit-BM-17:18030348;Lit-BM-17:18505677;Lit-BM-17:18519641;Lit-BM-17:18570873;Lit-BM-17:18722121;Lit-BM-17:18955708;Lit-BM-17:19114562;Lit-BM-17:19145465;Lit-BM-17:19446321;Lit-BM-17:19619545;Lit-BM-17:19875983;Lit-BM-17:20169205;Lit-BM-17:20381137;Lit-BM-17:20427287;Lit-BM-17:21045808;Lit-BM-17:21071439;Lit-BM-17:21177249;Lit-BM-17:21321085;Lit-BM-17:22258093;Lit-BM-17:22356909;Lit-BM-17:22424946;Lit-BM-17:22493283;Lit-BM-17:22544753;Lit-BM-17:23297343;Lit-BM-17:23872070;Lit-BM-17:23911927;Lit-BM-17:23953116;Lit-BM-17:24036451;Lit-BM-17:24337580;Lit-BM-17:24375676;Lit-BM-17:24403073;Lit-BM-17:24516643;Lit-BM-17:25007995;Lit-BM-17:25332233;Lit-BM-17:25446900;ProtMapper:27329724;SPIKE:12150925;SPIKE:15661536
P42345	Q9BVC4	1	0	0	ARN;DIP;HPRD;InnateDB;IntAct;KEGG;PhosphoPoint;SPIKE;Wang	ARN:12408816;ARN:12718876;ARN:15066126;ARN:15268862;ARN:16919458;ARN:17277771;ARN:17461779;ARN:18030348;ARN:18614546;ARN:20562859;DIP:23636326;HPRD:12718876;HPRD:15066126;InnateDB:12718876;InnateDB:15066126;InnateDB:15268862;InnateDB:16919458;InnateDB:17277771;InnateDB:17461779;InnateDB:18030348;InnateDB:18614546;IntAct:12408816;IntAct:23636326;SPIKE:12718876
