source	interaction	target
RACK1	-1	TRPM6
TRPM7	1	TRPM6
TRPM6	1	TRPM7
CASP3	1	ITGB4
MAPKAPK2	1	MAPK14
MAPK14	1	MAPKAPK2
JAK2	1	EPOR
EPOR	1	JAK2
NUMB	1	NOTCH1
NOTCH1	-1	JAG2
JAG2	1	NOTCH1
DLL1	1	NOTCH1
NOTCH1	1	DLL1
AKT1	1	CHUK
CHUK	1	NFKB1
NFKB1	1	CHUK
PIK3R1	1	AKT1
CDKN1A	-1	CDK1
TP53	-1	PRC1
TP53	1	ATF3
ATF3	-1	TP53
ATM	1	TERF2
TERF2	-1	ATM
ATR	1	XPA
IGF1	1	IGF1R
MMP14	1	MMP2
ABL1	1	TP73
ABL1	-1	PRKDC
PRKDC	1	ABL1
ARNTL	1	CRY1
CRY1	-1	ARNTL
NPAS2	1	PER2
NPAS2	1	PER1
ATAD2	1	ESR1
USP28	1	CLSPN
USP7	1	MDM2
USP7	1	MDM4
RBL1	1	E2F4
E2F4	-1	RBL1
RBL2	1	E2F4
MDC1	1	TP53BP1
MDC1	1	RNF8
PRKN	-1	RANBP2
PRKN	-1	JUN
BACE2	1	APP
PRKN	1	SNCA
APP	1	BACE1
BACE1	1	APP
ADAM10	1	APP
PTEN	-1	PREX2
PREX2	-1	PTEN
PTPRD	-1	STAT3
PEBP1	1	RAF1
USP28	-1	FBXW7
CDK2	1	MYC
HBP1	-1	MYC
TRRAP	1	MYC
FBXW7	1	MYC
PAK1	1	PXN
CASP3	1	PRKDC
CASP3	1	GSN
ATM	1	USP28
MAP2K4	1	MAPK8
ATG13	1	ULK1
ULK1	1	ATG13
ULK1	1	RB1CC1
RB1CC1	1	ULK1
MTOR	-1	ATG13
ATG13	1	RB1CC1
MTOR	-1	ULK2
RAC1	1	TIAM1
TIAM1	1	RAC1
HRAS	1	TIAM1
TIAM1	1	HRAS
ATG10	1	ATG12
MTOR	1	RPTOR
RPTOR	1	MTOR
AKT1	-1	AKT1S1
DAPK1	-1	CAMKK2
MLST8	1	MTOR
ATG13	1	ULK2
ULK2	1	ATG13
AKT1S1	-1	RPTOR
MTOR	-1	AKT1S1
AKT1S1	-1	MTOR
ULK2	1	RB1CC1
RB1CC1	1	ULK2
MCL1	1	BAD
ATG7	1	ATG3
HRAS	1	PLCE1
PLCE1	1	HRAS
MAPK14	1	MAPKAPK5
MAPKAPK5	1	TP53
TP53	1	MCL1
BNIP3	-1	BCL2
BCL2L1	1	BNIP3
BNIP3	-1	BCL2L1
SPNS1	-1	BCL2
SPNS1	-1	BCL2L1
ATG4B	1	MAP1LC3B
CALM1	1	DAPK1
CAPN1	-1	BCL2L1
CAPN2	1	BID
CAPN1	1	BID
CASP3	1	BCAR1
BCL2	-1	CASP3
CASP3	-1	BCL2
CASP6	1	VIM
CASP2	1	RIPK1
RIPK1	1	CASP10
CASP10	-1	RIPK1
CASP10	1	BID
TOPBP1	1	ATR
E2F1	1	BRCA1
TIRAP	1	MYD88
SIX1	-1	EYA1
PDPK1	1	PRKCG
PDK1	1	PRKCG
E2F1	1	EZH2
E2F2	1	CCNB1
MYC	1	NME1
RALB	1	RALBP1
RALGDS	1	RALA
