source	interaction	target
MAPK14	1	MAPKAPK2
NUMB	0	NOTCH1
JAG2	0	NOTCH1
DLL1	1	NOTCH1
AKT1	1	CHUK
CHUK	0	NFKB1
CDKN1A	-1	CDK1
TERF2	-1	ATM
IGF1	1	IGF1R
USP7	1	MDM2
MDC1	1	RNF8
BACE1	1	APP
PTEN	-1	PREX2
PREX2	-1	PTEN
PTPRD	-1	STAT3
PEBP1	0	RAF1
FBXW7	0	MYC
PAK1	1	PXN
MAP2K4	1	MAPK8
TIAM1	1	RAC1
DAPK1	-1	CAMKK2
PLCE1	0	HRAS
MAPK14	1	MAPKAPK5
MAPKAPK5	1	TP53
ATG4B	0	MAP1LC3B
TOPBP1	1	ATR
TIRAP	1	MYD88
PDPK1	1	PRKCG
RALGDS	1	RALA
RALBP1	0	RAC1
JAG1	0	NOTCH1
KIT	1	GRB2
ERBB2	1	GRB2
AKT2	0	CDKN1A
AKT1	0	CDKN1B
PRKCG	1	RAF1
SFRP1	0	WNT1
BBC3	-1	MCL1
MCL1	-1	BAK1
MTOR	-1	ULK1
RHEB	1	MTOR
TSC2	0	RHEB
TSC2	0	TSC1
ATG7	1	MAP1LC3B
AKT1	-1	TSC2
MAP1LC3B	1	ATG3
ATG3	1	MAP1LC3B
CASP8	1	CASP3
BCL2L1	0	APAF1
DAPK1	1	TP53
PRKCI	-1	BAD
MAPK8	0	BCL2
BBC3	1	BAX
HRK	-1	BCL2L1
HRK	-1	BCL2
RHEB	-1	FKBP8
FKBP8	-1	MTOR
MAP2K1	1	MAPK3
MAPK3	1	RPS6KA3
MAPK1	1	RPS6KA1
MAPK1	1	RPS6KA3
MAPK1	1	DAPK1
DAPK1	-1	MAPK1
PTPRF	1	DAPK1
RAF1	1	MAP2K1
ATM	1	MDC1
CHEK1	0	WEE1
WNT5A	0	FZD2
AKT1	0	CDKN1A
SUMO1	1	PML
MAPKAPK2	-1	CDC25A
CHEK1	-1	CDC25B
ATR	1	RBBP8
CDK1	1	E2F1
MAP3K8	1	MAP3K14
IKBKB	-1	TSC1
MAP3K8	1	MAP2K4
BCL10	1	IKBKG
MAP3K14	1	IKBKB
TP53	-1	BIRC5
IL22	1	IL10RB
MAPKAPK2	0	TSC2
JAK2	1	STAT3
CHEK2	0	TP53
NFKB1	-1	MAP3K8
ATM	1	STK11
HIPK2	1	TP53
MAP3K7	1	IKBKB
ATM	1	ABL1
TRAF2	1	BIRC2
BIRC2	-1	TRAF2
IL10	1	IL10RA
JAK1	1	IRS1
INSR	0	IRS2
TRAF2	0	MAP3K14
IFIH1	0	MAVS
TICAM1	1	RIPK1
TICAM1	1	TBK1
IFNG	1	IFNGR1
DAPK3	1	CDKN1A
ZDHHC9	1	HRAS
ZDHHC9	1	NRAS
FLT3LG	1	FLT3
KITLG	1	KIT
IGF2	1	IGF1R
SMG1	1	TP53
TLR4	1	TIRAP
TLR4	1	TICAM2
TICAM2	1	TICAM1
TRAF6	1	MAP3K7
TICAM1	1	TRAF6
TLR3	1	TICAM1
MYD88	1	IRAK4
CARD8	-1	CASP9
TP53	-1	BCL2
RPS6KA3	-1	BAD
CDK1	1	BIRC5
GSK3B	1	AXIN1
GSK3B	1	LRP6
MAPK8	-1	YWHAZ
CHEK2	-1	CDC25A
PLK1	0	WEE1
CDK5	0	PRKN
CSNK1A1	0	CTNNB1
CSNK1A1	-1	CDC25A
CHEK1	1	TP53
ATR	1	E2F1
DDB2	1	E2F1
ATM	0	MDM2
SGK1	0	FOXO3
AKT1	0	FOXO1
PLK3	1	TP53
GSK3B	0	CCND1
GSK3B	0	MYC
IKBKB	-1	IKBKG
IKBKG	1	IKBKB
CHEK1	0	CDC25A
CASP6	1	CASP8
CASP8	1	CASP6
CDK1	1	CSNK2B
DYRK2	1	TP53
MAVS	0	TBK1
TNFRSF10A	1	FADD
APIP	-1	APAF1
CASP1	0	IL1B
BID	1	BAK1
BID	1	BAX
XIAP	-1	DIABLO
DIABLO	0	XIAP
CDK1	0	WEE1
WEE1	-1	CDK1
MAP2K2	1	MAPK3
MAPK8	0	IRS1
MAPK8	1	MAPK8IP1
MAPK8IP1	0	MAPK8
MAPK1	0	MAP2K1
MAP2K1	1	MAPK1
PPM1D	-1	ATM
CCL5	1	CCR5
CCL8	1	CCR5
CCL4	1	CCR5
IL6	1	IL6ST
PPM1D	0	CHEK2
DIABLO	0	BIRC2
DIABLO	0	BIRC3
BIRC5	-1	DIABLO
DIABLO	-1	BIRC5
FADD	1	RIPK1
HTRA2	-1	XIAP
ATG4B	0	GABARAP
CASP3	-1	IKBKB
ATG4B	1	GABARAPL2
ATM	0	IKBKG
ATM	1	H2AX
H2AX	1	MDC1
BIRC5	-1	CASP9
EGFR	1	GRB2
GRB2	1	EGFR
CASP3	1	ROCK1
TRAF6	1	TAB2
TAB1	1	MAP3K7
BIRC3	-1	CASP9
BIRC6	-1	CASP3
TAB2	1	MAP3K7
MAP3K5	1	DAXX
DAXX	1	MAP3K5
DAXX	-1	FAS
SQSTM1	1	WDFY3
BCL2L2	-1	BAK1
CASP7	-1	PARP1
EGF	1	EGFR
BCL2L2	-1	BAX
TRAF2	1	MAP3K5
RPS6KA1	-1	TSC2
MAPK3	-1	TSC2
IL1A	1	IL1R1
BAK1	1	HTRA2
BAD	-1	BCL2L2
BBC3	-1	BCL2L2
BCL2L11	-1	BCL2L2
BCL2L11	-1	BCL2
BID	-1	BCL2L1
BCL2L11	-1	BCL2L1
BCL2	-1	BAK1
