	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	MCF7	PC3	SHSY5Y	SW480	VCAP
1	DER001_A375_96H:TRCN0000121071:-666	1	0	0	0	0	0	0	0	0	0	0	0
2	DER001_A549_96H:TRCN0000195303:-666	0	1	0	0	0	0	0	0	0	0	0	0
3	DER001_VCAP_96H:TRCN0000195303:-666	0	0	0	0	0	0	0	0	0	0	0	1
4	EKW001_PC3_120H:TRCN0000295914:2	0	0	0	0	0	0	0	0	1	0	0	0
5	EKW001_PC3_120H:TRCN0000299931:2	0	0	0	0	0	0	0	0	1	0	0	0
6	EKW001_SHSY5Y_120H:TRCN0000262848:2	0	0	0	0	0	0	0	0	0	1	0	0
7	EKW001_SHSY5Y_120H:TRCN0000288787:2	0	0	0	0	0	0	0	0	0	1	0	0
8	EKW001_SHSY5Y_120H:TRCN0000299931:2	0	0	0	0	0	0	0	0	0	1	0	0
9	ERGK001_VCAP_120H:TRCN0000007006:-666	0	0	0	0	0	0	0	0	0	0	0	1
10	ERGK001_VCAP_120H:TRCN0000196917:-666	0	0	0	0	0	0	0	0	0	0	0	1
11	ERGK004_VCAP_120H:TRCN0000002224:-666	0	0	0	0	0	0	0	0	0	0	0	1
12	ERGK004_VCAP_120H:TRCN0000194685:-666	0	0	0	0	0	0	0	0	0	0	0	1
13	ERGK005_VCAP_120H:TRCN0000006159:-666	0	0	0	0	0	0	0	0	0	0	0	1
14	ERGK010_VCAP_120H:TRCN0000195721:-666	0	0	0	0	0	0	0	0	0	0	0	1
15	ERGK013_VCAP_120H:TRCN0000001014:-666	0	0	0	0	0	0	0	0	0	0	0	1
16	ERGK013_VCAP_120H:TRCN0000009975:-666	0	0	0	0	0	0	0	0	0	0	0	1
17	ERGK015_VCAP_120H:TRCN0000000419:-666	0	0	0	0	0	0	0	0	0	0	0	1
18	KDA001_A549_96H:TRCN0000007310:-666	0	1	0	0	0	0	0	0	0	0	0	0
19	KDA001_HA1E_96H:TRCN0000039634:-666	0	0	1	0	0	0	0	0	0	0	0	0
20	KDA001_HT29_96H:TRCN0000008027:-666	0	0	0	0	0	0	1	0	0	0	0	0
21	KDA001_HT29_96H:TRCN0000039633:-666	0	0	0	0	0	0	1	0	0	0	0	0
22	KDA001_MCF7_96H:TRCN0000000394:-666	0	0	0	0	0	0	0	1	0	0	0	0
23	KDA001_MCF7_96H:TRCN0000008027:-666	0	0	0	0	0	0	0	1	0	0	0	0
24	KDA001_PC3_96H:TRCN0000039635:-666	0	0	0	0	0	0	0	0	1	0	0	0
25	KDA002_A375_96H:D02	1	0	0	0	0	0	0	0	0	0	0	0
26	KDA002_A375_96H:H17	1	0	0	0	0	0	0	0	0	0	0	0
27	KDA002_A549_96H:TRCN0000007006:-666	0	1	0	0	0	0	0	0	0	0	0	0
28	KDA002_A549_96H:TRCN0000020843:-666	0	1	0	0	0	0	0	0	0	0	0	0
29	KDA002_A549_96H:TRCN0000021846:-666	0	1	0	0	0	0	0	0	0	0	0	0
30	KDA002_HT29_96H:TRCN0000021844:-666	0	0	0	0	0	0	1	0	0	0	0	0
31	KDA002_MCF7_96H:TRCN0000020843:-666	0	0	0	0	0	0	0	1	0	0	0	0
32	KDA002_PC3_144H:TRCN0000007006:-666	0	0	0	0	0	0	0	0	1	0	0	0
33	KDA002_VCAP_120H:TRCN0000004872:-666	0	0	0	0	0	0	0	0	0	0	0	1
34	KDA002_VCAP_120H:TRCN0000021846:-666	0	0	0	0	0	0	0	0	0	0	0	1
35	KDA003_A549_96H:TRCN0000000943:-666	0	1	0	0	0	0	0	0	0	0	0	0
36	KDA003_A549_96H:TRCN0000007454:-666	0	1	0	0	0	0	0	0	0	0	0	0
37	KDA003_A549_96H:TRCN0000037899:-666	0	1	0	0	0	0	0	0	0	0	0	0
38	KDA003_HEPG2_96H:TRCN0000010039:-666	0	0	0	0	0	1	0	0	0	0	0	0
39	KDA003_HT29_96H:G10	0	0	0	0	0	0	1	0	0	0	0	0
40	KDA003_HT29_96H:M11	0	0	0	0	0	0	1	0	0	0	0	0
41	KDA003_HT29_96H:TRCN0000002329:-666	0	0	0	0	0	0	1	0	0	0	0	0
42	KDA003_HT29_96H:TRCN0000058846:-666	0	0	0	0	0	0	1	0	0	0	0	0
43	KDA003_PC3_96H:TRCN0000000373:-666	0	0	0	0	0	0	0	0	1	0	0	0
44	KDA003_PC3_96H:TRCN0000006150:-666	0	0	0	0	0	0	0	0	1	0	0	0
45	KDA003_VCAP_120H:TRCN0000033258:-666	0	0	0	0	0	0	0	0	0	0	0	1
46	KDA003_VCAP_120H:TRCN0000058844:-666	0	0	0	0	0	0	0	0	0	0	0	1
47	KDA004_A549_96H:TRCN0000003811:-666	0	1	0	0	0	0	0	0	0	0	0	0
48	KDA004_HEPG2_96H:TRCN0000003301:-666	0	0	0	0	0	1	0	0	0	0	0	0
49	KDA004_HT29_96H:TRCN0000003811:-666	0	0	0	0	0	0	1	0	0	0	0	0
50	KDA004_MCF7_96H:TRCN0000003301:-666	0	0	0	0	0	0	0	1	0	0	0	0
51	KDA004_VCAP_120H:C19	0	0	0	0	0	0	0	0	0	0	0	1
52	KDA005_A549_96H:TRCN0000039794:-666	0	1	0	0	0	0	0	0	0	0	0	0
53	KDA005_HT29_96H:TRCN0000004267:-666	0	0	0	0	0	0	1	0	0	0	0	0
54	KDA005_MCF7_144H:TRCN0000010163:-666	0	0	0	0	0	0	0	1	0	0	0	0
55	KDA005_MCF7_96H:TRCN0000004265:-666	0	0	0	0	0	0	0	1	0	0	0	0
56	KDA005_PC3_96H:TRCN0000010163:-666	0	0	0	0	0	0	0	0	1	0	0	0
57	KDA005_VCAP_120H:TRCN0000010163:-666	0	0	0	0	0	0	0	0	0	0	0	1
