	sig_id	A375	A549	BT20	HA1E	HCC515	HEPG2	HS578T	HT29	MCF7	MDAMB231	PC3	SKBR3	VCAP
1	CYT001_A375_4H:CMAP-CYT-885-GS-050:100	1	0	0	0	0	0	0	0	0	0	0	0	0
2	CYT001_A375_4H:CMAP-CYT-A2221:20	1	0	0	0	0	0	0	0	0	0	0	0	0
3	CYT001_A375_4H:CMAP-CYT-A2327:20	1	0	0	0	0	0	0	0	0	0	0	0	0
4	CYT001_A375_4H:CMAP-CYT-A4941:10	1	0	0	0	0	0	0	0	0	0	0	0	0
5	CYT001_A375_4H:CMAP-CYT-A6469:5	1	0	0	0	0	0	0	0	0	0	0	0	0
6	CYT001_A375_4H:CMAP-CYT-A7080:30	1	0	0	0	0	0	0	0	0	0	0	0	0
7	CYT001_A375_4H:CMAP-CYT-A9024:250	1	0	0	0	0	0	0	0	0	0	0	0	0
8	CYT001_A375_4H:CMAP-CYT-A9847:200	1	0	0	0	0	0	0	0	0	0	0	0	0
9	CYT001_A375_4H:CMAP-CYT-B1434:100	1	0	0	0	0	0	0	0	0	0	0	0	0
10	CYT001_A375_4H:CMAP-CYT-B2680:50	1	0	0	0	0	0	0	0	0	0	0	0	0
11	CYT001_A375_4H:CMAP-CYT-B2805:50	1	0	0	0	0	0	0	0	0	0	0	0	0
12	CYT001_A375_4H:CMAP-CYT-B3555:50	1	0	0	0	0	0	0	0	0	0	0	0	0
13	CYT001_A375_4H:CMAP-CYT-B3670:100	1	0	0	0	0	0	0	0	0	0	0	0	0
14	CYT001_A375_4H:CMAP-CYT-B3795:50	1	0	0	0	0	0	0	0	0	0	0	0	0
15	CYT001_A375_4H:CMAP-CYT-B6681:20	1	0	0	0	0	0	0	0	0	0	0	0	0
16	CYT001_A375_4H:CMAP-CYT-C1617:1000	1	0	0	0	0	0	0	0	0	0	0	0	0
17	CYT001_A375_4H:CMAP-CYT-C3042:50	1	0	0	0	0	0	0	0	0	0	0	0	0
18	CYT001_A375_4H:CMAP-CYT-C3657:400	1	0	0	0	0	0	0	0	0	0	0	0	0
