	sig_id	A375	A549	BT20	HA1E	HCC515	HEPG2	HS578T	HT29	MCF7	MDAMB231	PC3	SKBR3	VCAP
1	CYT001_A375_4H:CMAP-CYT-885-GS-050:100	1	0	0	0	0	0	0	0	0	0	0	0	0
2	CYT001_A375_4H:CMAP-CYT-A2327:20	1	0	0	0	0	0	0	0	0	0	0	0	0
3	CYT001_A375_4H:CMAP-CYT-B2805:50	1	0	0	0	0	0	0	0	0	0	0	0	0
4	CYT001_A375_4H:CMAP-CYT-B3795:50	1	0	0	0	0	0	0	0	0	0	0	0	0
5	CYT001_A375_4H:CMAP-CYT-C0663:0.03	1	0	0	0	0	0	0	0	0	0	0	0	0
6	CYT001_A375_4H:CMAP-CYT-C5533:400	1	0	0	0	0	0	0	0	0	0	0	0	0
7	CYT001_A375_4H:CMAP-CYT-C5983:400	1	0	0	0	0	0	0	0	0	0	0	0	0
8	CYT001_A375_4H:CMAP-CYT-C6745:800	1	0	0	0	0	0	0	0	0	0	0	0	0
9	CYT001_A375_4H:CMAP-CYT-F1300:50	1	0	0	0	0	0	0	0	0	0	0	0	0
10	CYT001_A375_4H:CMAP-CYT-F4021:15	1	0	0	0	0	0	0	0	0	0	0	0	0
11	CYT001_A375_4H:CMAP-CYT-G0278:15	1	0	0	0	0	0	0	0	0	0	0	0	0
12	CYT001_A375_4H:CMAP-CYT-G0657:50	1	0	0	0	0	0	0	0	0	0	0	0	0
13	CYT001_A375_4H:CMAP-CYT-G1260:1000	1	0	0	0	0	0	0	0	0	0	0	0	0
14	CYT001_A375_4H:CMAP-CYT-G8022:10	1	0	0	0	0	0	0	0	0	0	0	0	0
15	CYT001_A375_4H:CMAP-CYT-I5273:10	1	0	0	0	0	0	0	0	0	0	0	0	0
16	CYT001_A375_4H:CMAP-CYT-I9278:8300	1	0	0	0	0	0	0	0	0	0	0	0	0
17	CYT001_A375_4H:CMAP-CYT-L4146:100	1	0	0	0	0	0	0	0	0	0	0	0	0
18	CYT001_A375_4H:CMAP-CYT-L5283:1.65	1	0	0	0	0	0	0	0	0	0	0	0	0
19	CYT001_A375_4H:CMAP-CYT-L9780:0.01	1	0	0	0	0	0	0	0	0	0	0	0	0
20	CYT001_A375_4H:CMAP-CYT-M9695:5	1	0	0	0	0	0	0	0	0	0	0	0	0
21	CYT001_A375_4H:CMAP-CYT-N1905:25	1	0	0	0	0	0	0	0	0	0	0	0	0
22	CYT001_A375_4H:CMAP-CYT-N6383:200	1	0	0	0	0	0	0	0	0	0	0	0	0
23	CYT001_A375_4H:CMAP-CYT-O6379:2	1	0	0	0	0	0	0	0	0	0	0	0	0
