	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
1	DER001_A375_96H:TRCN0000195611:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
2	DER001_A549_96H:TRCN0000007229:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
3	DER001_A549_96H:TRCN0000344601:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
4	DER001_PC3_96H:J15	0	0	0	0	0	0	0	0	0	1	0	0	0
5	DER001_VCAP_96H:TRCN0000121318:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
6	DER001_VCAP_96H:TRCN0000295968:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
7	EKW001_PC3_120H:TRCN0000295865:2	0	0	0	0	0	0	0	0	0	1	0	0	0
8	EKW001_PC3_120H:TRCN0000295915:2	0	0	0	0	0	0	0	0	0	1	0	0	0
9	EKW001_PC3_120H:TRCN0000303774:2	0	0	0	0	0	0	0	0	0	1	0	0	0
10	EKW001_PC3_120H:TRCN0000327919:2	0	0	0	0	0	0	0	0	0	1	0	0	0
11	EKW001_SHSY5Y_120H:TRCN0000033456:2	0	0	0	0	0	0	0	0	0	0	1	0	0
12	EKW001_SHSY5Y_120H:TRCN0000295864:2	0	0	0	0	0	0	0	0	0	0	1	0	0
13	EKW001_SHSY5Y_120H:TRCN0000295915:2	0	0	0	0	0	0	0	0	0	0	1	0	0
14	EKW001_SHSY5Y_120H:TRCN0000303773:2	0	0	0	0	0	0	0	0	0	0	1	0	0
15	EKW001_SHSY5Y_120H:TRCN0000327919:2	0	0	0	0	0	0	0	0	0	0	1	0	0
16	EKW001_SHSY5Y_120H:TRCN0000342335:2	0	0	0	0	0	0	0	0	0	0	1	0	0
17	ERGK001_VCAP_120H:TRCN0000000637:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
18	ERGK001_VCAP_120H:TRCN0000000769:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
19	ERGK001_VCAP_120H:TRCN0000007006:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
20	ERGK001_VCAP_120H:TRCN0000018915:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
21	ERGK002_VCAP_120H:G08	0	0	0	0	0	0	0	0	0	0	0	0	1
