	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
1	DER001_A375_96H:TRCN0000195187:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
2	DER001_A375_96H:TRCN0000195611:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
3	DER001_A375_96H:TRCN0000262375:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
4	DER001_A549_96H:TRCN0000007229:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
5	DER001_A549_96H:TRCN0000262373:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
6	DER001_A549_96H:TRCN0000344601:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
7	DER001_PC3_96H:J15	0	0	0	0	0	0	0	0	0	1	0	0	0
8	DER001_VCAP_96H:TRCN0000121318:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
9	DER001_VCAP_96H:TRCN0000194900:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
10	DER001_VCAP_96H:TRCN0000280031:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
11	DER001_VCAP_96H:TRCN0000295968:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
12	EKW001_PC3_120H:TRCN0000055524:2	0	0	0	0	0	0	0	0	0	1	0	0	0
13	EKW001_PC3_120H:TRCN0000059758:2	0	0	0	0	0	0	0	0	0	1	0	0	0
14	EKW001_PC3_120H:TRCN0000194861:2	0	0	0	0	0	0	0	0	0	1	0	0	0
15	EKW001_PC3_120H:TRCN0000195198:2	0	0	0	0	0	0	0	0	0	1	0	0	0
16	EKW001_PC3_120H:TRCN0000196328:2	0	0	0	0	0	0	0	0	0	1	0	0	0
17	EKW001_PC3_120H:TRCN0000280285:2	0	0	0	0	0	0	0	0	0	1	0	0	0
18	EKW001_PC3_120H:TRCN0000293556:2	0	0	0	0	0	0	0	0	0	1	0	0	0
19	EKW001_PC3_120H:TRCN0000295865:2	0	0	0	0	0	0	0	0	0	1	0	0	0
20	EKW001_PC3_120H:TRCN0000295915:2	0	0	0	0	0	0	0	0	0	1	0	0	0
21	EKW001_PC3_120H:TRCN0000303774:2	0	0	0	0	0	0	0	0	0	1	0	0	0
22	EKW001_PC3_120H:TRCN0000315309:2	0	0	0	0	0	0	0	0	0	1	0	0	0
23	EKW001_PC3_120H:TRCN0000327919:2	0	0	0	0	0	0	0	0	0	1	0	0	0
24	EKW001_PC3_120H:TRCN0000370320:2	0	0	0	0	0	0	0	0	0	1	0	0	0
25	EKW001_SHSY5Y_120H:TRCN0000002832:2	0	0	0	0	0	0	0	0	0	0	1	0	0
26	EKW001_SHSY5Y_120H:TRCN0000003730:2	0	0	0	0	0	0	0	0	0	0	1	0	0
27	EKW001_SHSY5Y_120H:TRCN0000004377:2	0	0	0	0	0	0	0	0	0	0	1	0	0
28	EKW001_SHSY5Y_120H:TRCN0000004840:2	0	0	0	0	0	0	0	0	0	0	1	0	0
29	EKW001_SHSY5Y_120H:TRCN0000033456:2	0	0	0	0	0	0	0	0	0	0	1	0	0
30	EKW001_SHSY5Y_120H:TRCN0000040076:2	0	0	0	0	0	0	0	0	0	0	1	0	0
31	EKW001_SHSY5Y_120H:TRCN0000053948:2	0	0	0	0	0	0	0	0	0	0	1	0	0
32	EKW001_SHSY5Y_120H:TRCN0000055524:2	0	0	0	0	0	0	0	0	0	0	1	0	0
33	EKW001_SHSY5Y_120H:TRCN0000073364:2	0	0	0	0	0	0	0	0	0	0	1	0	0
34	EKW001_SHSY5Y_120H:TRCN0000073718:2	0	0	0	0	0	0	0	0	0	0	1	0	0
35	EKW001_SHSY5Y_120H:TRCN0000195198:2	0	0	0	0	0	0	0	0	0	0	1	0	0
36	EKW001_SHSY5Y_120H:TRCN0000262848:2	0	0	0	0	0	0	0	0	0	0	1	0	0
37	EKW001_SHSY5Y_120H:TRCN0000280635:2	0	0	0	0	0	0	0	0	0	0	1	0	0
38	EKW001_SHSY5Y_120H:TRCN0000293556:2	0	0	0	0	0	0	0	0	0	0	1	0	0
39	EKW001_SHSY5Y_120H:TRCN0000295864:2	0	0	0	0	0	0	0	0	0	0	1	0	0
40	EKW001_SHSY5Y_120H:TRCN0000295915:2	0	0	0	0	0	0	0	0	0	0	1	0	0
41	EKW001_SHSY5Y_120H:TRCN0000300447:2	0	0	0	0	0	0	0	0	0	0	1	0	0
42	EKW001_SHSY5Y_120H:TRCN0000303773:2	0	0	0	0	0	0	0	0	0	0	1	0	0
43	EKW001_SHSY5Y_120H:TRCN0000318656:2	0	0	0	0	0	0	0	0	0	0	1	0	0
44	EKW001_SHSY5Y_120H:TRCN0000327919:2	0	0	0	0	0	0	0	0	0	0	1	0	0
45	EKW001_SHSY5Y_120H:TRCN0000342335:2	0	0	0	0	0	0	0	0	0	0	1	0	0
46	EKW001_SHSY5Y_120H:TRCN0000365253:2	0	0	0	0	0	0	0	0	0	0	1	0	0
47	ERGK001_VCAP_120H:TRCN0000000593:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
48	ERGK001_VCAP_120H:TRCN0000000606:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
49	ERGK001_VCAP_120H:TRCN0000000637:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
50	ERGK001_VCAP_120H:TRCN0000000769:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
