	sig_id	HT29	MCF7	SW480	A549	HA1E	HEKTE	PC3	SHSY5Y	HEPG2	JURKAT	A375	HCC515	VCAP
1	DER001_A375_96H:TRCN0000195187:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
2	DER001_A375_96H:TRCN0000195611:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
3	DER001_A375_96H:TRCN0000262375:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
4	DER001_VCAP_96H:TRCN0000121318:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
5	DER001_VCAP_96H:TRCN0000280031:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
6	DER001_VCAP_96H:TRCN0000295968:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
7	EKW001_PC3_120H:TRCN0000194861:2	0	0	0	0	0	0	1	0	0	0	0	0	0
8	EKW001_PC3_120H:TRCN0000195198:2	0	0	0	0	0	0	1	0	0	0	0	0	0
9	EKW001_PC3_120H:TRCN0000196328:2	0	0	0	0	0	0	1	0	0	0	0	0	0
10	EKW001_PC3_120H:TRCN0000293556:2	0	0	0	0	0	0	1	0	0	0	0	0	0
11	EKW001_PC3_120H:TRCN0000295915:2	0	0	0	0	0	0	1	0	0	0	0	0	0
12	EKW001_PC3_120H:TRCN0000303774:2	0	0	0	0	0	0	1	0	0	0	0	0	0
13	EKW001_PC3_120H:TRCN0000315309:2	0	0	0	0	0	0	1	0	0	0	0	0	0
14	EKW001_PC3_120H:TRCN0000370320:2	0	0	0	0	0	0	1	0	0	0	0	0	0
15	EKW001_SHSY5Y_120H:TRCN0000004377:2	0	0	0	0	0	0	0	1	0	0	0	0	0
16	EKW001_SHSY5Y_120H:TRCN0000004840:2	0	0	0	0	0	0	0	1	0	0	0	0	0
17	EKW001_SHSY5Y_120H:TRCN0000040076:2	0	0	0	0	0	0	0	1	0	0	0	0	0
18	EKW001_SHSY5Y_120H:TRCN0000195198:2	0	0	0	0	0	0	0	1	0	0	0	0	0
19	EKW001_SHSY5Y_120H:TRCN0000280635:2	0	0	0	0	0	0	0	1	0	0	0	0	0
20	EKW001_SHSY5Y_120H:TRCN0000293556:2	0	0	0	0	0	0	0	1	0	0	0	0	0
21	EKW001_SHSY5Y_120H:TRCN0000295915:2	0	0	0	0	0	0	0	1	0	0	0	0	0
22	EKW001_SHSY5Y_120H:TRCN0000300447:2	0	0	0	0	0	0	0	1	0	0	0	0	0
23	EKW001_SHSY5Y_120H:TRCN0000327919:2	0	0	0	0	0	0	0	1	0	0	0	0	0
24	EKW001_SHSY5Y_120H:TRCN0000342335:2	0	0	0	0	0	0	0	1	0	0	0	0	0
25	ERGK001_VCAP_120H:TRCN0000000637:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
26	ERGK001_VCAP_120H:TRCN0000007006:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
27	ERGK001_VCAP_120H:TRCN0000010557:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
28	ERGK001_VCAP_120H:TRCN0000018915:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
29	ERGK004_VCAP_120H:TRCN0000010610:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
30	ERGK004_VCAP_120H:TRCN0000194685:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
31	ERGK004_VCAP_120H:TRCN0000195414:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
32	ERGK004_VCAP_120H:TRCN0000197010:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
33	ERGK005_VCAP_120H:TRCN0000001371:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
34	ERGK005_VCAP_120H:TRCN0000196290:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
35	ERGK005_VCAP_120H:TRCN0000199099:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
36	ERGK006_VCAP_120H:CMAP-ERGK001:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
37	ERGK007_VCAP_120H:TRCN0000003140:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
38	ERGK008_VCAP_120H:TRCN0000010197:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
39	ERGK009_VCAP_120H:TRCN0000000585:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
40	ERGK009_VCAP_120H:TRCN0000000804:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
41	ERGK009_VCAP_120H:TRCN0000195595:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
42	ERGK009_VCAP_120H:TRCN0000199872:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
43	ERGK010_VCAP_120H:TRCN0000006404:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
44	ERGK013_VCAP_120H:TRCN0000000970:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
45	ERGK013_VCAP_120H:TRCN0000121073:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
46	ERGK013_VCAP_120H:TRCN0000195408:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
