source	interaction	target
GRM1	1	TRPC1
MAPKAPK2	0	MAPK14
MAPK14	1	MAPKAPK2
MAPKAPK2	-1	PARN
NUMB	-1	NOTCH1
DLL1	1	NOTCH1
AKT1	1	CHUK
CHUK	1	NFKB1
NFKB1	0	CHUK
CDKN1A	-1	CDK1
IGF1R	0	IGF1
MMP14	1	MMP2
ABL1	1	TP73
USP7	1	MDM2
USP7	1	MDM4
MDC1	1	RNF8
PRKN	-1	RANBP2
PRKN	-1	SNCA
PTEN	0	PREX2
PREX2	-1	PTEN
PTPRD	-1	STAT3
RAF1	0	PEBP1
PEBP1	1	RAF1
FBXW7	-1	MYC
PAK1	1	PXN
SMG1	1	UPF1
MAPK8	0	MAP2K4
MAP2K4	1	MAPK8
ATG13	0	ULK1
ULK1	1	ATG13
ULK1	1	RB1CC1
RB1CC1	0	ULK1
MTOR	-1	ATG13
UVRAG	0	SH3GLB1
SH3GLB1	1	UVRAG
ATG13	1	RB1CC1
MTOR	-1	ULK2
BECN1	1	PIK3R4
TIAM1	1	RAC1
HRAS	1	TIAM1
TIAM1	0	HRAS
MTOR	1	RPTOR
RPTOR	0	MTOR
AKT1	-1	AKT1S1
DAPK1	-1	CAMKK2
MTOR	0	MLST8
MLST8	0	MTOR
ATG13	0	ULK2
ULK2	1	ATG13
UVRAG	1	BECN1
BCL2L1	0	BECN1
BECN1	0	BCL2L1
AKT1S1	-1	RPTOR
MTOR	-1	AKT1S1
AKT1S1	0	MTOR
ULK2	1	RB1CC1
RB1CC1	0	ULK2
HRAS	1	PLCE1
PLCE1	0	HRAS
MAPK14	1	MAPKAPK5
MAPKAPK5	0	MAPK14
MAPKAPK5	1	TP53
ATG5	1	ATG16L1
BCL2L1	0	BNIP3
BNIP3	-1	BCL2L1
ATG4B	1	MAP1LC3B
DAPK1	1	MCM3
CAPN1	1	BID
RIPK1	0	CASP10
CASP10	-1	RIPK1
CASP10	1	BID
TIRAP	1	MYD88
PDPK1	1	PRKCG
RALGDS	1	RALA
RALBP1	-1	CDC42
RALBP1	-1	RAC1
JAG1	1	NOTCH1
KIT	1	GRB2
IKBKE	1	IRF7
ERBB2	1	GRB2
