	Entry
1	ATF1
2	ATF2
3	ATF4
4	ATF6
5	BACH1
6	CEBPA
7	CEBPB
8	CEBPD
9	CREB1
10	CTCF
11	E2F1
12	E2F3
13	EGR1
14	ELK1
15	ERG
16	ESR1
17	ETS1
18	ETS2
19	ETV4
20	FOS
21	FOSL1
22	FOXA1
23	FOXO3
24	FOXO4
25	GATA2
26	GATA3
27	HIF1A
28	HSF1
29	IRF1
30	JUN
31	KLF4
32	LEF1
33	MITF
34	MYB
35	MYC
36	NFE2L2
37	NFIC
38	NFKB2
39	NR3C1
40	PAX8
41	PPARA
42	PPARG
43	RARA
44	RELA
45	RELB
46	RFX5
47	RFXANK
48	RUNX1
49	RXRA
50	SMAD3
51	SMAD4
52	SREBF2
53	SRF
54	STAT1
55	STAT3
56	STAT5B
57	STAT6
58	TCF3
59	TCF7L2
60	TFAP2A
61	TFDP1
62	TP53
63	WT1
64	YY1
65	ZEB1
66	ZNF263
