	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	STAT1	STAT3	STAT5B	STAT6	TCF7L2
KDB010_A549_96H:TRCN0000039588:-666	0.45285863189756453	0.5083900910059581	0.47363996957244003	0.5586051256642159	0.5551399734585185	0.43187888269349045	0.574188722341438	0.5035358472708168	0.16063748124131386	0.4866314215113084	0.49409404832857945	0.4806930626220726	0.47046980335891786	0.5223646478387933	0.44147182858804174	0.5150302113415591
TAK002_HEKTE_96H:TRCN0000033254:-666	0.5497221703058992	0.508397632297947	0.4721252538390289	0.5554448637467895	0.466787698767577	0.4771808180969857	0.3887865926604533	0.5035360405124579	0.5350691484744525	0.4875854762586004	0.7730775229941373	0.48053747239952016	0.4702766853510697	0.5218826310180741	0.5007148720554984	0.5119098260029548
KDC004_A549_96H:M01	0.4539503529147877	0.5083900910059581	0.4736041269731696	0.5564236443034015	0.5556511531558992	0.4578190254948327	0.49932595430214727	0.5029540006749739	0.5347182532428589	0.4866314215113084	0.6115462898728502	0.4806930626220726	0.47046980335891786	0.5223646478387933	0.44147182858804174	0.5150302113415591
KDC003_VCAP_120H:P21	0.4595966168566366	0.0	0.47339867201343666	0.5571703500567815	0.5039025882678322	0.45088035457305026	0.47458699212591443	0.5032138159609832	0.5349385857597704	0.5274711782414967	0.6923738516446712	0.4805501548742503	0.4702952158033944	0.5219332073012823	0.4906123603280971	0.5144349099669404
KDA002_MCF7_96H:TRCN0000020843:-666	0.5459443800680688	0.508388030715085	0.4737727143671702	0.5590015134311345	0.42028079875554086	0.42520398634969714	0.5505983334242163	0.5035487861928921	0.5363899513818121	0.48896726071674984	0.4747904122669211	0.4804194802717081	0.0	0.5215481313040499	0.49979772415310275	0.49645233809105666
KDB010_A375_96H:TRCN0000039565:-666	0.39126187778639654	0.5083890996810002	0.4730947274725692	0.5580103432808513	0.47418718180631636	0.4444756327764307	0.5185246293714304	0.503630400444552	0.534932293423721	0.4335579867899893	0.660577953641919	0.48055160015542536	0.47029742673826963	0.5219368751588312	0.4963586128064955	0.39524789619329337
TAK001_HEKTE_96H:TRCN0000055428:-666	0.7073056894447634	0.508397632297947	0.47217848204755014	0.5574132285481646	0.4696801910348787	0.45432486161683117	0.5171857302816825	0.5037778370595272	0.5351919486748413	0.4875854762586004	0.6931048254739887	0.48053747239952016	0.4702766853510697	0.5218826310180741	0.5007148720554984	0.5119098260029548
KDD010_PC3_96H:TRCN0000003103:-666	0.5460611236612444	0.5083918471961066	0.47340408260184064	0.5567076229163983	0.44051031153590336	0.45260760886080403	0.5425379326040014	0.5029629751251931	0.5353695864998254	0.4731940150550643	0.6584202429750988	0.4785836197709056	0.4680128153563969	0.5164836694999148	0.6826734257195598	0.49483110025658833
KDA007_PC3_96H:H06	0.5460611236612444	0.5083918471961066	0.47340408260184064	0.5567076229163983	0.44051031153590336	0.45260760886080403	0.5425379326040014	0.5029629751251931	0.5353695864998254	0.4731940150550643	0.6584202429750988	0.48048622890138665	0.4702197539541552	0.5217460050382549	0.0	0.49483110025658833
ERGK005_VCAP_120H:TRCN0000006159:-666	0.5985951346164566	0.5083903592268927	0.4730444077952767	0.5571703500567815	0.5039025882678322	0.45088035457305026	0.5256298013026345	0.5032138159609832	0.534691400284967	0.5274711782414967	0.6923738516446712	0.4805501548742503	0.4702952158033944	0.5219332073012823	0.4906123603280971	0.5144349099669404
KDC007_MCF7_96H:TRCN0000059230:-666	0.5470633960782896	0.508388030715085	0.47376954860206466	0.5588933089995687	0.4202522659703416	0.42680042175604743	0.5462023916341802	0.5035247363924311	0.5363807920752113	0.48896726071674984	0.4821565833237964	0.4804194802717081	0.47013731919301377	0.5215481313040499	0.49979772415310275	0.49645233809105666
KDA001_HA1E_96H:TRCN0000039634:-666	0.10754932048446932	0.5083902456412284	0.4703484224627972	0.4469927381174976	0.5546390435586944	0.5836442464622816	0.6525733384305462	0.23095009654685486	0.5248354171518583	0.459596701051615	0.11910158149658348	0.4808104699583026	0.4706059405297812	0.5226906133196407	0.34903724907098505	0.4032285116110194
KDD009_HCC515_96H:TRCN0000010174:-666	0.4230613126650172	0.5083936244804077	0.47335268384746504	0.5596742522327004	0.47242048997564123	0.6144802543747102	0.5799569037463898	0.5038293141267174	0.5355346400291122	0.5961434073610832	0.48009433657703493	0.4805763500250902	0.4703237033235643	0.5219898123402219	0.47342650767416167	0.5850354963505037
KDA003_HEPG2_96H:TRCN0000010039:-666	0.2614261938707193	0.508395345811628	0.4729539183848988	0.527362177328241	0.16464398238094063	0.6183564878189444	0.0	0.5056471362522923	0.5349432516850106	0.48028759737725735	1.0	0.4804808543433313	0.47020767902615634	0.5217133161506193	0.5105347400132719	0.49481422737606484
TAK001_A375_96H:TRCN0000004573:-666	0.11053560627977553	0.5083890996810002	0.47171758365225724	0.558371883636627	0.4689129120964453	0.44384527916896643	0.607142741427136	0.5040072091854856	0.533724424617946	0.4889718103773253	0.6832595385171455	0.48055160015542536	0.47029742673826963	0.5219368751588312	0.4963586128064955	0.5192266408239449
