	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	NFATC2	NFE2L2	NR3C1	RXRA	SMAD3	SMAD4	SP1	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT5B	STAT6	TCF7L2	TP53
TAK001_HEKTE_96H:TRCN0000298904:-666	0.174409682511864	0.874801233578858	0.32598926639946	0.180364777445714	0.557795079376724	0.652621250130332	0.401788297002662	0.0437648521653232	0.606029022438145	0.311131020686817	0.99056736058483	0.24593541390042	0.790388267854826	0.178194205784475	0.905915768392072	0.149142392389544	0.153209673395801	0.438689081415005	0.697372619057283	0.898453149481384	0.158785929739797	0.453645440532696	0.549653392031553	0.405713184350277	0.484058094107232	0.456399386863608	0.381727020182227
DER001_A375_96H:TRCN0000194984:-666	0.896103930877366	0.479875303419408	0.466188409118913	0.800346734539976	0.727334962994506	0.558574627676852	0.457526593435306	0.945650130329225	0.765089928860926	0.819890333753166	0.511970442677416	0.497412650353226	0.526505141775722	0.276256791562875	0.40072103160605	0.82835888096206	0.890137647190971	0.654083560636002	0.596101139853187	0.870738679143141	0.243713152940901	0.178914109763998	0.793536937323721	0.495783744180899	0.334206029240324	0.705529715291659	0.462810040373685
TAK002_HEKTE_96H:TRCN0000121068:-666	0.581256226444827	0.582867654726629	0.74332344469639	0.443172898281568	0.80511729353003	0.811025846972861	0.851806801314763	0.267280879690665	0.466568034430457	0.18582122978222	0.139490324533922	0.721409811736061	0.402065782630763	0.604458337918538	0.897515631618612	0.302350210026228	0.387023961634959	0.571961218689621	0.37205259139258	0.036498694731627	0.19746911362546	0.624572482159719	0.10578957042787	0.192130321725912	0.721027152370705	0.558317495886245	0.15587905397981
TAK002_HEKTE_96H:TRCN0000017854:-666	0.593890984918424	0.394827047255129	0.770959469991727	0.229255189926405	0.771732030602907	0.578648536210403	0.572837773746086	0.460772731569617	0.346309649155215	0.279969564491844	0.711755963749382	0.560798145350364	0.401081063512666	0.850713750666692	0.650010402720731	0.186004696526326	0.227931218544592	0.405740800133441	0.790932692727014	0.0490112284078458	0.637824695429015	0.368148902487611	0.582000081969599	0.483119690749499	0.583254761445809	0.36431993275479	0.481356266633674
DER001_VCAP_96H:TRCN0000121209:-666	0.621210159527126	0.93211072933679	0.665987061711235	0.65727932937837	0.556994596620496	0.156600457802529	0.348770517364503	0.475842569030039	0.531735341302	0.635679945750483	0.97543670427805	0.284586331074025	0.549452812279977	0.354923874996677	0.261743385421452	0.58788183704166	0.662277629750512	0.627999938609426	0.171311866747202	0.64740474417475	0.35102184175687	0.394959615092445	0.837861820361949	0.811000275484335	0.17351010521765	0.788903277112494	0.448093330910321
TAK001_HEKTE_96H:TRCN0000330127:-666	0.593025484242555	0.0558592493540891	0.644021076846936	0.476195161794847	0.619575888988859	0.819977596857498	0.845291874090684	0.757042405095129	0.89218234496493	0.827426036324491	0.155750207167956	0.708394360663328	0.414072675194274	0.405941178642225	0.343152049012309	0.798943348741717	0.821963647568606	0.851218716050293	0.973000034008395	0.993721384649632	0.797098134717833	0.589023292614585	0.925655014338658	0.844206304839519	0.911877969847254	0.728892496613627	0.593998562947689
TAK002_HEKTE_96H:TRCN0000003097:-666	0.286544799603296	0.722637986715085	0.888509591586518	0.313799719239692	0.473625794231351	0.724828357012197	0.378150322362543	0.013072561389339	0.127410373936107	0.429506609995754	0.577593597955806	0.494811206736626	0.119914089604468	0.407271765667593	0.575609249519112	0.167471316396028	0.0866387006249783	0.153910867494503	0.0429603279326365	0.248989278768157	0.0268065786855803	0.413541965175048	0.055884888531554	0.0946600498721242	0.368843140930269	0.421267623354972	0.0532490133864942
TAK001_HEKTE_96H:TRCN0000039601:-666	0.844222996913793	0.588886024300286	0.143702016073194	0.090484940425595	0.575726502346971	0.680379628482166	0.760026512598174	0.944137210075182	0.816936477207862	0.556199475290055	0.195873054852916	0.522440481655118	0.681876566577916	0.687147388235456	0.109907008648031	0.961478072705058	0.965946971853761	0.636098417297114	0.284725989971368	0.00540485021948698	0.272859057385587	0.663969351887638	0.138353178225294	0.181338502323326	0.485710584908805	0.338682580911776	0.976749210152584
EKW001_SHSY5Y_120H:TRCN0000342335:2	0.538330867599898	0.462222926623244	0.357012222435735	0.273206488813602	0.893380603838005	0.837720590368284	0.712920551876622	0.931724842517624	0.580720871783924	0.369842066782314	0.097803474827296	0.675520856491341	0.92442632511366	0.399868929414399	0.766963067654248	0.584996906398375	0.8096692867015	0.74043173273216	0.979977169770342	0.939901928706505	0.861021899243366	0.47262150159843	0.903134188234128	0.872779378632744	0.451199364520478	0.804344637399495	0.96751409626609
TAK001_HEKTE_96H:TRCN0000003756:-666	0.323001211830497	0.821892409203594	0.593944629762205	0.167025942489251	0.700850442651664	0.693391928015522	0.746861015242913	0.438934292918159	0.429897649679771	0.360701918651447	0.428273044796277	0.555263493967299	0.307530411469631	0.528703836020354	0.478668812575383	0.786108081523542	0.562031243974748	0.268966785599749	0.613404091391163	0.145882215119958	0.300307246489581	0.663602009177628	0.479255676246411	0.389836591799917	0.403680858029223	0.694886253266307	0.108001581553373
