	P10275	O00327	P18846	P15336	P18848	P18850	O14867	Q99626	P49715	P17676	P49716	P16220	P49711	Q01094	Q14209	O00716	Q16254	P18146	P19419	Q99814	P11308	P03372	Q92731	P14921	P15036	P43268	Q01543	P01100	P15407	P15408	P55317	Q9Y261	P58012	Q08050	Q12778	O43524	P98177	Q9H334	P15976	P23769	P23771	P10070	Q16665	P41235	Q00613	P10914	Q00978	P05412	P17535	O43474	Q9UJU2	O75030	P10242	P01106	P04198	Q13469	Q16236	P08651	P19838	Q00653	P23511	P04150	P26367	Q06710	P06401	P14859	Q07869	P37231	Q9GZV8	P10276	Q04864	Q04206	Q01201	Q13127	P48382	O14593	O00287	Q01196	Q13761	P19793	P84022	Q13485	P56693	P48431	P48436	P08047	Q02447	P17947	P36956	Q12772	P11831	P42224	P52630	P40763	Q14765	P42229	P51692	P42226	P17542	P15923	Q9NQB0	P05549	Q92754	Q14186	P04637	Q9H3D4	Q15672	P22415	Q15853	P11473	P19544	P25490	Q86T24	P37275	O14978
CYT001_A549_2H:BMP10:50	0.691106866800743	0.532383332571894	0.678228565312492	0.494119595103154	0.506635765513627	0.636066595748367	0.913621190095388	0.0961073854745907	0.610099183531374	0.247706407368904	0.523078760292501	0.502903354288519	0.483971454780283	0.640360931598854	0.756008804785761	0.714344847091596	0.887357704785241	0.425437198005982	0.80766126336569	0.831563732318666	0.482934044322902	0.423831722301272	0.391361580200409	0.508497714209458	0.803981763011649	0.666505804248464	0.619502340354183	0.138839855706392	0.362221117958236	0.906602238860029	0.830378858755906	0.262857679070532	0.66626489102663	0.805800901994294	0.477619944090666	0.417907437877949	0.583426409129403	0.188458016373046	0.793341218268209	0.744797759883607	0.639314425788016	0.593946119184052	0.742474953591991	0.772098287990633	0.623242713358361	0.594176291072749	0.945711198264168	0.401614174074748	0.693307586172681	0.561676235631374	0.916310585985586	0.135483804925026	0.429044621086048	0.924373909876737	0.81367689538124	0.464417357972801	0.377486412271602	0.804040875399619	0.468517174621307	0.703421098402965	0.520038408960761	0.256609712707844	0.313619674484839	0.396224985575462	0.699318795017559	0.551649145361577	0.856260537057839	0.273116496300634	0.0622145911261366	0.552492135130135	0.911390783680286	0.593293051854196	0.150786045945721	0.920338505581159	0.26899609057671	0.347272950093196	0.347272950093196	0.481873272022267	0.0952570109407632	0.357667926061061	0.62107735410933	0.730692613279917	0.262085677010895	0.0586042121334272	0.201544112569651	0.653135115377082	0.715044276689256	0.192721176257681	0.823990637581582	0.710261886349214	0.936397177827022	0.255645580756449	0.960752713703217	0.721659439254535	0.543708691931352	0.832711349415733	0.756942199250753	0.718207984102938	0.337111047612793	0.153447189173685	0.536518951981353	0.709992819148056	0.750078740924971	0.810460577465896	0.496859530266686	0.239473476746399	0.22749849487532	0.707367418713973	0.719270445288174	0.415388810974687	0.328185614430645	0.502181809079246	0.556398853429053	0.155280960965488	0.602734769800403
CYT001_HEPG2_2H:IL6:25	0.575447376868031	0.33575742262699	0.488737324119726	0.295463656597858	0.2810751794109	0.410011655112446	0.338898273573941	0.903466346699197	0.933024759744679	0.93371177585372	0.74545172968131	0.628272975051901	0.559300007114741	0.455545861098873	0.204377302319607	0.36753013977999	0.0825508912317124	0.336228231416596	0.235402433812896	0.214351482618017	0.493138718730881	0.880737938045482	0.486072368785639	0.849458864839003	0.871031801048253	0.672592112524444	0.660080504778194	0.929313220987622	0.406946695007696	0.875711782189833	0.490394116541166	0.377516254361147	0.8986306608056	0.161841485951513	0.598073050935637	0.419808957063518	0.643267741750892	0.606728127383103	0.319138483273344	0.3103354843518	0.748431829049155	0.163017232979714	0.48580546273272	0.9245054598222	0.883129375433797	0.956733312573287	0.766521632416184	0.864082115792489	0.611553462830336	0.544185863903058	0.323760479390139	0.775295206048201	0.242460863136592	0.158369060218813	0.103233519672811	0.756927421585742	0.508215801765353	0.448302313122069	0.976083080660423	0.375163986071384	0.239229608927598	0.440977948647418	0.484536370484409	0.319824493733751	0.588718997246183	0.625124364149587	0.337073230201229	0.543662991717622	0.29020896622554	0.89556725584792	0.961163072634982	0.983184979319044	0.816594084775803	0.391715503488812	0.625324394644034	0.721422930254589	0.721422930254589	0.439076736143753	0.23685239469253	0.470451739124086	0.408866538258475	0.226992879076385	0.781726952133867	0.476419143820179	0.682423313661862	0.475926948897496	0.54965528291474	0.795733187216761	0.517698851044721	0.384194387055276	0.719155159463672	0.995419995936686	0.792473567469078	0.963146672518756	0.202810530920271	0.68837242548838	0.72573940252155	0.657275778735436	0.246988293493464	0.429533927046993	0.685096471963005	0.861748450195844	0.439273550248279	0.154957373484325	0.634805025937462	0.637031117509496	0.657704792845186	0.860890795383503	0.796339440661455	0.517213072929024	0.516390418601241	0.606311931508346	0.723960187220078	0.943313185397906	0.924471128161607
CYT001_HEPG2_2H:AVP:5	0.940226071212114	0.262211478297555	0.564714898899433	0.578755068020764	0.432525341501909	0.718487762915142	0.378910147912826	0.23774484509	0.783086502310795	0.960179690658149	0.467957943897612	0.583492287849468	0.453512166629294	0.666839805674597	0.226567854086362	0.145087971249086	0.461404127182692	0.474216222542269	0.750747958489304	0.453274691088846	0.687518759215139	0.93391719707711	0.363314204905449	0.965360605833637	0.949786999479794	0.678565852621062	0.594907920448539	0.962117654165286	0.302496982645991	0.735427927081026	0.478529105134027	0.534937209584059	0.927692212587824	0.125011924636009	0.406937516395542	0.594615386388594	0.36237156285948	0.414093120895621	0.69912165194605	0.463959062713913	0.608281087724829	0.103494781442245	0.754441753348624	0.429689303952208	0.462864921000777	0.628042433351285	0.206624908684232	0.619247304880209	0.837979003509293	0.518380467319045	0.211114729176477	0.347474814216185	0.846691962579925	0.271195716036892	0.283184442612434	0.431449731547628	0.483832672891854	0.395189209022857	0.983833169332627	0.073062294439322	0.351158492016134	0.632254205834977	0.407458096518385	0.325620844578225	0.587878941648226	0.557640557361195	0.37743074958766	0.623267768641601	0.200238916479964	0.889184990897971	0.897620764282477	0.975748762088155	0.853620352732493	0.732592047982365	0.404618434964376	0.399789420094835	0.399789420094835	0.725285272099771	0.398833978438995	0.325993365114468	0.45449958365027	0.610838832974312	0.23715586758171	0.197455858499138	0.627072332136901	0.745021351127846	0.517205567781964	0.880389205578491	0.711027000077569	0.556809885669472	0.844967209889343	0.889480819439271	0.535217495974217	0.976217237074484	0.497154220047039	0.759061812110604	0.549882258210333	0.776625964662704	0.350971995947852	0.531673621460415	0.624261440409965	0.803753278028894	0.590668730612468	0.505580033806925	0.889491812304863	0.400388503782624	0.442464920104386	0.778422164062695	0.884615833599789	0.381753215054545	0.810360752579597	0.477801661538675	0.681066868868539	0.677527000896745	0.914726413457289
CYT001_HA1E_4H:CMAP-CYT-E7764:1	0.604614173382165	0.6155717366532	0.803373610712602	0.798895609098824	0.715771370027584	0.969242371036874	0.557770018671192	0.757366771316292	0.145763320739222	0.305019715985196	0.283810815081344	0.646938298012642	0.764639305509798	0.665156670139798	0.941257606716771	0.860573571248598	0.951031232699555	0.723991738758544	0.873108111352157	0.253828378992753	0.143265255254455	0.685828635080656	0.43596585383224	0.698684577359499	0.327841677140856	0.253720165519432	0.365986518218925	0.458431600740605	0.121445208064445	0.297510438318129	0.561341224990488	0.866211884549767	0.386083296297089	0.784230373127863	0.903283943227276	0.557074870971685	0.805089057767404	0.23891339817446	0.500143165661556	0.44272946352036	0.805766845764588	0.752309619300034	0.714096181782978	0.877409668065837	0.362614100097965	0.178410025797499	0.687674177772907	0.630188561426439	0.267792094993375	0.744743231326164	0.531796572642736	0.804438735922077	0.800525070722155	0.923441791188844	0.670796449603923	0.54377971881945	0.28177456460109	0.666014022273217	0.519726943404461	0.119480001520836	0.748664010457617	0.700559060460362	0.493262877079206	0.522706620707214	0.472173119358339	0.234494689468259	0.585656691840181	0.427581437658846	0.142747406822628	0.622160024842673	0.310256755263841	0.47296166373438	0.4625680310635	0.607931321324719	0.0373189342917644	0.0526102702110627	0.0526102702110627	0.780632031088761	0.217041420828874	0.890255581505248	0.547503003589797	0.784796966976634	0.592854284167313	0.123109851413845	0.107213490849925	0.758621977251627	0.647259801727404	0.281099469785148	0.676161663573065	0.824101875445992	0.906601886428235	0.13581584080965	0.271259610376588	0.298358845661247	0.744696330836567	0.476769223796608	0.412090782890163	0.785865029089097	0.408573653266432	0.0665557472221318	0.466991562417626	0.627496401812603	0.854820543326754	0.834958851827214	0.284308053510469	0.249822331742905	0.463516588244891	0.37546974494287	0.246452792217306	0.613250050893978	0.399217490826324	0.685150345700566	0.878984581136498	0.628918836634563	0.998088763979244
CYT001_HA1E_4H:CMAP-CYT-B3555:50	0.0971633089768473	0.463292003282339	0.423617424159712	0.112825995690777	0.122024271572167	0.335706349749391	0.157192501965842	0.662086593125489	0.781574273489239	0.206740292047745	0.245530054592149	0.635984887186816	0.583198428124004	0.296658770612589	0.568822319039937	0.499871040326069	0.0117587929247572	0.44282896117634	0.104834770922491	0.832436177268757	0.833643897762165	0.667662327690074	0.764785382495354	0.641591551861757	0.408909482002755	0.589478781896721	0.793258308435357	0.707372126658261	0.462192079532364	0.504515363816557	0.313148997030145	0.667388175280608	0.133730900578657	0.111507730776831	0.728816266135208	0.530174635266485	0.477036642457431	0.49326303249385	0.921383552391216	0.434550603357915	0.749892066008142	0.605774044324913	0.160478455552345	0.353938190234674	0.736181633899099	0.434242401128518	0.809005815654878	0.66184012649463	0.583397293049191	0.401329571584776	0.160996856271361	0.526477149195984	0.101444180512638	0.0575497927029459	0.324879493869171	0.298505071287462	0.289897141129333	0.375677643269128	0.20534511210304	0.465468622211758	0.0655343492966726	0.903796158721595	0.951652860629789	0.833098498389493	0.228650894856269	0.387367659285474	0.389978646259358	0.274694910909797	0.895196991020266	0.366117286752524	0.22345396513035	0.102308642150944	0.0751177251014705	0.255899898892291	0.209343655068839	0.230347070090466	0.230347070090466	0.891054093096945	0.722125154234886	0.691391170311529	0.578955872695589	0.641056437532868	0.371208788265027	0.90962346778061	0.851314264524072	0.203854252978838	0.444555596625228	0.994124862719405	0.391717933235165	0.116791133622911	0.129014355620321	0.532124311832228	0.530950436146084	0.234592212568357	0.144494653061408	0.257778905246953	0.304232564409336	0.349857885579126	0.912743856143148	0.596219469564337	0.530478221959932	0.511894897985364	0.54879013159455	0.0690718396648659	0.599922046131654	0.521471809056745	0.551050968998565	0.488871747676243	0.705357853103497	0.396297486012113	0.190718325035793	0.191022082206583	0.530766434304342	0.796478486778528	0.116332285337857
CYT001_HA1E_4H:CMAP-CYT-SRP4260:200	0.902830166631853	0.439282622657867	0.583364268387247	0.610629841529874	0.169754496252841	0.701065283522434	0.5157878120225	0.176332394248258	0.192100263465732	0.722482036294355	0.375481689322588	0.497089037018147	0.659306833141645	0.500569975258537	0.35488760480267	0.463093581966862	0.954063445881604	0.615646363902158	0.666844020427093	0.392647150457582	0.353248686178654	0.700861484464209	0.237332388548005	0.774648928702704	0.238760087975112	0.401021725862274	0.675995332833092	0.473457395368656	0.209686593116748	0.446482921472851	0.30951714922466	0.423970878296145	0.563690045039526	0.699858149748964	0.33682584824116	0.341057633955763	0.693945407535672	0.170549005103189	0.613066623596324	0.254704329390964	0.124753059494585	0.268731254935237	0.242223193304438	0.193168003117823	0.220549215808005	0.585780262373311	0.551289244357264	0.0742113352320219	0.489991461618722	0.588050614299894	0.542539802328896	0.522959936168562	0.592068018881315	0.844179868318733	0.526213182299778	0.748703147576918	0.62078412259556	0.34949014489806	0.568527704111633	0.326555125234026	0.552053512060254	0.51516036261748	0.155910669719319	0.376969410548827	0.213464156711862	0.433229437634942	0.141447990126885	0.383594568252232	0.118757845776599	0.0931774232627475	0.446400694982843	0.417475744504042	0.579312736569717	0.850709183534124	0.539934481916328	0.574219584189096	0.574219584189096	0.641899108519923	0.616430810272306	0.648108025174283	0.609777184702417	0.62875115796548	0.54438005063089	0.0763643533449413	0.104606793595762	0.351579192526499	0.306854450001361	0.736713878691446	0.376113302861247	0.540078553764115	0.779212976160375	0.392108289125431	0.628492169970159	0.20638989612206	0.324023245204235	0.680540829917839	0.578182331602343	0.460330553140246	0.487566154821661	0.287873841250699	0.599119291562649	0.726800830006409	0.262216989480084	0.765182246735137	0.871702025115821	0.346003252820859	0.604988483491313	0.775771142928112	0.592217815254637	0.513348854521755	0.53710267569965	0.384193890867056	0.689552909747882	0.789188004862216	0.963477564235158
CYT001_MCF7_4H:CMAP-CYT-C5993:50	0.475260173573779	0.696245003645701	0.375789282703072	0.267225255101439	0.250173747622263	0.372194693064684	0.751809996935489	0.185057509905588	0.502692717630944	0.511037778222257	0.566780507946259	0.175084580846816	0.435478909627685	0.456260375833629	0.689270929958881	0.404870788078262	0.835694654064611	0.256846176991019	0.360496876395337	0.423416005384147	0.767241895148592	0.651858150961959	0.220122202108646	0.413539483705918	0.362410780814086	0.371238226394707	0.669152870818021	0.0587189189600515	0.347263214348316	0.634915653198604	0.788694365292203	0.376006385794384	0.108957644647152	0.353680736603525	0.498837938945659	0.137204786813342	0.245166147246903	0.543577582877798	0.164850768697877	0.84302324539861	0.658105800192694	0.592348301098709	0.357376470378449	0.200315836397649	0.470985061771455	0.274001597713121	0.43973389992536	0.0998806168459119	0.0816134226061976	0.737727759772192	0.579746528371688	0.183752440351334	0.777181776255595	0.816884708527488	0.775626417421549	0.489794284099717	0.391718972961317	0.540942720504971	0.0710487294394869	0.289416443423351	0.336173397528936	0.256323626941174	0.323494924826968	0.652019405252296	0.611065778840537	0.688158123569214	0.68710219068572	0.3688643679466	0.73018668623727	0.157739587483048	0.209323778492532	0.135665038980844	0.331126841147057	0.615784964660082	0.313807732086283	0.289945827957206	0.289945827957206	0.474013132460612	0.104324588255822	0.303028635826669	0.411810807946077	0.584265281896118	0.490547343632326	0.0262237425944835	0.215916097121142	0.643515017449243	0.438586906004016	0.13156427613807	0.839021347680659	0.758705260332922	0.346966308133114	0.209804882322628	0.545886300340922	0.286127825234306	0.246606853962114	0.771070753484257	0.681230082522006	0.239064682682509	0.301486361572383	0.852279698053286	0.563884721845467	0.533070783896924	0.543339332627146	0.693181098382446	0.441062698120883	0.217609220289726	0.103494372801679	0.509921905926448	0.469724659799877	0.489566339529137	0.20623657907645	0.305061907050896	0.728103396386427	0.181648172067819	0.00819376333457581
CYT001_VCAP_2H:CMAP-CYT-SRP3131:100	0.588252787477125	0.0872501761983554	0.29118707054974	0.177862690124924	0.197586619403738	0.32405312526135	0.634606515939329	0.62262033129341	0.439703940666436	0.47350563137494	0.625885033258304	0.337823839067207	0.345536539012195	0.843959107884639	0.844444534048594	0.557596732168577	0.947490527542036	0.148574983824112	0.164893780414625	0.360882529688145	0.312316928359849	0.398730091504705	0.159179367629638	0.749630962800373	0.13413786982696	0.420331379343108	0.226220690599727	0.813840737663461	0.14860967343724	0.1174040609867	0.754218623755935	0.284316509806896	0.35027296765111	0.291108474768582	0.299970702816093	0.627362963179235	0.114177529731094	0.794240626403616	0.350539809227001	0.166562054472358	0.729793965625512	0.650348176846074	0.559414688322582	0.26631300329214	0.632966321233618	0.501715688418774	0.41032110255018	0.565055012028264	0.513237792782407	0.193897445684612	0.582349319731505	0.57118316717931	0.787214880388022	0.739786863222115	0.350596021587168	0.840699989750362	0.471265315073258	0.320635559641357	0.289329556576493	0.27965989194307	0.269556836985188	0.333076103293688	0.550306796731132	0.461635041548616	0.196470767700452	0.294988832588784	0.136757639025427	0.211919742110128	0.382406070382018	0.0784713129798058	0.600355865013909	0.317948067396451	0.861633777562568	0.224061504021792	0.059981417784165	0.0861006338695249	0.0861006338695249	0.186986159607371	0.225692271434683	0.713778783224695	0.411222396544413	0.137322222125332	0.720542158342131	0.804705888994905	0.301453182574108	0.29071453428174	0.0622591454920488	0.240198715318027	0.312812277677579	0.519909373503828	0.0272526274842692	0.82539115360826	0.180423145876845	0.21339768987298	0.272646518038119	0.37285732960606	0.22647577650729	0.364721657424827	0.220149740103509	0.290665915669696	0.676070933095239	0.371891710646105	0.581895714450854	0.749077016779081	0.337228879187648	0.507879537773842	0.14941874828157	0.570751264579987	0.663140697486183	0.189959807451806	0.764379222834504	0.791837283935474	0.266618777485811	0.718232539381931	0.793629127130398
CYT001_VCAP_2H:CMAP-CYT-T1327:80	0.789090763965553	0.792113888006708	0.143842453065392	0.821919261966971	0.632885545015663	0.730349373235549	0.824319661468326	0.375979520704515	0.369351145476549	0.817878908451562	0.887102231267804	0.528829266596527	0.268157831376243	0.943276283971039	0.766873733459957	0.766117445907207	0.993335827860194	0.173970528409015	0.755032317960706	0.112088850791257	0.613269215107115	0.273389446963383	0.174953168955914	0.270589826897208	0.357988829904465	0.331408254967978	0.432102398753853	0.55545648082403	0.484481259023234	0.600168829643378	0.860313038438813	0.192299770712566	0.962786127026901	0.92245278815614	0.557966100942277	0.638195873380446	0.904513676888324	0.324665410887027	0.254052703044541	0.388994850724897	0.446560823710847	0.35348720068223	0.520533044950928	0.385806744578406	0.231328919223054	0.403789278065805	0.28954773832551	0.643854336091299	0.674451149623736	0.607516263853461	0.353036982657824	0.306640309714176	0.549386011810072	0.903456137925449	0.250480241266639	0.650293459952007	0.731530616059853	0.673435763237871	0.823524595909166	0.472301227114107	0.230613888624225	0.255771140388136	0.0504862489828005	0.204821999119361	0.632829074337492	0.205223737363345	0.8771154049609	0.364839015302012	0.155243301109278	0.56943860263317	0.469025517840638	0.729920301440824	0.566143491190941	0.87544496302416	0.189318541859184	0.239960522986609	0.239960522986609	0.238955295899929	0.240161030741133	0.275136407451318	0.672451490623596	0.73610561121684	0.494089834893102	0.134737200176006	0.451184244690808	0.717761160895386	0.153933721751047	0.0430061413270759	0.927478547260389	0.958082902933047	0.529940251157461	0.365801394551859	0.598501083572847	0.755880637699232	0.647204123674247	0.576214918057275	0.709791319433996	0.177817706982943	0.12665797444433	0.514689341978981	0.699371064430227	0.87934914193299	0.423325667447307	0.825891957146556	0.600928978881804	0.585791366985575	0.259391591140709	0.486545971081438	0.778105809888331	0.329125213894856	0.520604673546566	0.529371765463392	0.803799580043819	0.620599975698722	0.949362123939667
CYT001_HEPG2_4H:CMAP-CYT-SRP3112:200	0.851486375835197	0.632859895896633	0.674646415918135	0.356415348446892	0.185933143328261	0.811140669623219	0.911432817652015	0.171156200801573	0.342577480141971	0.733509148135641	0.629347100595211	0.105386319337314	0.443709884555846	0.769195899658957	0.700615214735854	0.727074442607156	0.941179795407657	0.659466137589666	0.958237917451862	0.262049276229496	0.638142795258636	0.819716073298656	0.307248332119167	0.648023484721864	0.81250332343708	0.17762013611599	0.670916579612149	0.391143970365487	0.403554934430293	0.726310661180224	0.930003303171415	0.449808555038353	0.774892378587418	0.80474630179632	0.890173738329978	0.800203009626798	0.878293891506416	0.145575291202378	0.148295161288339	0.168148472700539	0.745758406846768	0.138867505986653	0.816511729232322	0.364631024521398	0.362301198180958	0.360454787482214	0.267468640889637	0.342898608429613	0.473739692891173	0.719416249721368	0.756299336829913	0.217231661982009	0.790812058772621	0.901862333454942	0.78664702202177	0.643719754776966	0.902700556066302	0.533543922020752	0.943531045916399	0.24616408966016	0.779304869972456	0.169299151683212	0.0995177395474221	0.170343254517053	0.74153496464105	0.33404612934798	0.365803901566682	0.652775825039469	0.0756585528925353	0.768026667237345	0.797857600337665	0.917725201363433	0.837879467433739	0.877046215768368	0.268668057735464	0.191650408496917	0.191650408496917	0.256841140285486	0.283313089083069	0.50455585619476	0.900078684195454	0.955062114814436	0.289568178376792	0.168843157498216	0.446843902466249	0.800786420633885	0.430095837588433	0.0436635515273453	0.627271377184757	0.648199342428192	0.750177007282961	0.0935231804367787	0.471988509594442	0.636771217389615	0.470576604486076	0.685692669886603	0.701607835716776	0.670869540756993	0.178963921546113	0.243092157423406	0.737772250540057	0.573775409981562	0.273327192080495	0.898010900397357	0.504795727992605	0.0785231149324759	0.28824780322715	0.681398449057097	0.409348774807222	0.880973084410906	0.791820245767853	0.395543431322969	0.473989045733694	0.289897278585019	0.980445433248016
