,source,paths
0,CCND1,"[['CCND1', 'STAT3']]"
1,DVL3,"[['DVL3', 'RAC1', 'STAT3']]"
2,CXCR4,"[['CXCR4', 'STAT3']]"
3,AR,"[['AR', 'FOXO1', 'STAT3'], ['AR', 'EGFR', 'STAT3'], ['AR', 'PIK3R1', 'STAT3']]"
4,RALB,"[['RALB', 'RALBP1', 'RAC1', 'STAT3']]"
5,NCF2,"[['NCF2', 'RAC1', 'STAT3']]"
6,CDKN1B,"[['CDKN1B', 'CCND1', 'STAT3']]"
7,BAD,"[['BAD', 'BCL2L1', 'TP53', 'EGFR', 'STAT3'], ['BAD', 'BCL2', 'TP53', 'EGFR', 'STAT3'], ['BAD', 'BCL2L1', 'TP53', 'MET', 'STAT3'], ['BAD', 'BCL2', 'TP53', 'MET', 'STAT3'], ['BAD', 'BCL2L1', 'TP53', 'PML', 'STAT3'], ['BAD', 'BCL2', 'TP53', 'PML', 'STAT3'], ['BAD', 'BCL2L1', 'TP53', 'EP300', 'STAT3'], ['BAD', 'BCL2', 'TP53', 'EP300', 'STAT3'], ['BAD', 'BCL2L1', 'TP53', 'CDKN1A', 'STAT3'], ['BAD', 'BCL2', 'TP53', 'CDKN1A', 'STAT3'], ['BAD', 'BCL2', 'CASP3', 'CDKN1A', 'STAT3'], ['BAD', 'BCL2', 'MYC', 'CDKN1A', 'STAT3'], ['BAD', 'BCL2L1', 'TP53', 'MAPK3', 'STAT3'], ['BAD', 'BCL2', 'TP53', 'MAPK3', 'STAT3'], ['BAD', 'BCL2', 'CASP3', 'MAPK14', 'STAT3'], ['BAD', 'BCL2', 'CASP3', 'GATA1', 'STAT3'], ['BAD', 'BCL2', 'CASP8', 'MAP3K14', 'STAT3']]"
8,VAV3,"[['VAV3', 'RAC1', 'STAT3'], ['VAV3', 'PTPN6', 'STAT3'], ['VAV3', 'PTPN11', 'STAT3']]"
9,RUNX1,"[['RUNX1', 'CDK6', 'CDKN1A', 'STAT3']]"
10,ICAM1,"[['ICAM1', 'EGFR', 'STAT3']]"
11,ILK,"[['ILK', 'AKT1', 'CDKN1A', 'STAT3'], ['ILK', 'AKT2', 'CDKN1A', 'STAT3'], ['ILK', 'AKT3', 'CDKN1A', 'STAT3'], ['ILK', 'GSK3B', 'CDKN1A', 'STAT3'], ['ILK', 'AKT1', 'FOXO1', 'STAT3'], ['ILK', 'AKT2', 'FOXO1', 'STAT3'], ['ILK', 'AKT1', 'EP300', 'STAT3'], ['ILK', 'AKT2', 'EP300', 'STAT3'], ['ILK', 'AKT1', 'MTOR', 'STAT3'], ['ILK', 'AKT1', 'SRC', 'STAT3'], ['ILK', 'PDPK1', 'SRC', 'STAT3'], ['ILK', 'AKT1', 'PTPN1', 'STAT3'], ['ILK', 'AKT2', 'PTPN1', 'STAT3'], ['ILK', 'AKT1', 'GATA1', 'STAT3'], ['ILK', 'AKT1', 'IRAK1', 'STAT3'], ['ILK', 'AKT1', 'RAC1', 'STAT3'], ['ILK', 'FN1', 'RAC1', 'STAT3'], ['ILK', 'AKT1', 'PRKCD', 'STAT3'], ['ILK', 'PDPK1', 'PRKCD', 'STAT3'], ['ILK', 'PDPK1', 'PRKCA', 'STAT3'], ['ILK', 'PDPK1', 'PRKCE', 'STAT3'], ['ILK', 'GSK3B', 'PRKCE', 'STAT3'], ['ILK', 'AKT2', 'MAPK8', 'STAT3'], ['ILK', 'GSK3B', 'CCND1', 'STAT3'], ['ILK', 'GSK3B', 'KAT5', 'STAT3'], ['ILK', 'GSK3B', 'CEBPB', 'STAT3']]"
12,ARHGEF12,"[['ARHGEF12', 'ARHGAP1', 'RAC1', 'STAT3'], ['ARHGEF12', 'RHOA', 'RAC1', 'STAT3'], ['ARHGEF12', 'RHOA', 'MAPK8', 'STAT3'], ['ARHGEF12', 'RHOA', 'PRKCA', 'STAT3'], ['ARHGEF12', 'RHOA', 'PTPN1', 'STAT3']]"
13,PTPN11,"[['PTPN11', 'STAT3']]"
14,SLC2A1,[]
15,BMP2,"[['BMP2', 'BMPR1B', 'STAMBP', 'EGFR', 'STAT3'], ['BMP2', 'BMPR1A', 'TAB1', 'MAPK14', 'STAT3']]"
16,TCF7L1,[]
17,COL4A2,"[['COL4A2', 'ITGB3', 'SRC', 'STAT3'], ['COL4A2', 'ITGB5', 'SRC', 'STAT3'], ['COL4A2', 'ITGB3', 'PTPN1', 'STAT3'], ['COL4A2', 'ITGB3', 'PTK2B', 'STAT3'], ['COL4A2', 'SDC4', 'PRKCA', 'STAT3'], ['COL4A2', 'SDC4', 'RAC1', 'STAT3']]"
18,PGF,"[['PGF', 'FLT1', 'PIK3R1', 'STAT3'], ['PGF', 'VEGFA', 'EGFR', 'STAT3']]"
19,MAX,"[['MAX', 'MYC', 'CDKN1A', 'STAT3']]"
20,MECOM,"[['MECOM', 'HDAC2', 'STAT3']]"
21,PDGFRA,"[['PDGFRA', 'STAT3']]"
22,CAV1,"[['CAV1', 'SRC', 'STAT3'], ['CAV1', 'EGFR', 'STAT3'], ['CAV1', 'PDGFRA', 'STAT3'], ['CAV1', 'PDGFRB', 'STAT3']]"
23,PLCB3,[]
24,MAPK11,"[['MAPK11', 'RPS6KA5', 'STAT3'], ['MAPK11', 'EGFR', 'STAT3'], ['MAPK11', 'MAPK14', 'STAT3']]"
25,DAPK3,"[['DAPK3', 'CDKN1A', 'STAT3']]"
26,MYLK3,[]
27,MAPK10,"[['MAPK10', 'MAPK8IP3', 'MAP3K1', 'STAT3'], ['MAPK10', 'MAPK8IP3', 'MAPK9', 'STAT3'], ['MAPK10', 'MAPK8IP3', 'MAPK8', 'STAT3'], ['MAPK10', 'APP', 'MAPK8', 'STAT3'], ['MAPK10', 'NR3C1', 'MAPK8', 'STAT3'], ['MAPK10', 'SHC1', 'MAPK8', 'STAT3'], ['MAPK10', 'ATF2', 'MAPK8', 'STAT3'], ['MAPK10', 'TP53', 'EGFR', 'STAT3'], ['MAPK10', 'TP53', 'MET', 'STAT3'], ['MAPK10', 'TP53', 'PML', 'STAT3'], ['MAPK10', 'TP53', 'EP300', 'STAT3'], ['MAPK10', 'TP53', 'CDKN1A', 'STAT3'], ['MAPK10', 'TP53', 'MAPK3', 'STAT3'], ['MAPK10', 'NR3C1', 'LCK', 'STAT3'], ['MAPK10', 'NR3C1', 'CEBPB', 'STAT3'], ['MAPK10', 'SHC1', 'SRC', 'STAT3'], ['MAPK10', 'SHC1', 'PTPN2', 'STAT3'], ['MAPK10', 'SHC1', 'SYK', 'STAT3'], ['MAPK10', 'SHC1', 'MAPK1', 'STAT3'], ['MAPK10', 'SHC1', 'MAPK14', 'STAT3'], ['MAPK10', 'SHC1', 'PIK3R1', 'STAT3']]"
