,source,paths
0,PIK3R3,"[['PIK3R3', 'TP53', 'EGFR', 'STAT3'], ['PIK3R3', 'TP53', 'MET', 'STAT3'], ['PIK3R3', 'TP53', 'PML', 'STAT3'], ['PIK3R3', 'TP53', 'EP300', 'STAT3'], ['PIK3R3', 'TP53', 'CDKN1A', 'STAT3'], ['PIK3R3', 'TP53', 'MAPK3', 'STAT3'], ['PIK3R3', 'PIK3CA', 'SRC', 'STAT3'], ['PIK3R3', 'PTK2', 'SRC', 'STAT3'], ['PIK3R3', 'PIK3CA', 'PTPN11', 'STAT3'], ['PIK3R3', 'PTK2', 'PTPN11', 'STAT3'], ['PIK3R3', 'PIK3CA', 'SYK', 'STAT3'], ['PIK3R3', 'PIK3CA', 'PTK2B', 'STAT3'], ['PIK3R3', 'PTK2', 'PTK2B', 'STAT3'], ['PIK3R3', 'PIK3CA', 'RAC1', 'STAT3'], ['PIK3R3', 'PTK2', 'RAC1', 'STAT3'], ['PIK3R3', 'PIK3CA', 'PRKCD', 'STAT3'], ['PIK3R3', 'PIK3CB', 'PRKCD', 'STAT3'], ['PIK3R3', 'PTK2', 'RET', 'STAT3'], ['PIK3R3', 'PTK2', 'PIK3R1', 'STAT3']]"
1,PIK3CA,"[['PIK3CA', 'SRC', 'STAT3'], ['PIK3CA', 'PTPN11', 'STAT3'], ['PIK3CA', 'SYK', 'STAT3'], ['PIK3CA', 'PTK2B', 'STAT3'], ['PIK3CA', 'RAC1', 'STAT3'], ['PIK3CA', 'PRKCD', 'STAT3']]"
2,STAT5B,"[['STAT5B', 'IL2RA', 'STAT3']]"
3,LAMA3,"[['LAMA3', 'ITGB1', 'PTK2B', 'STAT3'], ['LAMA3', 'ITGB1', 'SRC', 'STAT3'], ['LAMA3', 'ITGB4', 'SRC', 'STAT3'], ['LAMA3', 'ITGB1', 'PRKCA', 'STAT3'], ['LAMA3', 'DAG1', 'PRKCA', 'STAT3'], ['LAMA3', 'ITGB1', 'EGFR', 'STAT3'], ['LAMA3', 'ITGB4', 'PIK3R1', 'STAT3']]"
4,RB1,"[['RB1', 'CCND1', 'STAT3'], ['RB1', 'CDKN1A', 'STAT3']]"
5,ARHGEF12,"[['ARHGEF12', 'ARHGAP1', 'RAC1', 'STAT3'], ['ARHGEF12', 'RHOA', 'RAC1', 'STAT3'], ['ARHGEF12', 'RHOA', 'MAPK8', 'STAT3'], ['ARHGEF12', 'RHOA', 'PRKCA', 'STAT3'], ['ARHGEF12', 'RHOA', 'PTPN1', 'STAT3']]"
6,JUN,"[['JUN', 'SMAD3', 'FOXO1', 'STAT3'], ['JUN', 'ESR1', 'FOXO1', 'STAT3'], ['JUN', 'SMAD3', 'CEBPB', 'STAT3'], ['JUN', 'NR3C1', 'CEBPB', 'STAT3'], ['JUN', 'SMAD3', 'EP300', 'STAT3'], ['JUN', 'SMAD4', 'EP300', 'STAT3'], ['JUN', 'SMAD3', 'CREBBP', 'STAT3'], ['JUN', 'CREB1', 'CREBBP', 'STAT3'], ['JUN', 'SMAD4', 'CREBBP', 'STAT3'], ['JUN', 'FOS', 'CCND1', 'STAT3'], ['JUN', 'ESR1', 'CCND1', 'STAT3'], ['JUN', 'SPI1', 'GATA1', 'STAT3'], ['JUN', 'ESR1', 'PIK3R1', 'STAT3'], ['JUN', 'ESR1', 'SRC', 'STAT3'], ['JUN', 'ESR1', 'NCOA1', 'STAT3'], ['JUN', 'EGR1', 'CDKN1A', 'STAT3'], ['JUN', 'NR3C1', 'LCK', 'STAT3'], ['JUN', 'NR3C1', 'MAPK8', 'STAT3']]"
7,TCF7L1,[]
8,CTBP2,"[['CTBP2', 'TCF7L2', 'ID2', 'TCF4', 'AR', 'FOXO1', 'STAT3'], ['CTBP2', 'TCF7L2', 'ID2', 'TCF4', 'AR', 'EGFR', 'STAT3'], ['CTBP2', 'TCF7L2', 'ID2', 'TCF4', 'AR', 'PIK3R1', 'STAT3']]"
9,MAX,"[['MAX', 'MYC', 'CDKN1A', 'STAT3']]"
10,PLCG2,"[['PLCG2', 'EGFR', 'STAT3']]"
11,VEGFB,"[['VEGFB', 'FLT1', 'PIK3R1', 'STAT3'], ['VEGFB', 'KDR', 'PIK3R1', 'STAT3'], ['VEGFB', 'KDR', 'SRC', 'STAT3'], ['VEGFB', 'KDR', 'PTPN11', 'STAT3']]"
12,HIF1A,"[['HIF1A', 'TP53', 'EGFR', 'STAT3'], ['HIF1A', 'VEGFA', 'EGFR', 'STAT3'], ['HIF1A', 'TP53', 'MET', 'STAT3'], ['HIF1A', 'TP53', 'PML', 'STAT3'], ['HIF1A', 'TP53', 'EP300', 'STAT3'], ['HIF1A', 'TP53', 'CDKN1A', 'STAT3'], ['HIF1A', 'TP53', 'MAPK3', 'STAT3']]"
