node	feature
AKT1	other
PIK3R1	other
BCL2	latent
CASP3	other
RALB	GSEA
CASP8	other
DAPK3	GSEA
E2F1	latent
TP53	latent
MAP3K14	other
GSK3B	latent
AXIN1	latent
KAT5	other
MAPK3	other
PDPK1	latent
MDM2	latent
HDAC2	other
PRKCA	other
EGFR	other
SRC	other
CEBPB	other
MAPK11	GSEA
HDAC1	latent
MYC	other
PTPN2	other
STAT3	other
MAPK14	other
CDKN1A	other
HSP90AA1	latent
CAV1	GSEA
MAPK1	other
BRAF	latent
RAF1	latent
MET	other
MAPK8	other
EP300	other
RAC1	latent
CCND1	latent
ERBB2	latent
MAX	GSEA
HRAS	latent
ATF2	other
RPS6KA5	other
IRAK1	other
MAP3K1	other
TAB1	other
PDGFRB	other
PDGFRA	GSEA
FGF2	latent
MAPK8IP3	other
DVL3	GSEA
MAPK10	GSEA
MAPK9	other
PTPN11	GSEA
KDR	latent
LCK	other
PTK2B	other
SHC1	latent
PTPN6	other
BMP2	GSEA
VEGFA	other
RAP1A	latent
ILK	GSEA
ARHGEF12	GSEA
SYK	other
MTOR	latent
IKBKB	latent
CHUK	latent
PIK3R3	latent
RHOA	other
VAV3	GSEA
AKT3	latent
BMPR1B	other
PTPN1	other
PAK3	latent
CDKN1B	GSEA
FN1	latent
BMPR1A	other
RUNX1	GSEA
ITGB3	other
PRKCD	other
GSTP1	latent
NR3C1	other
FGFR3	latent
SDC4	other
AKT2	other
FLT3	latent
CDK6	other
APP	other
PRKCE	other
ARHGAP1	other
FOXO1	latent
ITGB5	other
PGF	GSEA
ICAM1	GSEA
COL4A2	GSEA
AR	GSEA
NCF2	GSEA
BCL2L1	other
FLT1	other
STAMBP	other
CTNNA1	latent
MECOM	GSEA
PML	other
CXCR4	GSEA
GATA1	other
FAS	latent
RALBP1	other
BAD	GSEA
FGFR2	latent
ETS1	latent
NFKBIA	latent
PLCB3	GSEA
ACTB	latent
PTGS2	latent
