node	feature
TP53	other
HIF1A	latent
EP300	other
MAPK3	other
MAPK8	other
CREB1	other
CREBBP	other
PRKCA	other
EGFR	latent
SRC	other
AR	other
FOXO1	other
CEBPB	other
SMAD3	latent
ESR1	other
MYC	other
STAT3	other
CDKN1A	latent
PIK3CA	GSEA
CCND1	latent
GATA1	other
SPI1	other
EGR1	other
RAC1	other
MAX	GSEA
SMAD4	other
PML	other
PTPN1	other
VEGFB	GSEA
JUN	latent
NR3C1	other
PTPN11	other
RET	other
PTK2	latent
PTK2B	other
LCK	other
VEGFA	other
ARHGEF12	latent
SYK	other
ITGB1	other
FOS	other
PIK3R3	latent
RHOA	latent
MET	other
PRKCD	other
ITGB4	other
PIK3R1	other
KDR	other
TCF4	other
ID2	other
ARHGAP1	other
NCOA1	other
DAG1	latent
LAMA3	latent
RB1	latent
PLCG2	GSEA
FLT1	other
CTBP2	GSEA
TCF7L2	other
PIK3CB	other
IL2RA	other
STAT5B	GSEA
