	P15336	P18848	P49715	P16220	Q01094	P19419	Q99814	P03372	P14921	P01100	Q12778	O43524	P98177	Q16665	P10914	Q00978	P05412	P17535	Q9UJU2	O75030	P01106	P19838	Q00653	Q07869	P37231	Q04864	Q04206	Q01201	P19793	P84022	Q13485	P48436	P08047	P11831	P42224	P52630	P40763	Q14765	P42229	P42226	P15923	P04637
CYT001_A549_2H:BMP10:50	0.494119595103154	0.506635765513627	0.610099183531374	0.502903354288519	0.640360931598854	0.80766126336569	0.831563732318666	0.423831722301272	0.508497714209458	0.138839855706392	0.477619944090666	0.417907437877949	0.583426409129403	0.742474953591991	0.594176291072749	0.945711198264168	0.401614174074748	0.693307586172681	0.916310585985586	0.135483804925026	0.924373909876737	0.468517174621307	0.703421098402965	0.856260537057839	0.273116496300634	0.911390783680286	0.593293051854196	0.150786045945721	0.357667926061061	0.62107735410933	0.730692613279917	0.201544112569651	0.653135115377082	0.936397177827022	0.255645580756449	0.960752713703217	0.721659439254535	0.543708691931352	0.832711349415733	0.718207984102938	0.153447189173685	0.496859530266686
CYT001_HEPG2_2H:IL6:25	0.295463656597858	0.2810751794109	0.933024759744679	0.628272975051901	0.455545861098873	0.235402433812896	0.214351482618017	0.880737938045482	0.849458864839003	0.929313220987622	0.598073050935637	0.419808957063518	0.643267741750892	0.48580546273272	0.956733312573287	0.766521632416184	0.864082115792489	0.611553462830336	0.323760479390139	0.775295206048201	0.158369060218813	0.976083080660423	0.375163986071384	0.337073230201229	0.543662991717622	0.961163072634982	0.983184979319044	0.816594084775803	0.470451739124086	0.408866538258475	0.226992879076385	0.682423313661862	0.475926948897496	0.719155159463672	0.995419995936686	0.792473567469078	0.963146672518756	0.202810530920271	0.68837242548838	0.657275778735436	0.429533927046993	0.634805025937462
CYT001_HEPG2_2H:AVP:5	0.578755068020764	0.432525341501909	0.783086502310795	0.583492287849468	0.666839805674597	0.750747958489304	0.453274691088846	0.93391719707711	0.965360605833637	0.962117654165286	0.406937516395542	0.594615386388594	0.36237156285948	0.754441753348624	0.628042433351285	0.206624908684232	0.619247304880209	0.837979003509293	0.211114729176477	0.347474814216185	0.271195716036892	0.983833169332627	0.073062294439322	0.37743074958766	0.623267768641601	0.897620764282477	0.975748762088155	0.853620352732493	0.325993365114468	0.45449958365027	0.610838832974312	0.627072332136901	0.745021351127846	0.844967209889343	0.889480819439271	0.535217495974217	0.976217237074484	0.497154220047039	0.759061812110604	0.776625964662704	0.531673621460415	0.889491812304863
CYT001_PC3_2H:CMAP-CYT-F8424:20	0.501741102070249	0.755292165552261	0.647758833044713	0.33605037321963	0.176095060129097	0.724428868496369	0.563158391151398	0.159540951924266	0.576472202327252	0.683763806174892	0.700108007409197	0.712965510094787	0.810535399270617	0.658951391558157	0.339081546744432	0.136294476016269	0.905148507429249	0.520586618372037	0.864654510147886	0.887173555826408	0.750250486193989	0.76867992075205	0.787054357856614	0.54488736267028	0.256822086415891	0.731426760910544	0.782519047214757	0.66659592785464	0.556579703489008	0.817856095757376	0.807322400645477	0.828729141123216	0.651985136585908	0.111235767174984	0.471753306543369	0.155735621339884	0.451239764146557	0.613671540221691	0.23205091609364	0.482069132010581	0.649685941447788	0.844097189770806
CYT001_HA1E_4H:CMAP-CYT-E7764:1	0.798895609098824	0.715771370027584	0.145763320739222	0.646938298012642	0.665156670139798	0.873108111352157	0.253828378992753	0.685828635080656	0.698684577359499	0.458431600740605	0.903283943227276	0.557074870971685	0.805089057767404	0.714096181782978	0.178410025797499	0.687674177772907	0.630188561426439	0.267792094993375	0.531796572642736	0.804438735922077	0.923441791188844	0.519726943404461	0.119480001520836	0.585656691840181	0.427581437658846	0.310256755263841	0.47296166373438	0.4625680310635	0.890255581505248	0.547503003589797	0.784796966976634	0.107213490849925	0.758621977251627	0.906601886428235	0.13581584080965	0.271259610376588	0.298358845661247	0.744696330836567	0.476769223796608	0.785865029089097	0.0665557472221318	0.284308053510469
CYT001_HA1E_4H:CMAP-CYT-U4127:20	0.377995147137333	0.493869763027859	0.837050296400502	0.660312299567118	0.720969164354196	0.386151171982498	0.74515012096355	0.236543760376002	0.711293894208639	0.800937558778832	0.259003439781681	0.142449760926325	0.287359875806178	0.716235785760844	0.326876730738446	0.145395227612171	0.535866636445352	0.385466787260984	0.356404305208099	0.686349780217694	0.414148599636208	0.321084137807879	0.18144492925057	0.478080720431417	0.343349982373332	0.851103285086315	0.248161716720024	0.139613520681612	0.271274937640897	0.159781098551628	0.191520730954817	0.368117768414282	0.842308669502436	0.199172894276576	0.464357735574169	0.0570798162206145	0.59063008920819	0.562803519831899	0.626299779352194	0.396399484646963	0.644147472006443	0.814538654863835
CYT001_HA1E_4H:CMAP-CYT-B3555:50	0.112825995690777	0.122024271572167	0.781574273489239	0.635984887186816	0.296658770612589	0.104834770922491	0.832436177268757	0.667662327690074	0.641591551861757	0.707372126658261	0.728816266135208	0.530174635266485	0.477036642457431	0.160478455552345	0.434242401128518	0.809005815654878	0.66184012649463	0.583397293049191	0.160996856271361	0.526477149195984	0.0575497927029459	0.20534511210304	0.465468622211758	0.389978646259358	0.274694910909797	0.22345396513035	0.102308642150944	0.0751177251014705	0.691391170311529	0.578955872695589	0.641056437532868	0.851314264524072	0.203854252978838	0.129014355620321	0.532124311832228	0.530950436146084	0.234592212568357	0.144494653061408	0.257778905246953	0.349857885579126	0.596219469564337	0.599922046131654
CYT001_VCAP_2H:CMAP-CYT-SRP3131:100	0.177862690124924	0.197586619403738	0.439703940666436	0.337823839067207	0.843959107884639	0.164893780414625	0.360882529688145	0.398730091504705	0.749630962800373	0.813840737663461	0.299970702816093	0.627362963179235	0.114177529731094	0.559414688322582	0.501715688418774	0.41032110255018	0.565055012028264	0.513237792782407	0.582349319731505	0.57118316717931	0.739786863222115	0.289329556576493	0.27965989194307	0.136757639025427	0.211919742110128	0.600355865013909	0.317948067396451	0.861633777562568	0.713778783224695	0.411222396544413	0.137322222125332	0.301453182574108	0.29071453428174	0.0272526274842692	0.82539115360826	0.180423145876845	0.21339768987298	0.272646518038119	0.37285732960606	0.364721657424827	0.290665915669696	0.337228879187648
CYT001_VCAP_2H:CMAP-CYT-T1327:80	0.821919261966971	0.632885545015663	0.369351145476549	0.528829266596527	0.943276283971039	0.755032317960706	0.112088850791257	0.273389446963383	0.270589826897208	0.55545648082403	0.557966100942277	0.638195873380446	0.904513676888324	0.520533044950928	0.403789278065805	0.28954773832551	0.643854336091299	0.674451149623736	0.353036982657824	0.306640309714176	0.903456137925449	0.823524595909166	0.472301227114107	0.8771154049609	0.364839015302012	0.469025517840638	0.729920301440824	0.566143491190941	0.275136407451318	0.672451490623596	0.73610561121684	0.451184244690808	0.717761160895386	0.529940251157461	0.365801394551859	0.598501083572847	0.755880637699232	0.647204123674247	0.576214918057275	0.177817706982943	0.514689341978981	0.600928978881804
CYT001_HEPG2_4H:CMAP-CYT-SRP3112:200	0.356415348446892	0.185933143328261	0.342577480141971	0.105386319337314	0.769195899658957	0.958237917451862	0.262049276229496	0.819716073298656	0.648023484721864	0.391143970365487	0.890173738329978	0.800203009626798	0.878293891506416	0.816511729232322	0.360454787482214	0.267468640889637	0.342898608429613	0.473739692891173	0.756299336829913	0.217231661982009	0.901862333454942	0.943531045916399	0.24616408966016	0.365803901566682	0.652775825039469	0.797857600337665	0.917725201363433	0.837879467433739	0.50455585619476	0.900078684195454	0.955062114814436	0.446843902466249	0.800786420633885	0.750177007282961	0.0935231804367787	0.471988509594442	0.636771217389615	0.470576604486076	0.685692669886603	0.670869540756993	0.243092157423406	0.504795727992605
CYT001_HCC515_4H:CMAP-CYT-SRP2091:25	0.506310473569336	0.334098847605999	0.733282875502252	0.479361057092455	0.69401735471507	0.759714451771916	0.193940519064724	0.763363676597055	0.631811210045786	0.795436131152751	0.368970113221621	0.461510549588749	0.748643005976382	0.906407536281866	0.34566506055013	0.153641241026551	0.610476274373223	0.368239995745025	0.581200037367954	0.662860071715112	0.908374441200738	0.869889737132146	0.0714036411798979	0.227317016359781	0.114903349593204	0.702292660024981	0.863490185986662	0.798972665700514	0.284838233316608	0.584038395809162	0.561017079621496	0.52358351898715	0.550343309958147	0.595756985642599	0.225301998263627	0.315051353655366	0.768134601167966	0.0872664182118969	0.386074278461196	0.703118935139109	0.454311299640023	0.485959127158722
CYT001_HCC515_4H:CMAP-CYT-E3641:0.3	0.12971519495242	0.486453800810913	0.651142162643386	0.485849833391347	0.512421629802861	0.347621181140421	0.590264936931808	0.672776872439964	0.282299949760686	0.4851645208363	0.264446574319773	0.299757799422637	0.218896922444139	0.300739318467256	0.545020394211233	0.174207242497474	0.718220287394395	0.694088626647415	0.392720379328316	0.360366945211073	0.357497166785386	0.242602029718993	0.563164401808105	0.545514255592402	0.374000468274395	0.35640734167822	0.288516319204324	0.327209398688701	0.536716062021547	0.183299127021346	0.107322135321929	0.715121489613362	0.609247072899994	0.448315031378895	0.480279106418879	0.19240931714128	0.37521991728634	0.316900026545962	0.364761507584726	0.340374840068202	0.602644916104661	0.758497808780088
CYT001_HEPG2_2H:OXT:2	0.610324176983824	0.577478342177893	0.532119110311716	0.444857921285036	0.674978360689046	0.355902247451507	0.647314346948667	0.651065933326408	0.354206158270509	0.897337291883037	0.112579975303017	0.210899842286415	0.143384024963419	0.307266190189989	0.118741113207557	0.144838793294335	0.395911416362252	0.271648950197274	0.356074153758704	0.381679991248435	0.334974920480605	0.446450419655154	0.294583668837153	0.0481790147903958	0.189863520858039	0.133584302746273	0.357040389353745	0.738867760108582	0.333837856404522	0.80571431170152	0.795573902381458	0.478390799760841	0.346054910333838	0.361471893624771	0.796733539718842	0.0630469410752339	0.17970428949381	0.163608349583262	0.0553493207257428	0.657333133601045	0.319089819724226	0.740703674628787
CYT001_A375_4H:CMAP-CYT-C5483:400	0.42519522015855	0.341336992907464	0.713627712649851	0.747709927516968	0.607523079990188	0.892118560683085	0.77440803909803	0.666213017140806	0.557498506744449	0.74836024959614	0.560081156339661	0.462232668287437	0.171346465012339	0.892232699530946	0.767091149127842	0.957426931806241	0.765701981360595	0.660026859418313	0.737023496595959	0.145301887030938	0.042258515725291	0.758959877364942	0.374486029426954	0.72848010391789	0.876533322874563	0.708675089721936	0.744668557213246	0.496949361660842	0.74060526652389	0.510848514325793	0.574069750641822	0.411111734446656	0.869734033934195	0.558000964093115	0.874833173601775	0.972143694332845	0.728614857900371	0.451007731249351	0.85596199518668	0.514149462932046	0.165769728149755	0.747406596929238
CYT001_HT29_4H:CMAP-CYT-SRP3168:200	0.714325029713559	0.512561879393882	0.578251887667777	0.321723736834938	0.513007469615037	0.864587889887512	0.292572911987266	0.853001930481349	0.622416002286585	0.357640847779096	0.465308643166448	0.119692660456424	0.588865154585136	0.194454667033648	0.114012411062604	0.414103678648754	0.376200116647834	0.549127278854797	0.581151756962669	0.499835933566409	0.22134596634252	0.640408270627336	0.90298754611452	0.489115226093258	0.442688077517002	0.236527379903434	0.799153152278263	0.336124927719147	0.475920252576888	0.616898537243876	0.475365447700416	0.798814451532756	0.439398518384747	0.761206013783234	0.615176768044614	0.0668196668538342	0.733629013139371	0.149525859278203	0.580438624831561	0.214689776601183	0.512207340386547	0.304080313384125
CYT001_VCAP_2H:CMAP-CYT-I4151:0.1	0.48124675174924	0.281789570969725	0.56604310960638	0.194644113474813	0.760751799801146	0.647919353907899	0.192976026692063	0.0671845998064856	0.334647257711727	0.153098293251725	0.721387369077762	0.246378440647748	0.796270059006556	0.355381936746616	0.0413664926405734	0.866868658229374	0.593581580170423	0.150046697181718	0.47523393382465	0.617490749109587	0.938459840272249	0.635488720432624	0.536207007923159	0.20024710723547	0.11975556285813	0.623559694944727	0.42436306141302	0.601952908740713	0.489421725031596	0.500773611546587	0.328601842189763	0.571149050578332	0.261543706032337	0.712472230739458	0.143072151524742	0.931418600371409	0.152683473332119	0.308346980894419	0.523704428559578	0.0901603638603308	0.444173831668844	0.447275392288263
