	P10275	O00327	P18846	P15336	P18848	P18850	O14867	Q99626	P49715	P17676	P49716	P16220	Q01094	Q14209	O00716	P18146	P19419	Q99814	P11308	P03372	Q92731	P14921	P15036	Q01543	P01100	P15407	P55317	Q9Y261	P58012	Q08050	Q12778	O43524	P98177	P15976	P23769	P23771	P10070	Q16665	P41235	Q00613	P10914	Q00978	P05412	P17535	O43474	Q9UJU2	O75030	P10242	P01106	Q13469	Q16236	P08651	P19838	Q00653	P23511	P04150	P26367	Q06710	P06401	P14859	Q07869	P37231	P10276	Q04864	Q04206	Q01201	Q13127	P48382	O14593	Q01196	Q13761	P19793	P84022	Q13485	P56693	P48431	P48436	P08047	Q02447	P17947	P36956	Q12772	P11831	P42224	P52630	P40763	Q14765	P42229	P51692	P42226	P17542	P15923	Q9NQB0	P05549	Q14186	P04637	Q9H3D4	Q15672	P22415	P11473	P19544	P25490	P37275
CYT001_HEPG2_4H:CMAP-CYT-SRP3112:200	0.851486375835197	0.632859895896633	0.674646415918135	0.356415348446892	0.185933143328261	0.811140669623219	0.911432817652015	0.171156200801573	0.342577480141971	0.733509148135641	0.629347100595211	0.105386319337314	0.769195899658957	0.700615214735854	0.727074442607156	0.659466137589666	0.958237917451862	0.262049276229496	0.638142795258636	0.819716073298656	0.307248332119167	0.648023484721864	0.81250332343708	0.670916579612149	0.391143970365487	0.403554934430293	0.930003303171415	0.449808555038353	0.774892378587418	0.80474630179632	0.890173738329978	0.800203009626798	0.878293891506416	0.148295161288339	0.168148472700539	0.745758406846768	0.138867505986653	0.816511729232322	0.364631024521398	0.362301198180958	0.360454787482214	0.267468640889637	0.342898608429613	0.473739692891173	0.719416249721368	0.756299336829913	0.217231661982009	0.790812058772621	0.901862333454942	0.643719754776966	0.902700556066302	0.533543922020752	0.943531045916399	0.24616408966016	0.779304869972456	0.169299151683212	0.0995177395474221	0.170343254517053	0.74153496464105	0.33404612934798	0.365803901566682	0.652775825039469	0.768026667237345	0.797857600337665	0.917725201363433	0.837879467433739	0.877046215768368	0.268668057735464	0.191650408496917	0.256841140285486	0.283313089083069	0.50455585619476	0.900078684195454	0.955062114814436	0.289568178376792	0.168843157498216	0.446843902466249	0.800786420633885	0.430095837588433	0.0436635515273453	0.627271377184757	0.648199342428192	0.750177007282961	0.0935231804367787	0.471988509594442	0.636771217389615	0.470576604486076	0.685692669886603	0.701607835716776	0.670869540756993	0.178963921546113	0.243092157423406	0.737772250540057	0.573775409981562	0.898010900397357	0.504795727992605	0.0785231149324759	0.28824780322715	0.681398449057097	0.880973084410906	0.791820245767853	0.395543431322969	0.289897278585019
CYT001_PC3_2H:CMAP-CYT-SRP4589:20	0.739708030525932	0.314149788904833	0.157071606957192	0.539532092766953	0.274158156524351	0.453335352760759	0.538302471539627	0.778744870978016	0.494024650752757	0.666508080550699	0.536443755310527	0.261771677293856	0.829108745058088	0.962538756384598	0.96460479569264	0.525536493146579	0.656623488519774	0.73254967195201	0.570206637898942	0.356333632698139	0.589110084124295	0.604923791244399	0.93537906987368	0.523658713139707	0.181196585351771	0.336621291539235	0.489219127845217	0.439869501570156	0.321176252941835	0.844674277025408	0.378921473408564	0.454391593594226	0.16424608748938	0.513297907683412	0.890484045581647	0.17184687329478	0.480237455715196	0.535419159857947	0.746543577275253	0.741091636602152	0.454940009750943	0.827830343011022	0.110400247547101	0.37333130162553	0.335918413962233	0.8306707409069	0.149616825192027	0.757955927998176	0.386202106558537	0.11720630055093	0.438253988914455	0.792901910668045	0.101411332515748	0.951524763072097	0.903917152630509	0.129360800607588	0.243131443005294	0.361864651318363	0.36510118035669	0.503150622168231	0.542330081924152	0.461509691720196	0.317080159648447	0.428551900835064	0.221509614378128	0.178338509388556	0.441380980738427	0.346742956707376	0.276075053437642	0.410547707292053	0.380217185285327	0.69489930506978	0.180321639241971	0.171647750254646	0.247770078618776	0.0207875661795603	0.421925164287971	0.583718595752775	0.598419007045552	0.47530882971276	0.891384661788293	0.879429530027196	0.649239340900032	0.27325208656458	0.731816234744651	0.246938015101307	0.368558390018969	0.388727891173914	0.197631785646362	0.646606022814999	0.35558128347847	0.437520065649232	0.606315082932737	0.511270805812065	0.177411301036896	0.278355956603968	0.454761678570208	0.790827446035753	0.303314659687301	0.612959311386383	0.22118788766224	0.350872755618675	0.439927060345265
CYT001_A549_4H:CMAP-CYT-SRP3067:100	0.833423096813605	0.790232385298353	0.754077427024491	0.879159776286717	0.6089804875541	0.934080902686307	0.584884566104386	0.369488115463071	0.840183102602933	0.869623229361579	0.843111982127966	0.505674104714606	0.395680471191103	0.0263319242245089	0.0933488115049716	0.359116610059685	0.793261452391199	0.21355284936561	0.304360924399357	0.251452399607685	0.504720666675884	0.473287555012388	0.24862959826389	0.354521778639762	0.422799595207481	0.411872796571419	0.834160923586591	0.300585366310858	0.754084835953945	0.0387840366027497	0.976777526146888	0.978867223226537	0.826138067789075	0.630490995685761	0.251908071059433	0.0968679660963658	0.0486528384142029	0.541759018870897	0.402237175642261	0.878235929792421	0.591969808132125	0.597190373296038	0.145761309398763	0.303301548329794	0.529985700614886	0.0469617399558903	0.332115301720454	0.234654073021767	0.56371230605286	0.144419236356163	0.182819523232884	0.443378800592539	0.199902916073794	0.61833467841645	0.694419965205266	0.597393968617952	0.551793846617842	0.273442272296609	0.285957964635467	0.124798010174462	0.384478926652847	0.591345470715033	0.494965216803525	0.228722848172812	0.0936624029791484	0.365008197763286	0.619646468752602	0.369108765261499	0.279078401024057	0.379718396222916	0.547660236583297	0.473880933062579	0.520385733768512	0.703986534021825	0.398716045786409	0.181941890005433	0.876328071275102	0.371845219042242	0.410597606724023	0.362166142116475	0.97063253425383	0.951122935809098	0.562944697665246	0.145122621106903	0.839374024513223	0.568544236892762	0.506872147343175	0.461019639212585	0.530648531002494	0.484011701105148	0.620860236962879	0.530048132077025	0.195943031900255	0.614875453503693	0.469868360798052	0.613573239670379	0.674712695159276	0.56038772644233	0.369397354162346	0.364536206557784	0.80378461907903	0.107229313994046	0.303830112078367
CYT001_MCF7_2H:BGLAP:20	0.501538867335169	0.644464803173518	0.389327509530014	0.155687826453533	0.278257083163806	0.435984654842531	0.937836834889151	0.45592757450391	0.584889729402996	0.666512357201654	0.625275231201929	0.0804703714819065	0.534147007652325	0.149165818403931	0.236159949056714	0.434539409826524	0.189470164904878	0.322994115680909	0.685874207120281	0.73988315597641	0.543832499116187	0.303368597008124	0.434859750573545	0.693872121607958	0.401043086398725	0.44151144739502	0.515109613249375	0.162815734700058	0.316484738478586	0.188872601817829	0.762155872768892	0.620078267936868	0.386385818863617	0.306212561891071	0.21213675959587	0.537792284958211	0.744714057332636	0.766744160666539	0.181869315680644	0.193728548640701	0.133128695058849	0.806291168278984	0.221926596295857	0.323602361532001	0.24808253156559	0.836013811152817	0.620844189910924	0.463944670151179	0.578787395649973	0.539434588446838	0.561597386746131	0.403933938718167	0.728712148871264	0.156473259108165	0.409654678603845	0.159269009894915	0.0734697353080957	0.501015200751641	0.878804110076682	0.133888916004294	0.0929907983816649	0.560880351799451	0.134492175108636	0.332781903346754	0.554621549564679	0.639085005880134	0.845207658180955	0.0319804421090805	0.0270266809612506	0.672022862023047	0.360001812132293	0.629489723690395	0.512406284961616	0.669713528219537	0.803106302908199	0.0294016667663623	0.119805921408435	0.584661881954285	0.387851215149349	0.0789765955989261	0.562073302042232	0.585466311775223	0.344552177698592	0.299689874248089	0.901228957276346	0.471109506523316	0.602706585540714	0.791164977841312	0.704248830643202	0.259355498476883	0.235434976910788	0.478525790145312	0.842704572401658	0.429780145343651	0.464367401486003	0.382888392577148	0.59832294570074	0.396120814731335	0.61684299880378	0.703050060000861	0.686613422581738	0.64845457924821	0.322083282177297
CYT001_MCF7_4H:CMAP-CYT-SRP3067:100	0.608742232641679	0.705155118367989	0.655639901146016	0.916775296731401	0.71598307233179	0.878914919031983	0.649404580485465	0.364989957598544	0.739549897983758	0.596744989874401	0.303370974880238	0.371194238606774	0.434803276817583	0.112746408159697	0.165711871819699	0.566862714307524	0.623167063715141	0.315470700519468	0.545298896682298	0.235339497041051	0.767464297741517	0.438003316444936	0.128806424684192	0.80191431120712	0.39455662164366	0.314803162372143	0.460273805395018	0.562963337657081	0.888619748016259	0.162115902607998	0.906308704811326	0.940601673087227	0.341268754951078	0.6552187739549	0.54154333693012	0.138492699823849	0.218491620190152	0.44727386263197	0.704763750363437	0.976541416877663	0.212239545704062	0.221885302741816	0.666682227414779	0.363626180855446	0.422144870820713	0.11769603484246	0.546006826666045	0.501485966662224	0.837227866391893	0.104118843070174	0.546675202723992	0.381900097374015	0.281433806689779	0.735267903228596	0.848615524058533	0.50442298390991	0.881678153595073	0.152281549817136	0.0839806180093688	0.13247494524582	0.383627464438785	0.794697098795243	0.267105330499191	0.730724599970584	0.283647552441327	0.675895163238881	0.128786239743136	0.668713032074103	0.68972668903632	0.334290331604072	0.817173978180645	0.482531367709121	0.649401334491538	0.565253335471523	0.314471445327425	0.179109389624906	0.595610787674797	0.175237261929464	0.434361036896648	0.496014645444277	0.989412934069995	0.981545496640523	0.607735309552576	0.0422636511920279	0.1270246037573	0.238965627125602	0.176591650170125	0.0816745814580288	0.104630866738825	0.398514842615663	0.872268760564802	0.538715113142791	0.277731038476426	0.3133755456297	0.391956095071597	0.362692585769693	0.627298239620091	0.793089345725717	0.206941164881951	0.217440967343233	0.794514687958294	0.178259276160798	0.676797469622407
CYT001_VCAP_2H:CMAP-CYT-SRP3050:2	0.735443014067801	0.976888321599192	0.311350664336049	0.412427609349591	0.0951024887567655	0.925212305416095	0.66236073380391	0.55860596749823	0.155588161663756	0.481057586454117	0.457990985804855	0.121822752727397	0.643661607144628	0.462146988664266	0.537522888407689	0.143450357017803	0.650879304392093	0.0793425037028524	0.546799856485786	0.622515866607875	0.231088546421217	0.0734844539707017	0.338335747319574	0.386629065058529	0.202642249759418	0.434585161130424	0.957618602939875	0.609520041985022	0.27875743295618	0.695677114353003	0.686350964906684	0.413182556590952	0.765883637832272	0.310672278098959	0.470898451027567	0.469768731041552	0.63129239217588	0.0780641597950983	0.637033241669697	0.106450377754042	0.16990512902096	0.558353520140769	0.377965648969715	0.256094692279285	0.78412429169743	0.750662514047964	0.197964278789258	0.417318831380395	0.815862797055519	0.616696213382987	0.530320855793823	0.350669158110072	0.45549967144762	0.889782963194574	0.386235491072568	0.402936883847621	0.231085577876907	0.644807810920856	0.646940052447784	0.0752886493224504	0.463644833458551	0.289420757589706	0.325698272643021	0.411356470596543	0.297808954726827	0.316493549355456	0.640357478601435	0.223003700793604	0.20069416903662	0.402947880574463	0.145173320908563	0.604485987551342	0.669452714745705	0.720398058321903	0.478807513661014	0.36697135622722	0.397534766783059	0.22422458502633	0.387749095140245	0.0247484059884418	0.940619200910646	0.949410371021093	0.559485428921631	0.0937030111799321	0.446959478281668	0.171488249523486	0.13583065010535	0.203471350523997	0.363299097581035	0.0426125701033991	0.513394467806488	0.409685163318264	0.606737878561852	0.757582176020562	0.577731912618289	0.319403979061542	0.798965596874795	0.384631970231285	0.506589655808641	0.677263877447653	0.253936467269115	0.469068909973991	0.129929761596489
CYT001_HA1E_4H:CMAP-CYT-I5896:25	0.0891244360640873	0.195884771652119	0.521109982923037	0.338751397735518	0.586895575956914	0.203482453511439	0.411735581446405	0.623159055338496	0.659514152258732	0.186248777800387	0.297816847835035	0.605923699328983	0.208432977658601	0.455362981870441	0.33092820464446	0.794729568516622	0.103491692525707	0.759221748515967	0.563151035215063	0.526689022461011	0.92942512840874	0.59134177914322	0.531790903646802	0.53599729488778	0.573316957675423	0.632472979360992	0.156291305097433	0.30818140641681	0.314657452430955	0.131676007779174	0.623698098704881	0.799907805119648	0.247531048619445	0.719004261978894	0.640110763386684	0.556687739579612	0.557023743897626	0.263675196580323	0.613388746767175	0.942165736476939	0.617313470719183	0.154408899084391	0.619827902801347	0.636977879633476	0.295334402484894	0.355248019972678	0.595991171486363	0.454578536753117	0.0291979809980081	0.575230108897969	0.217324299345906	0.357373334508848	0.401849883897531	0.48305480021733	0.695346093150202	0.5355095937517	0.90511994432524	0.670822278384352	0.360873549352162	0.690786309783557	0.164378085776091	0.704838467455733	0.679690423296856	0.666107593785272	0.617278667597264	0.273205372546859	0.130142146499288	0.937240654446613	0.918569890307613	0.954567048532342	0.833483527622086	0.265340632160388	0.235341931338601	0.235657729885352	0.52120160523083	0.783089887869927	0.731996250687204	0.429576681862882	0.512268714813499	0.91812073952613	0.253179017206485	0.265748387084657	0.134007938595669	0.553172554039603	0.0849540411459057	0.545322218132118	0.631696191038249	0.669298957507809	0.637250577821586	0.707433935653463	0.602447364779417	0.494510836667719	0.543553838751168	0.27170035295659	0.344304329052726	0.782076886566464	0.606606117209009	0.858796587060497	0.299073822778583	0.325277705959982	0.5379442568102	0.319088571366493	0.215795564349461
CYT001_PC3_2H:CMAP-CYT-SRP4545:10	0.163998668912087	0.842784024365243	0.549388127740609	0.576901314616872	0.204179940551684	0.273711558546586	0.497631899734043	0.514696329409446	0.836902794257644	0.432636694665192	0.661383846531618	0.597540279449827	0.128639290916965	0.168109186131216	0.312118585430747	0.545866531065118	0.538894054203266	0.392563896196398	0.564158304596847	0.197672600083085	0.764138576718549	0.437428636569381	0.692541252704191	0.920186531513714	0.414111080611122	0.627668538078006	0.36635479610877	0.279959544540401	0.416310866325153	0.0506610637531769	0.390864078136178	0.357599816217378	0.230033362818072	0.289383717852342	0.312338918350864	0.63838793174105	0.504632949190432	0.491407521189033	0.542619633512394	0.201474570576502	0.76114741991553	0.956646328197925	0.799766166485061	0.377791063665576	0.482212324726632	0.776660313390503	0.650755374546352	0.522939308445138	0.0294140316714928	0.944098002687642	0.357550186391733	0.56216489517472	0.444397711287889	0.743623495755714	0.25730320243573	0.826288715656523	0.515194128377336	0.936424819819276	0.308832678024662	0.527690907066245	0.476740449284971	0.208519093888584	0.353802626857305	0.233310940474698	0.719916034787197	0.406080599118542	0.242832409846487	0.928869526682099	0.94970542856761	0.886056806665215	0.906065908120847	0.609596084537055	0.790499082842906	0.738086046348081	0.900367088439686	0.706184806828084	0.487613758347205	0.824827503041744	0.814197060180248	0.463736813560126	0.601245778484991	0.586364631714339	0.517972829836459	0.969869620736689	0.969935026651368	0.726315581480341	0.792676537469153	0.887783331844264	0.900259748009487	0.543486212573763	0.529625685671414	0.789200762553769	0.804932382958213	0.255286028951601	0.388130346641593	0.510138426255602	0.630527633590387	0.735081951683093	0.905656009138477	0.532500818295703	0.330605533839066	0.365264801946057	0.86753169576582
CYT001_HEPG2_4H:CMAP-CYT-SRP4580:100	0.970130038753327	0.695602699254035	0.489987296412726	0.357357390771456	0.223277330510121	0.828372652070042	0.876199553641846	0.305748316761808	0.205304767802339	0.627200046497853	0.806250455133942	0.202725913409976	0.681801335826061	0.309529023255013	0.296375546312886	0.226406916719316	0.883300391541743	0.254397778960637	0.633848959452168	0.31282601142301	0.275293297004704	0.55998142159438	0.496657507712785	0.711971379334525	0.208268828619841	0.429193157964127	0.970458814192129	0.50033939586902	0.503169469357852	0.828015291240932	0.734488210310696	0.830087016346609	0.915461504617885	0.446986130503106	0.104201762181412	0.468578357340496	0.257221355730026	0.666782109187943	0.526935630108141	0.191038178724541	0.638920877349946	0.939572576525225	0.138619384249323	0.364061939665521	0.681062645934117	0.793851727448175	0.245775054278004	0.550787549408788	0.936481113148456	0.426550684938906	0.873666862056192	0.614461946521949	0.653083846763439	0.478744877250109	0.547835890641588	0.278311047704623	0.0670070815164882	0.105712003587113	0.510591798374922	0.167139767063066	0.654277001232476	0.233296880764053	0.184870731953876	0.456678435586782	0.524459355446362	0.481144540564682	0.974160558327339	0.113872711521745	0.120851604751234	0.445291280279943	0.248603669714658	0.337421952669757	0.733390029833854	0.759833753078305	0.307460508849119	0.00433961904127777	0.243775084755611	0.595674678090125	0.39890027218035	0.116325015023883	0.774018196452175	0.657088459368198	0.703067816362784	0.665085736334446	0.987617213899168	0.518107107756568	0.641143518459631	0.888460088098266	0.908868953803843	0.411869788384113	0.233526536058763	0.520191461789986	0.769890495159511	0.865033732235969	0.773179698922134	0.247507161028663	0.118367634704466	0.302310147485163	0.713687550531555	0.430681151137652	0.415217688894256	0.215626996909483	0.576205682400887
CYT001_MCF7_2H:IL12B:10	0.191587626496705	0.171156584050599	0.271240640937353	0.519167948052905	0.945877542326557	0.610721507827117	0.362356311162938	0.712607410398219	0.386619572559758	0.112320750863479	0.161499878029725	0.719100920438468	0.0602652536944104	0.368136836037323	0.273178777367062	0.744563506336403	0.701448355191063	0.853516873433806	0.443479924905019	0.692856117122566	0.871497633770076	0.373397790662204	0.288354221664051	0.422294315815133	0.746531409877394	0.445980239377476	0.0352123626240959	0.436356504149651	0.235390694997169	0.432775044221044	0.202810020694328	0.638904172084138	0.244110132362231	0.939836470627858	0.807245996643159	0.414478281238932	0.801651193777419	0.467749152628408	0.141695523043229	0.41817583139778	0.798540889185198	0.198844316904884	0.772068689271842	0.723420491451248	0.281771137855784	0.193779782336086	0.905032278787432	0.286979934114272	0.048311436601457	0.368674300004115	0.217267216608397	0.758601769853114	0.180674616861027	0.740518076010105	0.447011432590969	0.508079083067643	0.868218948270015	0.732057155916775	0.280956056132729	0.637268132342511	0.464956296410264	0.616885959202729	0.452621363025358	0.461119173359074	0.353940330101087	0.482221200771603	0.144799306634347	0.913416497591005	0.910717551864038	0.779112889416545	0.71812139648913	0.275418364922035	0.852795414376261	0.537430947796644	0.759446876531955	0.926384033558536	0.776031436275778	0.261389662240252	0.551347337809744	0.964560241679201	0.067597912134464	0.0856530462851977	0.76007022638246	0.801768430379513	0.50394712094475	0.503747453459974	0.638853681289151	0.360291336876368	0.205477772217305	0.77220946840861	0.777271188611328	0.813350546855738	0.254005762882125	0.407244211949678	0.281496721089873	0.710490494466006	0.537968621571722	0.857347557276852	0.437882787724813	0.340700818844342	0.315413908061558	0.877553718892593	0.698549149901408
