	AR	ARNTL	ATF1	ATF2	ATF4	ATF6	BACH1	CDX2	CEBPA	CEBPB	CEBPD	CREB1	E2F1	E2F2	E2F3	EGR1	ELK1	EPAS1	ERG	ESR1	ESR2	ETS1	ETS2	FLI1	FOS	FOSL1	FOXA1	FOXA2	FOXL2	FOXM1	FOXO1	FOXO3	FOXO4	GATA1	GATA2	GATA3	GLI2	HIF1A	HNF4A	HSF1	IRF1	IRF9	JUN	JUND	KLF4	LEF1	MITF	MYB	MYC	NFATC2	NFE2L2	NFIC	NFKB1	NFKB2	NFYA	NR3C1	PAX6	PAX8	PGR	POU2F1	PPARA	PPARG	RARA	REL	RELA	RELB	REST	RFX5	RFXANK	RUNX1	RUNX3	RXRA	SMAD3	SMAD4	SOX10	SOX2	SOX9	SP1	SP3	SPI1	SREBF1	SREBF2	SRF	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT5B	STAT6	TAL1	TCF3	TCF7L2	TFAP2A	TFDP1	TP53	TP63	TWIST1	USF1	VDR	WT1	YY1	ZEB1
CYT001_HEPG2_2H:AVP:5	0.940226071212114	0.262211478297555	0.564714898899433	0.578755068020764	0.432525341501909	0.718487762915142	0.378910147912826	0.23774484509	0.783086502310795	0.960179690658149	0.467957943897612	0.583492287849468	0.666839805674597	0.226567854086362	0.145087971249086	0.474216222542269	0.750747958489304	0.453274691088846	0.687518759215139	0.93391719707711	0.363314204905449	0.965360605833637	0.949786999479794	0.594907920448539	0.962117654165286	0.302496982645991	0.478529105134027	0.534937209584059	0.927692212587824	0.125011924636009	0.406937516395542	0.594615386388594	0.36237156285948	0.69912165194605	0.463959062713913	0.608281087724829	0.103494781442245	0.754441753348624	0.429689303952208	0.462864921000777	0.628042433351285	0.206624908684232	0.619247304880209	0.837979003509293	0.518380467319045	0.211114729176477	0.347474814216185	0.846691962579925	0.271195716036892	0.431449731547628	0.483832672891854	0.395189209022857	0.983833169332627	0.073062294439322	0.351158492016134	0.632254205834977	0.407458096518385	0.325620844578225	0.587878941648226	0.557640557361195	0.37743074958766	0.623267768641601	0.889184990897971	0.897620764282477	0.975748762088155	0.853620352732493	0.732592047982365	0.404618434964376	0.399789420094835	0.725285272099771	0.398833978438995	0.325993365114468	0.45449958365027	0.610838832974312	0.23715586758171	0.197455858499138	0.627072332136901	0.745021351127846	0.517205567781964	0.880389205578491	0.711027000077569	0.556809885669472	0.844967209889343	0.889480819439271	0.535217495974217	0.976217237074484	0.497154220047039	0.759061812110604	0.549882258210333	0.776625964662704	0.350971995947852	0.531673621460415	0.624261440409965	0.803753278028894	0.505580033806925	0.889491812304863	0.400388503782624	0.442464920104386	0.778422164062695	0.381753215054545	0.810360752579597	0.477801661538675	0.677527000896745
CYT001_VCAP_2H:CMAP-CYT-T1327:80	0.789090763965553	0.792113888006708	0.143842453065392	0.821919261966971	0.632885545015663	0.730349373235549	0.824319661468326	0.375979520704515	0.369351145476549	0.817878908451562	0.887102231267804	0.528829266596527	0.943276283971039	0.766873733459957	0.766117445907207	0.173970528409015	0.755032317960706	0.112088850791257	0.613269215107115	0.273389446963383	0.174953168955914	0.270589826897208	0.357988829904465	0.432102398753853	0.55545648082403	0.484481259023234	0.860313038438813	0.192299770712566	0.962786127026901	0.92245278815614	0.557966100942277	0.638195873380446	0.904513676888324	0.254052703044541	0.388994850724897	0.446560823710847	0.35348720068223	0.520533044950928	0.385806744578406	0.231328919223054	0.403789278065805	0.28954773832551	0.643854336091299	0.674451149623736	0.607516263853461	0.353036982657824	0.306640309714176	0.549386011810072	0.903456137925449	0.650293459952007	0.731530616059853	0.673435763237871	0.823524595909166	0.472301227114107	0.230613888624225	0.255771140388136	0.0504862489828005	0.204821999119361	0.632829074337492	0.205223737363345	0.8771154049609	0.364839015302012	0.56943860263317	0.469025517840638	0.729920301440824	0.566143491190941	0.87544496302416	0.189318541859184	0.239960522986609	0.238955295899929	0.240161030741133	0.275136407451318	0.672451490623596	0.73610561121684	0.494089834893102	0.134737200176006	0.451184244690808	0.717761160895386	0.153933721751047	0.0430061413270759	0.927478547260389	0.958082902933047	0.529940251157461	0.365801394551859	0.598501083572847	0.755880637699232	0.647204123674247	0.576214918057275	0.709791319433996	0.177817706982943	0.12665797444433	0.514689341978981	0.699371064430227	0.87934914193299	0.825891957146556	0.600928978881804	0.585791366985575	0.259391591140709	0.486545971081438	0.329125213894856	0.520604673546566	0.529371765463392	0.620599975698722
CYT001_HEPG2_4H:CMAP-CYT-SRP3112:200	0.851486375835197	0.632859895896633	0.674646415918135	0.356415348446892	0.185933143328261	0.811140669623219	0.911432817652015	0.171156200801573	0.342577480141971	0.733509148135641	0.629347100595211	0.105386319337314	0.769195899658957	0.700615214735854	0.727074442607156	0.659466137589666	0.958237917451862	0.262049276229496	0.638142795258636	0.819716073298656	0.307248332119167	0.648023484721864	0.81250332343708	0.670916579612149	0.391143970365487	0.403554934430293	0.930003303171415	0.449808555038353	0.774892378587418	0.80474630179632	0.890173738329978	0.800203009626798	0.878293891506416	0.148295161288339	0.168148472700539	0.745758406846768	0.138867505986653	0.816511729232322	0.364631024521398	0.362301198180958	0.360454787482214	0.267468640889637	0.342898608429613	0.473739692891173	0.719416249721368	0.756299336829913	0.217231661982009	0.790812058772621	0.901862333454942	0.643719754776966	0.902700556066302	0.533543922020752	0.943531045916399	0.24616408966016	0.779304869972456	0.169299151683212	0.0995177395474221	0.170343254517053	0.74153496464105	0.33404612934798	0.365803901566682	0.652775825039469	0.768026667237345	0.797857600337665	0.917725201363433	0.837879467433739	0.877046215768368	0.268668057735464	0.191650408496917	0.256841140285486	0.283313089083069	0.50455585619476	0.900078684195454	0.955062114814436	0.289568178376792	0.168843157498216	0.446843902466249	0.800786420633885	0.430095837588433	0.0436635515273453	0.627271377184757	0.648199342428192	0.750177007282961	0.0935231804367787	0.471988509594442	0.636771217389615	0.470576604486076	0.685692669886603	0.701607835716776	0.670869540756993	0.178963921546113	0.243092157423406	0.737772250540057	0.573775409981562	0.898010900397357	0.504795727992605	0.0785231149324759	0.28824780322715	0.681398449057097	0.880973084410906	0.791820245767853	0.395543431322969	0.289897278585019
CYT001_PC3_2H:CMAP-CYT-SRP4589:20	0.739708030525932	0.314149788904833	0.157071606957192	0.539532092766953	0.274158156524351	0.453335352760759	0.538302471539627	0.778744870978016	0.494024650752757	0.666508080550699	0.536443755310527	0.261771677293856	0.829108745058088	0.962538756384598	0.96460479569264	0.525536493146579	0.656623488519774	0.73254967195201	0.570206637898942	0.356333632698139	0.589110084124295	0.604923791244399	0.93537906987368	0.523658713139707	0.181196585351771	0.336621291539235	0.489219127845217	0.439869501570156	0.321176252941835	0.844674277025408	0.378921473408564	0.454391593594226	0.16424608748938	0.513297907683412	0.890484045581647	0.17184687329478	0.480237455715196	0.535419159857947	0.746543577275253	0.741091636602152	0.454940009750943	0.827830343011022	0.110400247547101	0.37333130162553	0.335918413962233	0.8306707409069	0.149616825192027	0.757955927998176	0.386202106558537	0.11720630055093	0.438253988914455	0.792901910668045	0.101411332515748	0.951524763072097	0.903917152630509	0.129360800607588	0.243131443005294	0.361864651318363	0.36510118035669	0.503150622168231	0.542330081924152	0.461509691720196	0.317080159648447	0.428551900835064	0.221509614378128	0.178338509388556	0.441380980738427	0.346742956707376	0.276075053437642	0.410547707292053	0.380217185285327	0.69489930506978	0.180321639241971	0.171647750254646	0.247770078618776	0.0207875661795603	0.421925164287971	0.583718595752775	0.598419007045552	0.47530882971276	0.891384661788293	0.879429530027196	0.649239340900032	0.27325208656458	0.731816234744651	0.246938015101307	0.368558390018969	0.388727891173914	0.197631785646362	0.646606022814999	0.35558128347847	0.437520065649232	0.606315082932737	0.511270805812065	0.177411301036896	0.278355956603968	0.454761678570208	0.790827446035753	0.303314659687301	0.612959311386383	0.22118788766224	0.350872755618675	0.439927060345265
CYT001_A375_4H:CMAP-CYT-B2680:50	0.388484120224457	0.31754479964676	0.359676424829047	0.644984453631231	0.333680589168311	0.114800538764675	0.176337919599946	0.691053743152732	0.791118999221984	0.387478054723383	0.269953550164506	0.414483322023991	0.0893458164803199	0.425296608583152	0.330781181295458	0.746736661518675	0.176893378329713	0.887994001073049	0.428741893840466	0.55021904906922	0.678211800554358	0.378409668605621	0.455044013492639	0.640708476874687	0.546704425503027	0.609819983251759	0.178375067713323	0.580221998962104	0.577612230712715	0.195224208510822	0.52764109695203	0.715684866935507	0.632343637070312	0.873960919295393	0.564957168225744	0.66916104652436	0.28152751097606	0.283657250284618	0.824800658737211	0.413240055076817	0.599367376167733	0.621521367115785	0.658923823049207	0.260726715596922	0.666642575216628	0.444539191454852	0.47025062583867	0.0589994169135525	0.0159236744130693	0.297247580825916	0.207353024749412	0.333465660154568	0.335485645156605	0.612870819152004	0.513050022820303	0.583386496561436	0.916421776930505	0.772474702314353	0.412631794344149	0.604394566803499	0.733179597446424	0.779064005423725	0.625976599183322	0.529070673522713	0.44394375923078	0.32817058448409	0.0862370814220975	0.107742460848194	0.0668720943016818	0.44019746063193	0.371940383338034	0.833988539348738	0.595627962648166	0.623762912448689	0.539302895306175	0.987182195232098	0.896492007693888	0.513141423767955	0.886273870554728	0.563907113143704	0.412576095513826	0.447106423768363	0.375433982478678	0.539799331936379	0.493133101242068	0.674510095044437	0.330099919714788	0.461832126547524	0.644523150190391	0.302745281372744	0.587844195916297	0.221231067312216	0.29060888997692	0.702603686993675	0.206948271649466	0.553958928525029	0.717139382651539	0.859668319701506	0.319107676195998	0.714090042344798	0.667890249868239	0.570853816379056	0.515324566940913
CYT001_A375_4H:CMAP-CYT-SRP3083:5	0.274494843942852	0.395182099484251	0.395747195088065	0.80415895243885	0.689986300709687	0.645108568758211	0.0577295593960531	0.744962367698143	0.610908338220811	0.417862813687124	0.201508680212172	0.726599811859691	0.0291016010973662	0.654519563702282	0.406850274255468	0.330171939659421	0.245361381979965	0.940024880389733	0.556875446893725	0.918438897526437	0.625012212596552	0.254033545822311	0.540198001558099	0.56668826663798	0.553932327974229	0.292254767406325	0.37028286651249	0.473560445837124	0.209840640375138	0.137072889759056	0.558315476775625	0.662695503471114	0.339806233574187	0.445287803951592	0.80736038704892	0.408611803151451	0.314259266677928	0.389136834380977	0.730331734309935	0.428397232524497	0.597435077728457	0.95853426114733	0.69869990951251	0.512473908171172	0.667312840870576	0.156830551146165	0.528302503676875	0.0874374977056066	0.0925180749288478	0.856140774718294	0.137781597297889	0.189790122706669	0.390732410264567	0.789717080541708	0.426700306232155	0.855122063330303	0.816697026412908	0.75698953911854	0.0998144249598274	0.697757767952836	0.558585341632518	0.782279747244832	0.585137997793709	0.528054576760051	0.296287349096008	0.192557079292953	0.038215315758812	0.260188070250892	0.262146430036927	0.495794691207344	0.592660315604362	0.787686694045019	0.577882403613854	0.232705118217807	0.776404248973479	0.969635362001206	0.879159912561631	0.279936406570575	0.44115988367027	0.630028447329086	0.626499038259726	0.399037122206903	0.400283156689516	0.905842640729205	0.964522723995914	0.590741477549822	0.288055079462795	0.371880726147182	0.488296505691599	0.40953052460858	0.473407566030835	0.786123483628912	0.101489345894225	0.597448941256616	0.195524257256316	0.599524853399858	0.606040805613776	0.690807492213043	0.341408509748431	0.234455104905444	0.257713491315808	0.731784254900008	0.732971596514702
CYT001_A549_4H:CMAP-CYT-SRP3067:100	0.833423096813605	0.790232385298353	0.754077427024491	0.879159776286717	0.6089804875541	0.934080902686307	0.584884566104386	0.369488115463071	0.840183102602933	0.869623229361579	0.843111982127966	0.505674104714606	0.395680471191103	0.0263319242245089	0.0933488115049716	0.359116610059685	0.793261452391199	0.21355284936561	0.304360924399357	0.251452399607685	0.504720666675884	0.473287555012388	0.24862959826389	0.354521778639762	0.422799595207481	0.411872796571419	0.834160923586591	0.300585366310858	0.754084835953945	0.0387840366027497	0.976777526146888	0.978867223226537	0.826138067789075	0.630490995685761	0.251908071059433	0.0968679660963658	0.0486528384142029	0.541759018870897	0.402237175642261	0.878235929792421	0.591969808132125	0.597190373296038	0.145761309398763	0.303301548329794	0.529985700614886	0.0469617399558903	0.332115301720454	0.234654073021767	0.56371230605286	0.144419236356163	0.182819523232884	0.443378800592539	0.199902916073794	0.61833467841645	0.694419965205266	0.597393968617952	0.551793846617842	0.273442272296609	0.285957964635467	0.124798010174462	0.384478926652847	0.591345470715033	0.494965216803525	0.228722848172812	0.0936624029791484	0.365008197763286	0.619646468752602	0.369108765261499	0.279078401024057	0.379718396222916	0.547660236583297	0.473880933062579	0.520385733768512	0.703986534021825	0.398716045786409	0.181941890005433	0.876328071275102	0.371845219042242	0.410597606724023	0.362166142116475	0.97063253425383	0.951122935809098	0.562944697665246	0.145122621106903	0.839374024513223	0.568544236892762	0.506872147343175	0.461019639212585	0.530648531002494	0.484011701105148	0.620860236962879	0.530048132077025	0.195943031900255	0.614875453503693	0.469868360798052	0.613573239670379	0.674712695159276	0.56038772644233	0.369397354162346	0.364536206557784	0.80378461907903	0.107229313994046	0.303830112078367
CYT001_HEPG2_2H:EPHA3:25	0.7890231088886	0.939764174729925	0.509569646973237	0.16569016095394	0.464747349771684	0.880586372565099	0.708036301444109	0.251415535253398	0.834309532276975	0.311520975114138	0.591676970655435	0.0985732890673855	0.479392735460776	0.656040426489137	0.204839045646506	0.548816851878748	0.792618614601527	0.0947675808668788	0.464965253517887	0.351333709117696	0.143941359793095	0.176308001742553	0.177554913098673	0.240590101442822	0.0280049694051888	0.504547980491971	0.82614650725303	0.425709337374933	0.380604963009079	0.669401749346604	0.484779969293996	0.452247207870895	0.583594475244796	0.114843271129618	0.476523264394008	0.435762566151097	0.449888189155777	0.710933825357764	0.488967058086613	0.213260803594738	0.14708011622658	0.818742489828798	0.429970990091221	0.205260888153203	0.448190025246398	0.550509453704227	0.118694284537263	0.325637307150187	0.97794556603843	0.169960160615939	0.434485586772248	0.470054654446191	0.275090967527526	0.422143179705286	0.774159956070222	0.188679572113	0.269381801582509	0.466183364341763	0.774098744389876	0.157426263881179	0.873965720491844	0.454873066105639	0.61118139314013	0.343466065655308	0.369764633883908	0.291640568768873	0.769917068645265	0.25660879099789	0.167733978753677	0.227355960580434	0.136269092285921	0.662337176753029	0.510881736834864	0.732263587617502	0.0996395358452386	0.0413591241342318	0.258709090200659	0.764139888024901	0.27770434795633	0.0733833572451027	0.952759057413535	0.699292665942865	0.663768095800906	0.187449159290591	0.86318870036687	0.112611301090186	0.351839158926276	0.628797790515224	0.723665619362764	0.318407766809752	0.237196487697757	0.389542505493314	0.822934909590628	0.734575901462172	0.743423520585237	0.187747705899402	0.279711436605974	0.148402255226846	0.734433444393188	0.386622414066849	0.47014205325586	0.304807922448583	0.379591663661508
CYT001_MCF7_2H:BGLAP:20	0.501538867335169	0.644464803173518	0.389327509530014	0.155687826453533	0.278257083163806	0.435984654842531	0.937836834889151	0.45592757450391	0.584889729402996	0.666512357201654	0.625275231201929	0.0804703714819065	0.534147007652325	0.149165818403931	0.236159949056714	0.434539409826524	0.189470164904878	0.322994115680909	0.685874207120281	0.73988315597641	0.543832499116187	0.303368597008124	0.434859750573545	0.693872121607958	0.401043086398725	0.44151144739502	0.515109613249375	0.162815734700058	0.316484738478586	0.188872601817829	0.762155872768892	0.620078267936868	0.386385818863617	0.306212561891071	0.21213675959587	0.537792284958211	0.744714057332636	0.766744160666539	0.181869315680644	0.193728548640701	0.133128695058849	0.806291168278984	0.221926596295857	0.323602361532001	0.24808253156559	0.836013811152817	0.620844189910924	0.463944670151179	0.578787395649973	0.539434588446838	0.561597386746131	0.403933938718167	0.728712148871264	0.156473259108165	0.409654678603845	0.159269009894915	0.0734697353080957	0.501015200751641	0.878804110076682	0.133888916004294	0.0929907983816649	0.560880351799451	0.134492175108636	0.332781903346754	0.554621549564679	0.639085005880134	0.845207658180955	0.0319804421090805	0.0270266809612506	0.672022862023047	0.360001812132293	0.629489723690395	0.512406284961616	0.669713528219537	0.803106302908199	0.0294016667663623	0.119805921408435	0.584661881954285	0.387851215149349	0.0789765955989261	0.562073302042232	0.585466311775223	0.344552177698592	0.299689874248089	0.901228957276346	0.471109506523316	0.602706585540714	0.791164977841312	0.704248830643202	0.259355498476883	0.235434976910788	0.478525790145312	0.842704572401658	0.429780145343651	0.464367401486003	0.382888392577148	0.59832294570074	0.396120814731335	0.61684299880378	0.703050060000861	0.686613422581738	0.64845457924821	0.322083282177297
CYT001_HA1E_4H:CMAP-CYT-C5938:1000	0.814032973508369	0.574045794610531	0.640498099399573	0.617785496315731	0.417507114860139	0.744942581986909	0.723483424697636	0.256949384674852	0.151403703265855	0.937033637756858	0.879544296742489	0.373925513727312	0.667440522104147	0.250761656066526	0.666409757985423	0.441873257536942	0.858656632677185	0.330179397488032	0.587590952973022	0.24414309252197	0.362323307005063	0.606031808157347	0.627562625849183	0.655340097488821	0.35401788111572	0.65847082072022	0.646267650806498	0.154125516427056	0.510098361644657	0.848417555316108	0.760974119523423	0.781745385534762	0.801463166750384	0.429940223292905	0.106379045481055	0.165162773676544	0.409342983827553	0.868425242035701	0.0987334439529748	0.208860435946996	0.33413959331256	0.608815342612466	0.629818380661657	0.580030044701539	0.766433781591621	0.786391996096881	0.136048697868436	0.589151349670294	0.966001596061542	0.231261887656267	0.686824183547376	0.539538712559077	0.917364176069637	0.251366166827665	0.588456874916353	0.400565964801319	0.164636089524172	0.247535472081534	0.778113254349153	0.174244613035328	0.757552208606223	0.520356369332096	0.213309733689413	0.82570252885792	0.9160518214282	0.582842416773599	0.957093473015139	0.286256242813232	0.286631712749946	0.593643567408506	0.154343924880563	0.112494154489668	0.423411002003706	0.733168756091008	0.54763039076372	0.0268212243951571	0.272734480913614	0.370255709386268	0.42667181827002	0.107152293546346	0.694760357158109	0.776404701978502	0.468310314850228	0.497254837534746	0.76645935462777	0.673622384932406	0.402291708439132	0.797497745545205	0.674827578605205	0.377100107804529	0.527372774988292	0.363050587840932	0.604066034954555	0.777465628540003	0.731751912515832	0.604916027364994	0.258594589980558	0.833519161055859	0.455984252084219	0.490799782725915	0.639701869456859	0.518961630320083	0.579019176739121
