	P15336	P18848	P49715	P16220	Q01094	P19419	Q99814	P03372	P14921	P01100	Q12778	O43524	P98177	Q16665	P10914	Q00978	P05412	P17535	Q9UJU2	O75030	P01106	P19838	Q00653	Q07869	P37231	Q04864	Q04206	Q01201	P19793	P84022	Q13485	P48436	P08047	P11831	P42224	P52630	P40763	Q14765	P42229	P42226	P15923	P04637
TAK002_HEKTE_96H:TRCN0000121068:-666	0.581256226444827	0.950925405166053	0.699648311775573	0.74332344469639	0.477014423068915	0.443172898281568	0.923407763258584	0.80511729353003	0.703380489058509	0.851806801314763	0.335466106250189	0.434568933304839	0.500375148596072	0.267280879690665	0.147621054493303	0.283449920923848	0.466568034430457	0.510656856390273	0.18582122978222	0.727490569454364	0.139490324533922	0.164234318683849	0.889951923383868	0.684085644678635	0.6253914773311	0.242468976121919	0.153609137947398	0.230368582998574	0.897515631618612	0.302350210026228	0.387023961634959	0.939826030765913	0.571961218689621	0.278356775364991	0.37205259139258	0.036498694731627	0.19746911362546	0.624572482159719	0.10578957042787	0.721027152370705	0.412342496542017	0.15587905397981
TAK001_A375_96H:TRCN0000295873:-666	0.231394403311146	0.901303943893623	0.412816394245566	0.592666981936662	0.0906645621618852	0.513683834395291	0.318969544031049	0.201626721518429	0.245310477492319	0.494097347960289	0.581736446813493	0.612971788571361	0.39717064844964	0.92245971980203	0.205707212551866	0.0687625241716451	0.3206876444588	0.227436334397584	0.480368668686842	0.344312846550286	0.908334350987858	0.345617315900026	0.696568305751764	0.463352449247503	0.213250380170847	0.159625703284361	0.263452954160243	0.5991485471716	0.573216081481721	0.572027202233033	0.447571874672666	0.573054430756236	0.391037107739526	0.375600487271314	0.247123539538368	0.0416378043254591	0.673314722773881	0.526173296653365	0.326657788822972	0.437184202322015	0.607671479779202	0.0992265430926631
TAK001_HEKTE_96H:TRCN0000330127:-666	0.593025484242555	0.74558539612155	0.791982441492062	0.644021076846936	0.0228042346420935	0.476195161794847	0.85413929555469	0.619575888988859	0.823751720206219	0.845291874090684	0.421896892455486	0.806763588469786	0.336081035328194	0.757042405095129	0.967711979325575	0.899916227216987	0.89218234496493	0.880954516602412	0.827426036324491	0.993792601472621	0.155750207167956	0.974731418500773	0.448237694879177	0.491139948052482	0.272743159773011	0.927669695923856	0.987263626701506	0.706086422336265	0.343152049012309	0.798943348741717	0.821963647568606	0.719813084546709	0.851218716050293	0.249159835595867	0.973000034008395	0.993721384649632	0.797098134717833	0.589023292614585	0.925655014338658	0.911877969847254	0.199663845530199	0.593998562947689
TAK002_HEKTE_96H:TRCN0000003097:-666	0.286544799603296	0.236706750962003	0.248768219705511	0.888509591586518	0.932149544330644	0.313799719239692	0.66107127001791	0.473625794231351	0.265452600726727	0.378150322362543	0.409553459446117	0.149584515190894	0.134369503519975	0.013072561389339	0.114790709961559	0.443604728992006	0.127410373936107	0.42385249590389	0.429506609995754	0.648162633190936	0.577593597955806	0.012235772704176	0.909615877560656	0.185991763946143	0.229824205236582	0.0341679174853274	0.0109127568414411	0.0206698921907891	0.575609249519112	0.167471316396028	0.0866387006249783	0.547006743179925	0.153910867494503	0.215363309704113	0.0429603279326365	0.248989278768157	0.0268065786855803	0.413541965175048	0.055884888531554	0.368843140930269	0.517934682338952	0.0532490133864942
EKW001_SHSY5Y_120H:TRCN0000342335:2	0.538330867599898	0.593955053409666	0.728158530171824	0.357012222435735	0.0387261501397145	0.273206488813602	0.716546737663732	0.893380603838005	0.797026876516921	0.712920551876622	0.664402432862669	0.411907300577513	0.787751965179515	0.931724842517624	0.548399287128812	0.900630783451904	0.580720871783924	0.640881144601775	0.369842066782314	0.899049317699322	0.097803474827296	0.815431217390343	0.0664544802946553	0.579651668487528	0.676283662813425	0.925050495682361	0.775376566088053	0.594317767167607	0.766963067654248	0.584996906398375	0.8096692867015	0.664495849760744	0.74043173273216	0.496968502328009	0.979977169770342	0.939901928706505	0.861021899243366	0.47262150159843	0.903134188234128	0.451199364520478	0.230126988828324	0.96751409626609
TAK001_HEKTE_96H:TRCN0000003756:-666	0.323001211830497	0.907227696751013	0.560691748615056	0.593944629762205	0.27488930730356	0.167025942489251	0.944119385724715	0.700850442651664	0.466005824350105	0.746861015242913	0.403145144801928	0.670272128944534	0.135366185635443	0.438934292918159	0.149370142206804	0.784796005592359	0.429897649679771	0.420989169691025	0.360701918651447	0.439889160988391	0.428273044796277	0.247445550163811	0.704596819664005	0.457387607153105	0.30363620306742	0.386172039658841	0.441886341406826	0.40785790287426	0.478668812575383	0.786108081523542	0.562031243974748	0.849814698908677	0.268966785599749	0.145013960688444	0.613404091391163	0.145882215119958	0.300307246489581	0.663602009177628	0.479255676246411	0.403680858029223	0.415220808116899	0.108001581553373
EKW001_PC3_120H:TRCN0000295915:2	0.828240607783279	0.255645189014522	0.731490345416544	0.208887085486327	0.195146787433523	0.832446066643699	0.630152292143368	0.65070911811438	0.891493721806215	0.653965133524131	0.822684830424181	0.463685833650778	0.426619066854598	0.842467681778584	0.0728751031506962	0.447621974713259	0.497531284733819	0.196823562839173	0.204421170697225	0.740851582792995	0.134311515518423	0.185506919726479	0.742064249766043	0.684465734827471	0.559573630856416	0.550026332742571	0.142079326877067	0.192898721778395	0.902149164347022	0.954688714157129	0.781236203031166	0.459694488811603	0.519940380866663	0.888693824328916	0.446317228975459	0.0307133960203893	0.154951401608784	0.634290650061625	0.107453847572093	0.727876740345372	0.401489176156538	0.931819652867306
TAK001_HEKTE_96H:TRCN0000000943:-666	0.321520464339142	0.151313349439092	0.591305716337839	0.69029293064658	0.649137059115732	0.478906413909164	0.175863430276009	0.209207800421056	0.597159515547997	0.721017676728845	0.377492477451548	0.0920554935857815	0.255828029998949	0.272740910430509	0.205968764695612	0.24356696714164	0.413053160282455	0.501858995540965	0.623686769981452	0.491292612441812	0.725744754363493	0.130801340833962	0.857596015959965	0.707893722864077	0.664306089203952	0.324689093974666	0.168203420932909	0.493318848560645	0.60096312181088	0.597203230184892	0.430362949747388	0.396018999013063	0.474317168263227	0.920975737191557	0.0629266023045056	0.322996680671008	0.288699765007744	0.59908964618396	0.675267534800094	0.311293112025831	0.681458239232585	0.0020688014758704
TAK001_HEKTE_96H:TRCN0000226467:-666	0.572483029812733	0.627913559779136	0.539254400879711	0.631592929071919	0.476418254316351	0.58662942853272	0.61596889173207	0.52050276636604	0.673751581704477	0.902138545902234	0.554486438113801	0.211297798891523	0.342909579233428	0.688944024338621	0.995893932171515	0.858662662575304	0.934382637016611	0.820480042608118	0.425259822214278	0.468581618833154	0.0418353130378046	0.989272355312021	0.388811528730939	0.374179416248345	0.708871804804254	0.970619264120276	0.990300048489283	0.788956442535097	0.741818597567539	0.493064993543811	0.434915753017127	0.930108564426916	0.605045190459748	0.71746462697874	0.988869992209129	0.984456232996843	0.942147690592538	0.84573769577219	0.836287443834068	0.944325508396192	0.457827857899288	0.994853434715837
TAK002_HEKTE_96H:TRCN0000332953:-666	0.805482669367265	0.892582754700946	0.948587016746699	0.503862817227688	0.255142912089081	0.335765543119194	0.825794388507718	0.856965199186479	0.688751485418624	0.459843598090925	0.384649079393606	0.512599255857761	0.735410943433896	0.483348068874119	0.62707213675561	0.861000701747196	0.860089822494407	0.639818413193649	0.582193211101278	0.782084218787973	0.00328898589124468	0.808202433893738	0.296370171415956	0.591736529292753	0.500442351027365	0.660309404647817	0.92492102195935	0.548512401229001	0.682319404117775	0.525745090197381	0.579573140841546	0.832849674963319	0.555165981119802	0.467517094722257	0.875586239375272	0.599364052639942	0.46241306737722	0.461484560354926	0.534031979322937	0.603401481186857	0.683285160631281	0.623909261941567
