	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	STAT1	STAT3	STAT5B	STAT6	TCF7L2
TAK001_HEKTE_96H:TRCN0000298904:-666	0.174409682511864	0.874801233578858	0.32598926639946	0.180364777445714	0.557795079376724	0.652621250130332	0.401788297002662	0.0437648521653232	0.606029022438145	0.311131020686817	0.99056736058483	0.697372619057283	0.158785929739797	0.405713184350277	0.484058094107232	0.456399386863608
DER001_A375_96H:TRCN0000194984:-666	0.896103930877366	0.479875303419408	0.466188409118913	0.800346734539976	0.727334962994506	0.558574627676852	0.457526593435306	0.945650130329225	0.765089928860926	0.819890333753166	0.511970442677416	0.596101139853187	0.243713152940901	0.495783744180899	0.334206029240324	0.705529715291659
TAK002_HEKTE_96H:TRCN0000121068:-666	0.581256226444827	0.582867654726629	0.74332344469639	0.443172898281568	0.80511729353003	0.811025846972861	0.851806801314763	0.267280879690665	0.466568034430457	0.18582122978222	0.139490324533922	0.37205259139258	0.19746911362546	0.192130321725912	0.721027152370705	0.558317495886245
TAK002_HEKTE_96H:TRCN0000017854:-666	0.593890984918424	0.394827047255129	0.770959469991727	0.229255189926405	0.771732030602907	0.578648536210403	0.572837773746086	0.460772731569617	0.346309649155215	0.279969564491844	0.711755963749382	0.790932692727014	0.637824695429015	0.483119690749499	0.583254761445809	0.36431993275479
DER001_VCAP_96H:TRCN0000121209:-666	0.621210159527126	0.93211072933679	0.665987061711235	0.65727932937837	0.556994596620496	0.156600457802529	0.348770517364503	0.475842569030039	0.531735341302	0.635679945750483	0.97543670427805	0.171311866747202	0.35102184175687	0.811000275484335	0.17351010521765	0.788903277112494
TAK001_HEKTE_96H:TRCN0000330127:-666	0.593025484242555	0.0558592493540891	0.644021076846936	0.476195161794847	0.619575888988859	0.819977596857498	0.845291874090684	0.757042405095129	0.89218234496493	0.827426036324491	0.155750207167956	0.973000034008395	0.797098134717833	0.844206304839519	0.911877969847254	0.728892496613627
TAK002_HEKTE_96H:TRCN0000003097:-666	0.286544799603296	0.722637986715085	0.888509591586518	0.313799719239692	0.473625794231351	0.724828357012197	0.378150322362543	0.013072561389339	0.127410373936107	0.429506609995754	0.577593597955806	0.0429603279326365	0.0268065786855803	0.0946600498721242	0.368843140930269	0.421267623354972
TAK001_HEKTE_96H:TRCN0000039601:-666	0.844222996913793	0.588886024300286	0.143702016073194	0.090484940425595	0.575726502346971	0.680379628482166	0.760026512598174	0.944137210075182	0.816936477207862	0.556199475290055	0.195873054852916	0.284725989971368	0.272859057385587	0.181338502323326	0.485710584908805	0.338682580911776
EKW001_SHSY5Y_120H:TRCN0000342335:2	0.538330867599898	0.462222926623244	0.357012222435735	0.273206488813602	0.893380603838005	0.837720590368284	0.712920551876622	0.931724842517624	0.580720871783924	0.369842066782314	0.097803474827296	0.979977169770342	0.861021899243366	0.872779378632744	0.451199364520478	0.804344637399495
TAK001_HEKTE_96H:TRCN0000003756:-666	0.323001211830497	0.821892409203594	0.593944629762205	0.167025942489251	0.700850442651664	0.693391928015522	0.746861015242913	0.438934292918159	0.429897649679771	0.360701918651447	0.428273044796277	0.613404091391163	0.300307246489581	0.389836591799917	0.403680858029223	0.694886253266307
TAK002_HEKTE_96H:TRCN0000073720:-666	0.59647476909782	0.645879696735377	0.504533154377023	0.427559092417403	0.755085125634717	0.911859598611805	0.570231186741333	0.050806861749861	0.22003529334524	0.274082282285475	0.0640648327016817	0.880422727796246	0.428464918503034	0.461241386451874	0.749383116282541	0.454093666164709
EKW001_PC3_120H:TRCN0000295915:2	0.828240607783279	0.511643487035931	0.208887085486327	0.832446066643699	0.65070911811438	0.761556546076062	0.653965133524131	0.842467681778584	0.497531284733819	0.204421170697225	0.134311515518423	0.446317228975459	0.154951401608784	0.172206331989436	0.727876740345372	0.23785096411333
TAK001_HEKTE_96H:TRCN0000000943:-666	0.321520464339142	0.543419280782755	0.69029293064658	0.478906413909164	0.209207800421056	0.316913443223606	0.721017676728845	0.272740910430509	0.413053160282455	0.623686769981452	0.725744754363493	0.0629266023045056	0.288699765007744	0.50717166432476	0.311293112025831	0.632492523041926
TAK001_HEKTE_96H:TRCN0000350275:-666	0.300067056671728	0.4415746501734	0.895217777108707	0.821824711106588	0.701712415984882	0.120962057263399	0.294049659542454	0.101946447475077	0.231514612197568	0.390402307090253	0.928583220405118	0.0325841523456838	0.358836072107538	0.536600937376134	0.454194962207612	0.726811904161449
TAK001_HEKTE_96H:TRCN0000226467:-666	0.572483029812733	0.0421134517557438	0.631592929071919	0.58662942853272	0.52050276636604	0.680009392418307	0.902138545902234	0.688944024338621	0.934382637016611	0.425259822214278	0.0418353130378046	0.988869992209129	0.942147690592538	0.764841266980988	0.944325508396192	0.0849167072505531
DER001_A375_96H:TRCN0000121321:-666	0.910552786643641	0.589097607327692	0.663420253740599	0.668894283311436	0.594031896362199	0.810577625377125	0.851631105608749	0.46572788145851	0.759939489907799	0.406045941440311	0.0388187405398849	0.945015875825506	0.605684292695153	0.728202401932386	0.706766238550587	0.72027687932039
TAK003_PC3_96H:TRCN0000003522:-666	0.844639126115461	0.863830792294792	0.864841662024028	0.718004894571508	0.42497300413966	0.562571597082765	0.586318274559	0.99162030402405	0.37672351803027	0.404952562739549	0.571472270765309	0.357901558386045	0.624548063292581	0.78782226031285	0.588223311960998	0.610763153399003
TAK003_HEKTE_96H:TRCN0000003519:-666	0.653531552866387	0.688688500600285	0.835597480495846	0.466273889440956	0.517954630430366	0.784742906587236	0.542107329520796	0.477102063592188	0.210263289663195	0.226673941343684	0.00580044955208656	0.644249623331742	0.396320174725875	0.833992816015135	0.770558650916964	0.630154712305152
TAK001_A375_96H:TRCN0000033500:-666	0.589378486248317	0.289716987416237	0.239211694744253	0.374016189917172	0.408200753352188	0.253141181667501	0.0439047777188654	0.772180684369919	0.175936406199076	0.625010998083435	0.988706902282499	0.0578616920923137	0.327589499650572	0.141480473794727	0.315858372089219	0.666724246730805
TAK001_HEKTE_96H:TRCN0000003360:-666	0.561760170559463	0.584250178330577	0.471958390899398	0.629723101514375	0.75490333114611	0.414344095324196	0.584360718952156	0.41530696364486	0.69098158181334	0.538436879950961	0.991942715901122	0.602447089324789	0.850072328241179	0.758210650240712	0.668913693428199	0.61576887457003
EKW001_SHSY5Y_120H:TRCN0000295914:2	0.435788608052916	0.486758133136082	0.741995050215216	0.837049080482736	0.332798196455966	0.202400548480733	0.374931377099722	0.737374130976242	0.689606395193512	0.307953042105068	0.675657587798633	0.255773916240465	0.207729717920567	0.787159942190967	0.174588643543292	0.342121785209198
TAK001_A375_96H:TRCN0000010425:-666	0.641913257155745	0.525186384722082	0.478072880435077	0.43435635214567	0.514319289137874	0.495570648521167	0.634796795534858	0.327146461534595	0.825762855544895	0.370097832511899	0.17070826456639	0.722117125881238	0.868816751538028	0.395344601910705	0.335540902349304	0.401160152439447
TAK001_A375_96H:TRCN0000019804:-666	0.821202116099311	0.570940528065039	0.702929568430858	0.622582977097403	0.852739555764576	0.743958088486091	0.619738003389986	0.271795483372464	0.748165998271151	0.068803800933711	0.046145273181463	0.886904173224775	0.660926440537329	0.346620506532269	0.66311562798198	0.463380442367411
TAK001_HEKTE_96H:TRCN0000008027:-666	0.676167743920934	0.558296416763567	0.86049698212809	0.202764184956604	0.592910238104682	0.891303993897466	0.915296611125206	0.208115730130764	0.570994730376146	0.45152606419417	0.00972130608261968	0.312760870157676	0.346657679897493	0.2490148911022	0.637766269241749	0.491383101109911
T1D.KD001_JURKAT_120H:TRCN0000381306:-666	0.494547210876865	0.7873921416791	0.585905612991725	0.75505186868535	0.450445326491864	0.20185168038463	0.334468515567934	0.813459816445315	0.614920614678729	0.419440278494258	0.951063265804758	0.208940824293481	0.450678291823267	0.669534748053258	0.461692045818134	0.734907627247467
TAK002_HEKTE_96H:TRCN0000073718:-666	0.174253363312501	0.55354171857151	0.843333663551423	0.29416921199412	0.316918039087747	0.383174399454399	0.540609545421928	0.0368915849193357	0.085699645373646	0.373237158312765	0.579086806393251	0.587913408601036	0.208936889027042	0.436642448472305	0.693747803761343	0.226895179682535
TAK002_HEKTE_96H:TRCN0000003101:-666	0.686646480899461	0.815186265022698	0.164060091233885	0.113783387307113	0.421725677345609	0.923502675416395	0.836484343558421	0.0331913679105785	0.481347744531052	0.233192772610765	0.0445582500590469	0.644696682562367	0.35907837346012	0.267872758097844	0.428105583577479	0.281340004809954
TAK001_A375_96H:TRCN0000312625:-666	0.411952199873606	0.168899942991586	0.476705434327774	0.251364616134706	0.783442180822965	0.604186302183534	0.41489922839987	0.0348288000015525	0.316342749513811	0.440448921917007	0.0255754560732661	0.874233788830022	0.340948198096926	0.542151517526125	0.813683994777119	0.468187315153684
